"Symbol","Date","90 Day Past SortinoRatio","30 Day Past SortinoRatio","10 Day Past SortinoRatio","10 Day Forward SortinoRatio","10 Day Forward MaxMove_R","10 Day Forward MinMove_R","10 Day Max/Min Performance","20 Day Forward MaxMove_R","20 Day Forward MinMove_R","20 Day Max/Min Performance"
"AAV.TO","2017/03/13","-1.046074","-1.801156","1.329848","33.857122","0.079245","-0.022642","3.5","0.168553","-0.022642","7.444444"
"AAV.TO","2017/03/20","-1.391596","0.34101","-2.891148","0","0.101611","-0.024783","4.1","0.151177","-0.024783","6.1"
"AAV.TO","2017/03/27","-0.813844","0.906588","33.857122","8.674182","0.08528","-0.009346","9.125","0.08528","-0.009346","9.125"
"AAV.TO","2017/04/03","-0.855597","2.725111","0","-15.860675","0.046171","-0.019144","2.411765","0.046171","-0.072072","0.640625"
"AAV.TO","2017/04/10","-0.909674","7.880603","8.674182","-15.612463","0.012222","-0.044444","0.275","0.012222","-0.111111","0.11"
"AAV.TO","2017/04/18","-0.963581","6.571034","-15.860675","-10.750304","0.00453","-0.066818","0.067797","0.029445","-0.093998","0.313253"
"AAV.TO","2017/04/25","-0.636153","9.98807","-15.612463","-0.945295","0.005807","-0.070848","0.081967","0.066202","-0.070848","0.934426"
"AAV.TO","2017/05/02","-1.271801","2.809743","-10.750304","22.402994","0.097826","-0.033816","2.892857","0.108696","-0.033816","3.214286"
"AAV.TO","2017/05/09","-0.992307","-1.633808","-0.945295","2.520122","0.086391","0","0","0.086391","-0.039053","2.212121"
"AAV.TO","2017/05/16","1.242564","-1.508975","22.402994","-3.488503","0.026846","-0.068233","0.393443","0.026846","-0.096197","0.27907"
"AAV.TO","2017/05/24","0.943669","-0.870762","2.520122","-191.392587","0.006719","-0.090705","0.074074","0.006719","-0.101904","0.065934"
"AAV.TO","2017/05/31","0.521512","-1.099916","-3.488503","-13.849123","0.012926","-0.050529","0.255814","0.019976","-0.057579","0.346939"
"AAV.TO","2017/06/07","-0.331305","-1.460027","-191.392587","0.222683","0.020706","-0.023143","0.894737","0.08039","-0.023143","3.473684"
"AAV.TO","2017/06/14","0.319528","-0.896965","-13.849123","11.181376","0.075589","-0.006196","12.2","0.101611","-0.006196","16.4"
"AAV.TO","2017/06/21","-0.583191","-4.018311","0.222683","13.892383","0.085679","-0.004896","17.5","0.130967","-0.004896","26.75"
"AAV.TO","2017/06/28","0.539739","-0.858429","11.181376","3.691176","0.021839","-0.037931","0.575758","0.062069","-0.037931","1.636364"
"AAV.TO","2017/07/06","1.59673","0.32368","13.892383","0","0.079439","-0.022196","3.578947","0.079439","-0.043224","1.837838"
"AAV.TO","2017/07/13","1.54345","1.559261","3.691176","2.380164","0.053592","-0.025086","2.136364","0.053592","-0.083238","0.643836"
"AAV.TO","2017/07/20","2.135739","3.631179","0","-12.459979","0.032","-0.064","0.5","0.032","-0.105143","0.304348"
"AAV.TO","2017/07/27","2.110198","4.573804","2.380164","-9.261674","0.011198","-0.099664","0.11236","0.011198","-0.12318","0.090909"
"AAV.TO","2017/08/03","-0.768938","0.248812","-12.459979","-5.639082","0.06592","-0.026119","2.52381","0.06592","-0.032338","2.038462"
"AAV.TO","2017/08/11","-1.818697","-1.983002","-9.261674","0.37997","0.014652","-0.043956","0.333333","0.014652","-0.086691","0.169014"
"AAV.TO","2017/08/18","-1.916344","-1.989411","-5.639082","2.180792","0.009913","-0.035936","0.275862","0.009913","-0.07311","0.135593"
"AAV.TO","2017/08/25","-1.2022","-3.89638","0.37997","-4.926919","0","-0.075402","0","0.021014","-0.075402","0.278689"
