Date,Instrument,Order_Side,Shares,Price,Amount,BuyOrderID
2020-03-26,URTY,BUY MARKET,5320,18.79,99962.8,92354900
2020-03-26,UMDD,BUY MARKET,3520,28.44,100108.8,
2020-03-25,URTY,BUY MARKET,5320,18.79,99962.8,92359436
2020-03-25,QQQ,BUY MARKET,540,185.3,100062,92359948
0020-03-30,SSO,BUY MARKET,1090,91.77,100029.3,92456415
0020-03-30,SDS,BUY MARKET,3390,29.54,100140.6,92456438
0020-03-30,SDS,BUY MARKET,3390,29.54,100140.6,92456655
0020-03-30,SDS,BUY MARKET,3390,29.54,100140.6,92456673
2020-03-29,SSO,BUY MARKET,1090,91.77,100029.3,92456676
2020-03-29,SSO,BUY MARKET,1090,91.77,100029.3,92456681
2020-04-16,MSFT,BUY MARKET,60,178.6,10716,20200418-014111-1392564588-23521-API
2020-04-16,SDS,BUY MARKET,4210,23.73,99903.3,20200418-014459-3890477936-25768-API
2020-04-16,SDS,BUY MARKET,4210,23.73,99903.3,20200418-014827-3890477936-25769-API
2020-04-16,URTY,SELL MARKET,2160,9999999,21599997840,20200418-015727-3890477936-25771-API
2020-04-16,URTY,SELL MARKET,2160,9999999,21599997840,20200418-015854-3890477936-25772-API
2020-04-16,URTY,SELL MARKET,2140,9999999,21399997860,20200418-015942-1392564588-23522-API
2020-04-16,SSO,SELL MARKET,480,9999999,4799999520,20200418-020003-1392564588-23523-API
2020-04-16,URTY,SELL MARKET,2120,9999999,21199997880,20200418-020118-1392564588-23524-API
2020-04-16,SSO,SELL MARKET,490,9999999,4899999510,20200418-020145-1392564588-23525-API
2020-04-16,SDS,SELL MARKET,1970,9999999,19699998030,20200418-020234-3890477936-25773-API
"2020-04-16","CSCO","BUY MARKET","240","42.48","10195.2","20200418-060552-3890477936-25774-API"
"2020-04-22","HAL","BUY MARKET","1220","8.23","10040.6","20200423-030326-3890477936-36199-API"
"2020-04-22","SDS","BUY MARKET","4020","24.87","99977.4","20200423-030432-3890477936-36200-API"
"2020-04-22","SDS","BUY MARKET","4020","24.87","99977.4","20200423-030737-1392564588-33365-API"
"2020-04-22","HAL","BUY MARKET","1220","8.23","10040.6","20200423-035605-1392564588-33947-API"
"2020-04-22","SDS","BUY MARKET","4020","24.87","99977.4","20200423-035735-1392564588-33948-API"
"2020-04-22","HAL","BUY MARKET","1220","8.23","10040.6","20200423-040402-3890477936-36692-API"
"2020-04-26","C","SELL MARKET","200","9999999","1999999800","20200429-102107-1392564588-3323-API"
"2020-04-26","V","SELL MARKET","60","9999999","599999940","20200429-103057-1392564588-3327-API"
"2020-04-30","SRTY","BUY MARKET","2620","19.08","49989.6","20200503-074056-3890477936-6038-API"
"2020-04-30","SDS","BUY MARKET","2070","24.11","49907.7","20200503-074502-1392564588-6-API"
"2020-04-30","SLB","BUY MARKET","3170","15.75","49927.5","20200503-085524-3890477936-6040-API"
"2020-04-30","SLB","SELL MARKET","630","15.75","9922.5","20200503-090648-3890477936-6044-API"
"2020-04-30","NFLX","SELL MARKET","200","415.27","83054","20200503-235424-1392564588-13-API"
"2020-04-30","NFLX","SELL MARKET","200","415.27","83054","20200504-031339-1392564588-21-API"
"2020-04-30","NFLX","BUY MARKET","240","415.27","99664.8","20200504-052450-1392564588-24-API"
"2020-05-01","URTY","SELL MARKET","2140","0","0","20200504-060054-3890477936-6082-API"
"2020-05-01","SSO","SELL MARKET","470","0","0","20200504-060210-3890477936-6084-API"
"2020-05-01","SRTY","SELL MARKET","2620","0","0","20200504-060228-3890477936-6086-API"
"2020-05-01","NFLX","BUY MARKET","240","423.72","101692.8","20200504-102118-1392564588-108-API"
