[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
^BSESN	-0.066	64.235	42.78	38.76	42.32	5	0.13	26.84	0.994	62.887
^FTSE	3.425	99.8	65.87	72.55	64.5	5	0.32	72.56	1.005	57.3
^GSPC	4.084	99.8	53.43	67.36	64.7	5	1.03	70.41	1.001	39.419
^GSPTSE	4.445	99.8	61.42	65.08	64.68	5	0.41	74.31	1.004	63.01
^JKSE	1.707	84.806	60.1	76.4	74.52	5	0.26	72.98	1.013	46.916
^NZ50	1.07	77.407	64.57	66.07	63.2	5	0.14	72.67	1.006	61.995
^RUT	2.363	92.41	46.98	56.94	49.87	5	1.58	50.99	0.994	36.21
ACES	2.018	88.41	41.93	51.36	46.6	5	1.61	49.51	0.97	29.918
AGG	2.218	90.731	62.13	57.19	53.52	0	0.1	76.7	1.004	64.264
ALTY	3.401	99.8	62.12	73.28	65.93	0	0.26	84.19	1.004	64.32
DIV	1.006	76.675	56.5	60.68	55.25	0	0.52	50.86	0.997	62.83
DRIV	2.547	94.545	42.99	67.18	50.22	5	1.7	54.12	0.982	32.001
EIDO	-0.855	55.086	56.23	46.19	52.05	5	0.51	64.37	1.004	63.731
ENZL	0.454	70.261	48.38	60.88	49.44	5	0.96	48.18	0.997	46.204
EPHE	-0.944	54.05	34.41	32.69	33.87	5	0.59	33.4	0.987	42.032
EWA	1.244	79.43	44.99	70.75	58.83	0	0.93	49.35	0.995	51.306
EWC	2.998	99.773	47.39	60.85	61.57	5	0.61	59.98	0.996	51.395
EWH	4.367	99.8	57.87	81.99	74.37	0	0.83	79.48	1.013	43.309
EWM	-0.062	64.276	46.73	37.17	41.41	0	0.69	46.7	0.996	47.746
EWS	2.608	95.249	48.25	63.1	56.46	0	0.3	58.32	0.991	43.63
EWU	1.126	78.065	53.29	57.93	52.94	5	0.61	62.16	0.996	60.137
EYLD	1.932	87.411	45.57	52.8	58.21	0	1.03	58.39	0.995	53.526
FYLD	3.251	99.8	46.59	59.13	52.94	0	0.63	62.24	0.993	40.69
GAA	2.085	89.188	51.22	47.7	47.55	0	0.45	60.66	0.998	58.151
GDX	0.731	73.484	57.14	66.58	62.29	0	-0.46	60.59	0.994	64.086
GLD	-0.332	61.154	42.43	48.5	48.11	0	-0.55	38.66	0.989	54.308
GLTR	1.343	80.574	49.06	60.35	54.66	0	-0.36	49.62	0.989	57.078
GMOM	1.667	84.337	46.79	50.27	49.66	0	0.35	57.69	0.994	46.679
GURU	3.196	99.8	52.11	58.23	58.58	0	1.29	64.1	1.0	53.354
GVAL	2.026	88.504	45.05	65.37	66.11	0	0.79	60.56	0.995	39.591
IEI	1.706	84.787	62.62	53.16	51.81	0	0.02	73.88	1.002	61.902
INDY	-1.052	52.803	35.88	25.51	35.89	5	0.68	23.64	0.992	55.172
JUNE	3.624	99.8	86.8	92.78	83.84	0	0.45	100.0	1.379	97.017
MCHI	2.044	88.715	51.41	65.39	50.84	5	0.63	65.66	0.995	36.613
MLPA	0.837	74.706	69.31	75.16	64.84	0	0.46	88.98	1.015	67.517
MLPX	0.425	69.925	59.32	56.2	60.64	0	0.34	69.89	1.017	68.646
OEUR	0.002	65.018	40.67	48.99	40.23	0	1.04	24.58	0.984	36.299
OUSA	1.792	85.782	50.66	61.22	52.01	0	0.91	54.77	0.997	45.56
PALL	3.526	99.8	67.22	62.79	66.72	0	1.06	62.0	1.002	66.101
PPLT	2.176	90.243	50.58	46.73	50.31	0	0.64	50.47	0.994	56.198
REET	1.125	78.048	62.22	57.21	53.76	5	0.48	68.14	1.001	67.653
SDEM	2.059	88.887	64.27	65.14	58.25	0	0.71	70.62	1.001	59.736
SDIV	5.342	99.8	56.64	76.71	63.62	0	0.51	59.47	0.994	63.954
SDS	-3.098	30.2	41.15	41.0	38.49	5	-2.05	29.5	0.999	61.247
SGOL	-0.338	61.074	41.0	47.97	47.51	0	-0.56	38.12	0.989	52.34
SH	-3.048	30.2	37.85	40.1	37.13	5	-1.02	29.43	0.999	58.456
SIVR	3.201	99.8	48.61	53.79	53.6	0	-0.09	54.75	0.986	50.902
SLV	3.18	99.8	50.1	58.6	52.62	0	-0.14	54.83	0.986	53.798
SPFF	4.305	99.8	63.03	70.23	60.46	0	0.56	63.07	1.001	57.409
SPY	4.301	99.8	54.55	59.51	58.7	5	1.04	70.5	1.001	41.083
SRET	2.477	93.733	57.8	60.7	54.44	0	0.53	62.52	0.998	59.607
SSO	4.188	99.8	53.56	78.81	65.75	5	2.07	70.04	1.002	39.031
SYLD	1.531	82.757	46.41	55.84	47.34	0	1.19	41.06	0.989	40.024
THD	1.014	76.767	63.22	72.11	64.05	0	0.64	71.18	1.014	64.16
TLT	1.455	81.881	64.32	52.54	53.05	0	0.11	68.23	1.011	67.398
TNA	2.482	93.791	45.92	51.18	49.15	5	4.58	47.89	0.98	29.188
TZA	-2.374	37.465	56.31	47.55	50.17	5	-4.65	47.18	1.019	71.045
UNG	-1.206	51.01	47.84	41.2	43.07	0	-0.55	31.26	1.0	59.799
USO	1.39	81.122	73.7	64.83	62.68	0	-2.78	95.78	1.044	71.049
VAMO	1.534	82.794	44.26	53.2	46.76	0	0.78	52.47	0.999	37.051
VNM	2.145	89.881	49.89	67.24	63.41	5	0.95	61.14	0.984	28.18
VXX	-1.976	42.075	47.94	31.97	35.02	0	-3.73	27.39	0.988	71.943
XLB	1.806	85.949	51.82	68.64	55.73	0	1.05	44.18	0.99	54.26
XLE	2.29	91.56	67.27	62.79	63.52	0	-0.07	71.84	1.019	65.667
XLU	1.539	82.849	61.98	56.45	55.73	0	0.53	69.7	1.002	64.838
