[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
AAPL	1.917	87.237	53.27	43.13	47.34	5	-0.53	47.19	0.989	34.583
ADBE	-0.895	54.624	46.96	29.59	34.8	5	0.63	47.01	0.998	43.214
AGRI	-3.397	30.2	19.11	37.18	26.6	5	3.31	10.82	0.775	1.378
AI	0.712	73.255	40.48	57.86	51.45	5	4.22	23.97	0.918	16.482
AIQ	4.216	99.8	59.29	76.36	67.21	5	1.19	71.51	1.004	40.794
AMD	7.249	99.8	77.29	96.8	87.88	5	-1.43	79.08	1.072	54.682
AMZN	3.609	99.8	58.04	56.36	60.2	5	-0.64	68.85	1.002	36.475
APH	4.961	99.8	55.28	75.69	69.46	5	-0.04	72.02	1.013	30.828
APP	0.288	68.34	49.36	48.5	53.82	5	5.01	60.93	1.001	25.589
AUID	-1.474	47.905	25.17	29.31	32.53	5	3.39	31.9	0.928	9.795
AVGO	2.643	95.657	64.39	76.56	76.93	5	1.16	79.42	1.03	43.969
BABA	-0.046	64.466	48.53	41.43	45.25	5	-5.16	60.96	0.987	29.434
BBAI	3.913	99.8	43.09	44.29	46.12	5	9.98	26.25	0.897	10.572
CRM	-0.295	61.574	47.54	39.39	51.01	5	1.58	54.22	0.999	30.865
CRWV	0.756	73.775	37.88	20.56	34.95	5	-8.16	25.55	0.918	34.753
CXAI	0.308	68.573	42.64	47.23	39.82	5	6.87	42.75	0.947	31.951
DELL	2.812	97.624	64.66	72.86	71.04	5	1.01	79.01	1.029	39.604
FRSX	-1.9	42.962	26.11	28.97	31.33	5	9.21	18.65	0.921	6.846
GFAI	0.875	75.151	46.03	45.73	42.74	5	7.64	40.94	0.91	17.303
GOOGL	2.613	95.31	76.96	84.27	75.2	5	-0.99	75.46	1.017	68.116
KNWN	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
LIDR	12.291	99.8	67.66	67.68	64.77	5	1.0	100.0	2.037	28.174
MARK	6.346	99.8	42.09	54.44	46.35	5	-25.87	32.04	1.096	75.0
META	2.363	92.409	41.96	38.25	47.98	5	1.58	24.53	0.985	26.27
MSFT	6.189	99.8	59.59	59.22	66.53	5	0.35	67.28	1.005	39.352
MU	2.256	91.174	49.98	36.78	50.05	5	-1.93	35.12	1.01	46.117
NVDA	4.587	99.8	60.25	65.26	65.25	5	-0.72	68.1	1.015	34.266
PANW	0.369	69.277	39.49	58.27	57.55	5	1.0	38.3	0.97	12.356
PLTR	1.459	81.925	58.03	52.82	59.86	5	4.85	65.23	1.006	36.38
QCOM	2.13	89.705	69.37	60.08	59.09	5	-0.03	69.63	1.015	49.54
S	-0.231	62.324	44.18	46.27	47.2	5	0.89	53.28	0.966	21.73
SAP	-0.307	61.437	47.28	55.01	48.92	5	-2.54	27.38	0.991	56.79
SMCI	2.5	93.998	63.47	82.54	73.15	5	-1.19	81.33	1.075	27.437
SOUN	1.189	78.798	44.13	46.64	41.25	5	10.3	26.96	0.928	20.156
TSLA	-0.093	63.923	51.75	60.1	56.79	5	2.83	57.2	0.997	40.682
TSM	5.238	99.8	59.12	64.06	63.65	5	1.59	62.84	1.001	43.381
VERI	1.313	80.232	45.62	50.25	40.67	5	3.83	50.92	0.809	5.671
VST	3.108	99.8	61.69	73.11	67.25	5	2.72	67.24	1.014	61.813
WDAY	0.111	66.284	52.62	45.32	51.6	5	1.33	59.97	1.001	52.729
