[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
A2M.AX	0	0	0	0	0	9
AAA.AX	0	0	0	0	0	0
AAC.AX	0	0	0	0	0	10
AAD.AX	0	0	0	0	0	9
ABA.AX	0	0	0	0	0	3
ABC.AX	0	0	0	0	0	4
ABP.AX	0	0	0	0	0	5
ACR.AX	0	0	0	0	0	10
ADO.AX	0	0	0	0	0	10
AFI.AX	0	0	0	0	0	8
AGI.AX	0	0	0	0	0	10
AGL.AX	0	0	0	0	0	0
AHG.AX	0	0	0	0	0	7
AHY.AX	0	0	0	0	0	2
AHZ.AX	0	0	0	0	0	10
AIA.AX	0	0	0	0	0	7
AIZ.AX	0	0	0	0	0	7
AKP.AX	0	0	0	0	0	7
ALF.AX	0	0	0	0	0	10
ALK.AX	0	0	0	0	0	5
ALL.AX	0	0	0	0	0	0
ALQ.AX	0	0	0	0	0	9
ALU.AX	0	0	0	0	0	0
AMA.AX	0	0	0	0	0	7
AMC.AX	0	0	0	0	0	7
AMP.AX	0	0	0	0	0	10
ANN.AX	0	0	0	0	0	0
ANZ.AX	0	0	0	0	0	0
ANZPC.AX	0	0	0	0	0	0
AOG.AX	0	0	0	0	0	3
APA.AX	0	0	0	0	0	4
APE.AX	0	0	0	0	0	6
API.AX	0	0	0	0	0	3
APO.AX	0	0	0	0	0	5
APX.AX	0	0	0	0	0	3
APZ.AX	0	0	0	0	0	8
AQG.AX	0	0	0	0	0	1
ARB.AX	0	0	0	0	0	0
ARF.AX	0	0	0	0	0	5
ARG.AX	0	0	0	0	0	8
ARI.AX	0	0	0	0	0	0
ASB.AX	0	0	0	0	0	2
ASL.AX	0	0	0	0	0	6
AST.AX	0	0	0	0	0	6
ASX.AX	0	0	0	0	0	0
AUB.AX	0	0	0	0	0	5
AUR.AX	0	0	0	0	0	7
AVB.AX	0	0	0	0	0	0
AVG.AX	0	0	0	0	0	2
AVQ.AX	0	0	0	0	0	10
AWC.AX	0	0	0	0	0	2
AX1.AX	0	0	0	0	0	1
AZJ.AX	0	0	0	0	0	9
BAL.AX	0	0	0	0	0	4
BAP.AX	0	0	0	0	0	6
BBN.AX	0	0	0	0	0	10
BCI.AX	0	0	0	0	0	10
BDR.AX	0	0	0	0	0	10
BEAR.AX	0	0	0	0	0	0
BEN.AX	0	0	0	0	0	6
BGA.AX	0	0	0	0	0	8
BHP.AX	0	0	0	0	0	0
BKI.AX	0	0	0	0	0	9
BKL.AX	0	0	0	0	0	0
BKW.AX	0	0	0	0	0	6
BLA.AX	0	0	0	0	0	10
BLD.AX	0	0	0	0	0	9
BLY.AX	0	0	0	0	0	10
BNO.AX	0	0	0	0	0	7
BOC.AX	0	0	0	0	0	10
BOL.AX	0	0	0	0	0	7
BOQ.AX	0	0	0	0	0	8
BPT.AX	0	0	0	0	0	1
BRG.AX	0	0	0	0	0	8
BRU.AX	0	0	0	0	0	7
BSA.AX	0	0	0	0	0	8
BSL.AX	0	0	0	0	0	0
BUL.AX	0	0	0	0	0	10
BWP.AX	0	0	0	0	0	5
BWX.AX	0	0	0	0	0	6
BXB.AX	0	0	0	0	0	9
CAA.AX	0	0	0	0	0	2
CAB.AX	0	0	0	0	0	2
CAJ.AX	0	0	0	0	0	7
CAR.AX	0	0	0	0	0	6
CAS.AX	0	0	0	0	0	10
CBA.AX	0	0	0	0	0	0
CCL.AX	0	0	0	0	0	5
CCP.AX	0	0	0	0	0	0
CCV.AX	0	0	0	0	0	10
CDA.AX	0	0	0	0	0	1
CDD.AX	0	0	0	0	0	9
CDU.AX	0	0	0	0	0	10
CGC.AX	0	0	0	0	0	4
CGF.AX	0	0	0	0	0	6
CHC.AX	0	0	0	0	0	4
CIM.AX	0	0	0	0	0	0
CIP.AX	0	0	0	0	0	6
CKF.AX	0	0	0	0	0	7
CLH.AX	0	0	0	0	0	2
CLW.AX	0	0	0	0	0	1
CMW.AX	0	0	0	0	0	4
CNU.AX	0	0	0	0	0	4
COE.AX	0	0	0	0	0	7
COH.AX	0	0	0	0	0	0
CPU.AX	0	0	0	0	0	0
CQR.AX	0	0	0	0	0	5
CSL.AX	0	0	0	0	0	0
CSR.AX	0	0	0	0	0	7
CSS.AX	0	0	0	0	0	10
CSV.AX	0	0	0	0	0	10
CTD.AX	0	0	0	0	0	0
CTP.AX	0	0	0	0	0	8
CTX.AX	0	0	0	0	0	0
CUV.AX	0	0	0	0	0	4
CVN.AX	0	0	0	0	0	9
CVW.AX	0	0	0	0	0	10
CWN.AX	0	0	0	0	0	4
CWP.AX	0	0	0	0	0	9
CWY.AX	0	0	0	0	0	3
CYB.AX	0	0	0	0	0	4
DCG.AX	0	0	0	0	0	10
DHG.AX	0	0	0	0	0	10
DJW.AX	0	0	0	0	0	7
DLX.AX	0	0	0	0	0	6
DMP.AX	0	0	0	0	0	0
DOW.AX	0	0	0	0	0	8
DTL.AX	0	0	0	0	0	7
DWS.AX	0	0	0	0	0	6
DXS.AX	0	0	0	0	0	5
ECX.AX	0	0	0	0	0	1
EHE.AX	0	0	0	0	0	9
EHL.AX	0	0	0	0	0	9
ELD.AX	0	0	0	0	0	1
EPW.AX	0	0	0	0	0	8
EQT.AX	0	0	0	0	0	0
ERA.AX	0	0	0	0	0	10
EVN.AX	0	0	0	0	0	2
EVT.AX	0	0	0	0	0	7
EWC.AX	0	0	0	0	0	9
FAR.AX	0	0	0	0	0	9
FBU.AX	0	0	0	0	0	8
FDM.AX	0	0	0	0	0	6
FET.AX	0	0	0	0	0	4
FLT.AX	0	0	0	0	0	0
FMG.AX	0	0	0	0	0	3
FPH.AX	0	0	0	0	0	7
FSA.AX	0	0	0	0	0	7
FSF.AX	0	0	0	0	0	9
FWD.AX	0	0	0	0	0	8
FXJ.AX	0	0	0	0	0	9
FXL.AX	0	0	0	0	0	3
GBT.AX	0	0	0	0	0	9
GDI.AX	0	0	0	0	0	2
GEM.AX	0	0	0	0	0	9
GGG.AX	0	0	0	0	0	10
GMA.AX	0	0	0	0	0	9
GMG.AX	0	0	0	0	0	7
