"Symbol","Company Name","Wtd Sortino Score"
"MEI","Meteoric Resources NL","429.122882985"
"WMG","Western Mines Group Ltd","376.5978752554"
"LIN","Lindian Resources Ltd","363.8959354903"
"NEU","Neuren Pharmaceuticals Ltd","217.1102070386"
"CBE","Cobre Ltd","209.7462077283"
"PCL","Pancontinental Oil & Gas NL","208.414133967"
"LML","Lincoln Minerals Limited","206.37263976"
"GRX","GreenX Metals Ltd","196.821390081"
"LDR","Lode Resources Ltd","193.6123843634"
"LAU","Lindsay Australia Ltd","192.0526534088"
"POL","Polymetals Resources Ltd","185.0785590021"
"WBT","Weebit Nano Ltd","184.4211539509"
"RNX","Renegade Exploration Ltd","178.6868813225"
"BAS","Bass Strait Oil Co Ltd","172.2366872404"
"LRS","Latin Resources Ltd","169.645177388"
"ALA","Arovella Therapeutics Ltd","164.3788407998"
"TYX","Tyranna Resources Ltd","162.1788874568"
"OBM","Ora Banda Mining Ltd","160.3002205823"
"ODA","Orcoda Ltd","158.9716313123"
"4DX","4Dmedical Ltd","149.7856164673"
"MAY","Melbana Energy Ltd","148.578498693"
"DUR","Duratec Ltd","147.6862942616"
"IPD","Impedimed Ltd","147.1591237599"
"LTR","Liontown Resources Ltd","144.0370028472"
"NXD","NextEd Group Ltd.","143.6841565687"
"GAL","Galileo Mining Ltd","137.0752981424"
"QGL","Quantum Graphite Ltd","135.1921257584"
"A4N","Alpha HPA Ltd","134.5430013898"
"BIR","Birrabong Corporation Ltd","128.3857704891"
"AVH","Avita Therapeutics Inc","127.9489205581"
"SOP","Synertec Corporation Ltd","126.8828478048"
"BRB","Breaker Resources NL","124.7214332949"
"TLX","Telix Pharmaceuticals Ltd","123.1643976357"
"GTK","Gentrack Group Ltd","121.044159383"
"MAD","Mader Group Ltd","119.9956899103"
"LYL","Lycopodium Ltd","119.176582049"
"MCE","Matrix Composites & Engineering Ltd","119.0130076622"
"FHE","FRONTIER ENERGY LIMITED","118.9752379952"
"SLX","Silex Systems Ltd","116.1467338947"
"BUX","Buxton Resources Ltd","115.6959529719"
"PVE","PO Valley Energy Ltd","115.3564417422"
"AZS","Azure Minerals Ltd","115.1831069166"
"MRM","MMA Offshore Ltd","114.616777704"
"MTM","Mareterram Limited","111.8196991452"
"CNB","Carnaby Resources Ltd","111.0448325775"
"XRF","XRF Scientific Ltd","110.6723958158"
"CDR","Codrus Minerals Ltd","109.9198359414"
"BUR","Burley Minerals Ltd","108.6169301399"
"NOR","Norwood Systems Limited","107.1871526181"
"CXZ","Connexion Media Ltd","106.6397103026"
"BLG","BluGlass Ltd","104.8914281214"
"ASN","Anson Resources Ltd","104.8074286119"
"DAF","Discovery Africa Ltd","104.487619814"
"RSG","Resolute Mining Ltd","102.6104688412"
"DUG","Dug Technology Ltd","101.9446580817"
"EMR","Emerald Resources NL","100.4226733245"
"SMR","Stanmore Coal","99.19519681717"
"VTM","Volta Mining Ltd","98.40790006079"
"1VG","Victory Goldfields Ltd","98.39135427759"
"STX","Strike Energy Ltd","97.04789872389"
"XAM","Xanadu Mines Ltd","97.02705355746"
"SMN","Structural Monitoring Systems PLC","93.60251314944"
"RXL","Rox Resources Ltd","93.23452115231"
"TER","Terracom Ltd","92.05161427533"
"AGG","AngloGold Ashanti Ltd DRC","90.87184890971"
"NWE","Norwest Energy NL","88.038302517"
"PLS","Pilbara Minerals Ltd","87.5873696341"
"CXM","Centrex Metals Ltd","86.59445244482"
"AQC","Australian Pacific Coal Ltd","86.58572413533"
"HZN","Horizon Oil Ltd","85.72381765968"
"ENR","Encounter Resources Ltd","84.85678917351"
"ACF","Acrow Formwork and Construction Services Ltd","84.38211788233"
"JXT","Jaxsta Ltd","83.88556629424"
"CHR","Charger Metals NL","83.64533278545"
"WHC","Whitehaven Coal Ltd","83.59166214371"
"ARU","Arafura Resources Ltd","82.20688659853"
"CTT","Cettire Ltd","81.98131422703"
"CHZ","Chesser Resources","81.86401733276"
"DRO","DroneShield Ltd","81.3427609868"
"NHC","New Hope Corporation Ltd","80.17519086821"
"CLX","CTI Logistics Ltd","80.02555085721"
"GL1","Global Lithium Resources Ltd","79.55543957648"
"MAG","Magmatic Resources Ltd","79.07534042692"
"AEV","Avenira Ltd","78.40514735839"
"NST","Northern Star Resources Ltd","78.14368217811"
"AOU","Auroch Minerals NL","77.59377525904"
"YAL","Yancoal Australia Ltd","77.38852223927"
"BGL","Bellevue Gold Ltd","77.09873509286"
"FBM","Future Battery Minerals Ltd.","76.73991748898"
"HLO","Helloworld Ltd","76.68312841257"
"SRN","Surefire Resources NL","75.67304186853"
"AX1","Accent Group Ltd","75.51386938567"
"QXR","Qx Resources Ltd","74.51851816315"
"ESS","Essential Metals Ltd","74.29256420104"
"IND","Indus Energy Nl","74.15903472379"
"RMI","Resource Mining Corporation","73.86402049556"
"LM8","Lunnon Metals Ltd","72.5766308128"
"AGY","Argosy Minerals Ltd","72.56396267576"
"CYC","Cyclopharm Ltd","72.0385247898"
"ORG","Origin Energy Ltd","71.97603156057"
"ATC","Altech Chemicals Ltd","70.91246069994"
"HMX","Hammer Metals Ltd","70.67030920407"
"HLI","Beauty Health Group Limited","70.15936722823"
"AS2","Askari Metals Ltd","69.84548133372"
"WC8","Wildcat Resources Ltd","69.07018115239"
"DSE","Dropsuite Ltd","67.82593614481"
"PTR","Petratherm Ltd","66.71163886552"
"PRN","Perenti Global Ltd","65.81225760509"
"SMI","Santana Minerals Ltd","65.00324262206"
