"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"FND.AX","FINDILIM FPO [FND]","34875","100","70.126","99.8","64.018","46.55969","58.351295","100","61.6796","70.126","3.77","4.23","12.2",""
"FPR.AX","FleetPartners Group Limited","311561","-23.25","66.628","88.4625","60.264","51.15841","33.883645","6.3014","59.20424","66.628","3.59","3.54","-1.39",""
"M4M.AX","MACRO FPO [M4M]","78838","-290.05","64.271","99.5723","66.677","26.56351","50","100","68.96227","64.271","0.03","0.029","-3.33",""
"RG8.AX","REGALASIAN FPO [RG8]","31078","-19.45","63.038","77.1745","70.048","41.8926","100","99.73682","67.24811","63.038","2.14","2.17","1.4",""
"AXN.AX","ALLI NCKL FPO [AXN]","46846","-53.05","61.512","67.5924","81.059","35.88538","96.339845","92.52372","64.6535","61.512","0.039","0.04","2.56",""
"AGX1.AX","AT GBL SHR TMF UNITS","6690","31.5","60.422","90.0849","43.784","47.39619","59.729455","81.15948","59.72765","60.422","5.86","5.89","0.51",""
"ADG.AX","ADL GOLD FPO [ADG]","34867","36.8","58.113","77.211","76.702","20.42707","100","98.05062","77.39092","58.113","0.0055","0.007","27.27",""
"IMPQ.AX","EIVST IMPQ TMF UNITS","159937","42.85","57.576","70.3859","57.571","44.77162","83.402195","77.69319","54.77856","57.576","4.89","4.92","0.61",""
"EMMG.AX","BETAMCEMMG TMF UNITS","20754","-19.25","57.307","76.7111","48.154","47.05494","50.092655","72.82062","62.96279","57.307","5.87","5.97","1.7",""
"EINC.AX","BETAMCEINC TMF UNITS","0","55.8","56.556","71.6387","48.432","49.59685","42.01522","0","47.39296","56.556","8.42","8.54","1.43",""
"USL.AX","UNICOSILVE FPO [USL]","49437","100","56.238","78.9295","55.287","34.49779","50","81.00117","47.31441","56.238","0.15","0.16","6.67",""
"HYT.AX","HYTERRA FPO [HYT]","757537","66.85","55.958","81.6686","57.155","29.05186","100","100","63.76434","55.958","0.03","0.034","13.33",""
"CZR.AX","COZIRONRES FPO [CZR]","1548809","67.85","55.65","87.0757","44.763","35.1102","80.1883","81.95455","47.201","55.65","0.275","0.3","9.09",""
"HLI.AX","HELIA GRP FPO [HLI]","3242","100","55.543","72.4255","43.727","50.47746","65.03294","83.26338","52.31103","55.543","4.18","4.08","-2.39",""
"VTM.AX","VICTORY FPO [VTM]","4009375","100","54.968","78.3812","47.6","38.92289","67.75345","85.29021","52.08559","54.968","0.27","0.28","3.7",""
"TVN.AX","TIVAN LTD FPO [TVN]","71771","-30.4","52.699","71.9425","49.715","36.43936","75.455895","75.12506","58.20424","52.699","0.07","0.073","4.29",""
"RINC.AX","BETAMCRINC TMF UNITS","64528","63.35","52.355","65.2247","46.607","45.2341","49.566195","8.39299","37.3441","52.355","8.37","8.35","-0.24",""
"LLI.AX","LOYALLITH FPO [LLI]","11752","39.55","52.17","62.8875","53.928","39.69408","0","0","51.19474","52.17","0.195","0.19","-2.56",""
"KYP.AX","KINATICO FPO [KYP]","62796","-2.5","51.319","66.822","56.021","31.11421","0","0","70.43702","51.319","0.092","0.091","-1.09",""
"RGN.AX","REGION GP STAPLED [RGN]","575253","49.25","51.004","62.5543","47.338","43.11998","6.454615","8.39002","60.73375","51.004","2.2","2.24","1.82",""
"ETR.AX","","2943","50","50.567","65.6455","58.76","27.29606","27.67942","0","16.12457","50.567","0.007","0.007","0",""
"PVT.AX","PVTMETALS FPO [PVT]","30813","78.9","50.27","65.2326","54.859","30.71804","47.487485","43.48402","59.85541","50.27","0.017","0.013","-23.53",""
"PEL.AX","","71775","-193.55","49.357","78.8467","64.178","5.04706","50","44.10041","78.2072","49.357","0.01","0.01","0",""
"EEL.AX","ENRGELELTD FPO [EEL]","15623","-228.4","49.08","63.9127","60.838","22.49073","27.34242","0","18.04936","49.08","0.003","0.0025","-16.67",""
"GCM.AX","GREENCRIT FPO [GCM]","675859","100","48.915","67.9346","54.898","23.91192","34.705875","9.92945","79.12465","48.915","0.003","0.005","66.67",""
"UNT.AX","UNITH FPO [UNT]","4932401","-364.25","47.938","62.6511","53.224","27.93873","72.67559","67.85369","57.99588","47.938","0.014","0.014","0",""
"MOM.AX","MOABMIN FPO [MOM]","111003","100","45.482","65.7349","52.73","17.98136","50","2.41791","38.50946","45.482","0.004","0.004","0",""
"ETM.AX","ETRANSMIN FPO [ETM]","270258","-69.2","43.662","56.4883","42.504","31.99406","0","0","29.94286","43.662","0.025","0.023","-8",""
"SVR.AX","Solvar Limited","73961","21.95","43.172","60.6144","23.422","45.48082","44.527145","41.13102","40.65057","43.172","1.08","1.1","1.85",""
"BM8.AX","BATTERYAGE FPO [BM8]","23250","-43.7","42.701","57.8868","36.893","33.32274","89.897585","92.19118","52.49407","42.701","0.17","0.145","-14.71",""
"NXD.AX","NEXTEDLIM FPO [NXD]","78940","100","40.578","38.4727","48.573","34.68977","27.17933","0","33.01543","40.578","0.165","0.16","-3.03",""
"FBM.AX","FUTURE BAT FPO [FBM]","39639","100","40.144","55.5875","31.523","33.32056","0","0","45.45771","40.144","0.035","0.033","-5.71",""
"YAR.AX","YARIMINERA FPO [YAR]","1885","50","38.145","59.4813","33.072","21.88124","22.629915","0","19.80527","38.145","0.004","0.004","0",""
