[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
WQG.AX	2.253	91.133	66.46	88.78	77.27	5	1.32
360.AX	3.167	99.8	64.01	84.93	76.26	5	2.58
CAT.AX	3.271	99.8	69.13	74.16	75.69	5	2.05
BRG.AX	3.106	99.8	71.3	78.71	75.12	5	1.88
MFG.AX	4.088	99.8	69.39	91.62	74.99	5	1.69
TPW.AX	1.947	87.588	66.74	74.49	74.28	5	1.52
IPX.AX	3.943	99.8	72.61	84.0	73.5	5	1.62
WDS.AX	2.269	91.322	70.25	76.23	71.09	5	1.69
CUV.AX	2.237	90.952	71.67	82.47	70.17	5	1.58
RPL.AX	4.455	99.8	67.87	86.07	69.46	5	2.29
CU6.AX	3.715	99.8	68.76	76.74	69.31	5	3.65
AV1.AX	4.118	99.8	74.27	69.74	69.25	5	1.82
EBR.AX	1.903	87.074	74.29	77.56	69.24	5	2.75
ERM.AX	1.684	84.531	53.41	82.52	68.77	5	1.74
CRN.AX	2.742	96.807	61.56	80.25	68.61	5	2.18
WTC.AX	2.287	91.524	62.11	74.2	68.36	5	1.31
HFR.AX	2.346	92.213	80.42	66.38	68.19	5	6.48
ELD.AX	4.886	99.8	63.2	85.31	67.83	5	1.47
NEU.AX	2.29	91.559	68.41	78.43	67.2	5	2.6
SMN.AX	2.852	98.081	60.38	71.11	66.89	5	2.19
