"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"ADG.AX","ADL GOLD FPO [ADG]","8165","34.843","73.4188","-27.75","57.085","21.11959","42.09339","63.0792","41.13544",""
"AGX1.AX","AT GBL SHR TMF UNITS","507448","67.105","88.6993","31.7","44.384","48.77506","100","100","56.17733",""
"AXN.AX","ALLI NCKL FPO [AXN]","4561","56.485","66.2797","-21.4","75.5","34.04255","93.68932","98.63527","54.95562",""
"BM8.AX","BATTERYAGE FPO [BM8]","8640","34.955","53.2595","23.15","39.301","33.01663","15.27946","0.24755","26.27095",""
"CZR.AX","COZIRONRES FPO [CZR]","22348","33.602","75.8375","12.55","47.615","32.33256","50","30.98359","35.89655",""
"EEL.AX","ENRGELELTD FPO [EEL]","7381","54.573","73.8066","100","66.316","23.46939","34.30497","32.17409","54.85142",""
"EINC.AX","BETAMCEINC TMF UNITS","16444","49.222","68.6816","48.4","52.6","49.23469","50","62.80075","62.83346",""
"EMMG.AX","BETAMCEMMG TMF UNITS","27275","52.163","77.4181","7.55","19.034","47.33333","100","100","13.80523",""
"ETM.AX","ETRANSMIN FPO [ETM]","14252","46.577","59.9982","29.9","44.853","32.65766","74.05537","63.09904","47.42259",""
"ETR.AX","","0","32.537","62.7513","50","53.721","28.78788","50","0","32.5",""
"FBM.AX","FUTURE BAT FPO [FBM]","7812","9.87","58.7909","-119.1","33.523","32.48848","37.606335","4.94591","33.65402",""
"FND.AX","FINDILIM FPO [FND]","846623","77.298","99.8","77.05","62.047","42.27053","100","100","59.91991",""
"FPR.AX","FleetPartners Group Limited","591926","47.66","86.5338","84.25","60.616","49.11111","50","2.27805","50.83231",""
"GCM.AX","GREENCRIT FPO [GCM]","47497","-117.097","80.1222","-1258.35","58.671","23.69231","98.190185","93.32583","86.48212",""
"HLI.AX","HELIA GRP FPO [HLI]","4453405","68.058","78.1764","36.7","48.077","50.22222","98.711795","99.4951","66.31471",""
"HYT.AX","HYTERRA FPO [HYT]","323171","56.21","93.7529","24.2","48.672","31.65829","69.42338","98.36608","57.97721",""
"IMPQ.AX","EIVST IMPQ TMF UNITS","43182","49.241","67.7562","17.9","54.364","46","56.73278","83.24745","61.95236",""
"KYP.AX","KINATICO FPO [KYP]","42201","66.843","74.9833","62.55","49.932","30.50847","90.423475","100","69.07893",""
"LLI.AX","LOYALLITH FPO [LLI]","10986","62.399","59.6757","100","58.009","37.53501","72.071945","77.94136","59.48657",""
"M4M.AX","MACRO FPO [M4M]","135985","37.339","89.7889","-39.35","56.703","25.28409","5.90367","0.48917","40.26499",""
"MOM.AX","MOABMIN FPO [MOM]","2309","49.478","76.5129","45.25","66.488","18.125","18.609845","18.14271","59.04656",""
"NXD.AX","NEXTEDLIM FPO [NXD]","7140","27.204","41.8928","-20.9","54.87","35.11628","36.75839","11.69125","41.27784",""
"PEL.AX","","27103","45.571","99.8","50","66.185","3.84615","16.666665","0","32.5",""
"PVT.AX","PVTMETALS FPO [PVT]","40817","54.38","65.2586","100","63.936","31.81818","27.287315","0.01675","74.20611",""
"RG8.AX","REGALASIAN FPO [RG8]","607264","66.204","69.5056","37.85","62.457","41.33333","96.867055","99.6566","58.89085",""
"RGN.AX","REGION GP STAPLED [RGN]","6354745","37.637","48.3175","40","44.574","41.33333","50","37.3588","51.87665",""
"RINC.AX","BETAMCRINC TMF UNITS","77667","49.048","64.0843","38.35","46.148","45.75893","50","93.32007","55.67474",""
"SVR.AX","Solvar Limited","337784","48.881","60.3199","47.1","25.202","46.44444","50","98.6327","64.46627",""
"TVN.AX","TIVAN LTD FPO [TVN]","33258","48.38","62.6915","100","47.638","35.49884","58.46079","39.29613","36.61512",""
"UNT.AX","UNITH FPO [UNT]","26621","39.854","60.5879","47.2","54.438","27.92793","31.11908","3.58316","47.47618",""
"USL.AX","UNICOSILVE FPO [USL]","264152","54.557","85.7601","-48","50.46","36.64303","100","100","57.03635",""
"VTM.AX","VICTORY FPO [VTM]","72201","26.244","83.2755","-118.05","48.881","41.33333","34.32543","40.80924","56.10949",""
"YAR.AX","YARIMINERA FPO [YAR]","695","37.481","64.0561","-34.05","33.173","22.8739","88.40399","61.88156","37.62701",""
