[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
GSS.AX	-2.661	34.134	26.04	21.12	21.5	5	0.95
SHV.AX	-4.152	30.2	27.1	13.26	21.6	5	0.62
HYT.AX	-3.059	30.2	32.22	15.3	23.77	5	0.77
4DX.AX	-2.81	32.408	28.34	28.0	27.33	5	1.03
IMR.AX	-1.557	46.942	33.24	25.54	27.69	5	2.65
TTM.AX	-2.063	41.067	29.48	28.15	27.94	5	1.38
ADX.AX	-1.558	46.923	27.76	26.58	28.51	5	1.9
ORN.AX	-5.081	30.2	41.8	34.91	30.5	5	0.3
WOA.AX	-1.637	46.007	26.12	24.53	30.71	5	3.87
SWM.AX	-1.523	47.335	40.02	28.05	30.75	5	0.5
NXM.AX	-1.551	47.013	34.6	20.04	32.19	5	1.44
GEM.AX	-2.935	30.95	33.58	31.49	32.52	5	0.87
IMU.AX	-3.517	30.2	32.55	44.78	32.81	5	1.27
BOL.AX	-1.596	46.488	35.57	26.83	33.73	5	0.19
KMD.AX	-1.556	46.951	38.72	33.93	34.83	5	0.91
HNG.AX	-2.788	32.664	38.99	29.15	34.91	5	0.14
GMD.AX	-1.521	47.358	34.97	19.27	34.95	5	0.91
