[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
1MC.AX	-0.603	58.002	51.71	35.57	38.72	5	0.65	69.29	1.061	70.565
1VG.AX	3.224	99.8	42.17	65.54	52.92	5	0.91	59.5	0.953	14.076
29M.AX	3.699	99.8	57.32	72.46	64.7	5	2.5	49.33	0.962	78.249
360.AX	3.167	99.8	64.01	84.93	76.26	5	2.58	72.12	1.022	57.501
3DA.AX	5.588	99.8	50.47	72.88	60.2	5	1.92	65.84	0.987	19.168
3DP.AX	0.504	70.844	40.17	39.13	36.0	5	1.13	44.71	0.967	19.764
4DS.AX	-0.668	57.247	32.99	34.8	34.95	5	1.74	39.1	0.959	17.08
4DX.AX	-2.81	32.408	28.34	28.0	27.33	5	1.03	32.04	0.946	20.407
5GG.AX	0.066	65.764	40.05	44.06	36.55	5	1.2	43.55	0.9	28.409
88E.AX	-0.424	60.085	38.32	28.03	27.34	5	1.85	33.39	0.971	26.136
A1G.AX	1.928	87.366	46.19	53.0	54.9	5	2.26	56.07	0.992	39.925
A1M.AX	-0.693	56.961	38.46	46.29	36.35	5	2.07	31.28	0.951	31.131
A2M.AX	-0.088	63.976	46.6	67.2	59.87	5	0.13	68.12	1.022	38.021
A4N.AX	0.19	67.202	47.88	65.68	51.9	5	2.61	62.31	0.987	41.813
AAC.AX	0.483	70.605	36.36	41.26	37.48	5	0.62	52.43	0.988	35.056
AAJ.AX	-0.588	58.174	38.93	19.21	24.49	5	-0.41	43.63	0.98	37.5
AAR.AX	-0.824	55.446	34.59	38.81	40.89	5	2.39	43.83	0.949	14.284
AAU.AX	1.185	78.751	40.46	40.53	35.24	5	-0.23	42.45	0.896	1.386
ABB.AX	2.016	88.38	67.55	72.65	65.87	5	1.15	77.29	1.026	54.492
ABV.AX	0.654	72.586	61.62	52.63	49.06	5	1.51	84.5	1.05	68.237
ABX.AX	-0.401	60.345	36.31	48.19	37.33	5	0.31	36.28	0.987	34.295
ABY.AX	0.911	75.569	60.04	55.69	55.93	5	0.7	69.93	1.003	51.093
ACF.AX	0.637	72.388	63.55	68.1	60.27	5	1.11	76.48	1.012	66.038
ACL.AX	-0.554	58.571	48.8	53.79	44.25	5	1.13	55.37	0.996	55.284
ACW.AX	1.969	87.838	66.62	46.85	51.14	5	1.39	67.31	1.023	70.0
AD8.AX	-1.246	50.543	40.4	51.55	46.72	5	1.87	32.55	1.002	45.357
ADG.AX	0.171	66.984	48.73	35.95	38.92	5	-1.8	72.44	1.082	43.75
ADH.AX	-0.812	55.577	37.33	46.31	40.44	5	1.44	30.91	0.998	56.884
ADO.AX	3.675	99.8	72.1	56.5	60.29	5	1.81	76.91	1.07	82.968
ADT.AX	1.238	79.363	40.16	44.24	44.85	5	2.23	48.89	0.99	34.124
ADV.AX	1.905	87.103	59.92	48.09	48.28	5	0.5	73.96	1.025	41.288
ADX.AX	-1.558	46.923	27.76	26.58	28.51	5	1.9	35.75	1.007	13.996
AEE.AX	1.5	82.404	50.33	51.05	51.14	5	2.22	51.55	0.97	50.0
