[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
OMI	-4.759	30.2	30.02	22.44	21.46	0	0.0
ERF	-7.1	30.2	26.75	27.48	21.57	0	0.0
NFG	-5.711	30.2	25.33	30.33	21.87	0	0.0
BBBY	-11.456	30.2	21.84	29.77	24.17	0	0.0
spxs	-3.833	30.2	29.85	21.23	26.34	0	0.0
INGN	-5.012	30.2	38.09	16.38	26.58	0	0.0
NNDM	-4.554	30.2	29.77	28.45	26.61	0	0.0
COMM	-7.034	30.2	22.09	29.53	26.68	0	0.0
DZZ	-6.014	30.2	21.43	17.33	26.83	0	0.0
PRTY	-3.556	30.2	32.68	28.38	27.11	0	0.0
qid	-2.967	30.582	30.29	20.91	27.39	0	0.0
CC	-3.683	30.2	32.79	27.07	27.75	0	0.0
GEO	-2.736	33.267	29.58	28.79	27.88	0	0.0
TEVA	-4.442	30.2	30.44	33.08	27.9	0	0.0
WB	-4.834	30.2	26.8	30.75	28.74	0	0.0
UE	-4.345	30.2	44.01	23.94	29.26	0	0.0
VXX	-5.078	30.2	33.43	30.62	29.42	0	0.0
CHS	-2.735	33.274	30.61	30.45	29.8	0	0.0
URBN	-2.599	34.848	29.19	26.86	30.44	0	0.0
PK	-6.21	30.2	34.04	20.11	30.52	0	0.0
