[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
a	1.983	87.997	46.31	55.02	39.93	0	0.0
AA	-1.788	44.255	59.61	80.39	60.29	0	0.0
AABA	-0.243	62.182	51.11	51.73	45.83	0	0.0
AAOI	-0.366	60.751	38.35	42.36	31.49	0	0.0
AAON	3.748	99.8	64.5	70.58	71.24	0	0.0
aapl	3.354	99.8	69.7	66.26	64.99	0	0.0
AAXN	0.33	68.828	57.77	46.82	59.98	0	0.0
ABAX	0.0	65.0	54.07	67.16	76.35	0	0.0
ABR	-3.184	30.2	39.34	36.37	35.03	0	0.0
ACCO	-0.885	54.735	63.68	45.84	47.04	0	0.0
ACIA	6.465	99.8	72.19	72.29	65.96	0	0.0
AEIS	0.971	76.265	69.16	61.62	61.37	0	0.0
AGQ	4.999	99.8	83.96	93.45	75.89	0	0.0
AIT	2.835	97.891	39.15	52.16	40.2	0	0.0
AKAM	3.858	99.8	64.56	74.61	74.83	0	0.0
AKRX	-2.021	41.552	31.2	18.74	34.07	0	0.0
ALB	1.948	87.598	58.67	68.08	52.93	0	0.0
ALLE	5.092	99.8	53.54	64.12	72.9	0	0.0
ALV	-0.291	61.625	57.18	64.41	51.4	0	0.0
AMBA	-0.104	63.795	64.36	67.65	69.65	0	0.0
AME	2.507	94.085	45.67	58.83	57.61	0	0.0
AMN	3.69	99.8	65.02	68.7	53.96	0	0.0
AMWD	-0.997	53.432	48.65	44.28	40.84	0	0.0
amzn	1.717	84.918	53.87	60.21	62.13	0	0.0
AOBC	0.574	71.657	64.33	48.44	49.81	0	0.0
AOS	-1.903	42.925	33.91	30.52	31.32	0	0.0
APH	1.944	87.553	40.58	56.82	40.72	0	0.0
APO	1.984	88.01	36.39	69.67	58.9	0	0.0
APOG	0.525	71.093	46.88	51.49	54.55	0	0.0
ARES	3.058	99.8	63.76	64.11	71.24	0	0.0
ARW	-0.517	59.009	47.15	56.78	44.28	0	0.0
ASGN	1.689	84.594	67.63	57.7	51.94	0	0.0
ATHM	-3.758	30.2	36.73	35.42	32.53	0	0.0
ATKR	1.536	82.814	49.2	44.54	44.5	0	0.0
ATR	9.634	99.8	60.01	60.55	68.16	0	0.0
AUO	-1.953	42.345	57.27	50.15	41.27	0	0.0
AVT	-0.455	59.721	45.58	49.06	43.65	0	0.0
AWI	8.13	99.8	49.02	60.78	68.78	0	0.0
AXE	-0.435	59.949	50.03	38.33	41.63	0	0.0
AXL	-0.103	63.801	50.81	56.37	45.96	0	0.0
AXP	7.22	99.8	67.35	69.4	76.09	0	0.0
AZZ	-0.93	54.213	39.17	48.95	41.25	0	0.0
B	-1.032	53.033	44.96	50.76	43.48	0	0.0
BA	2.072	89.037	41.86	63.73	47.6	0	0.0
BAX	7.518	99.8	67.28	83.32	71.96	0	0.0
BBBY	-11.456	30.2	21.84	29.77	24.17	0	0.0
BBY	2.873	98.325	48.57	65.35	51.83	0	0.0
BC	-1.394	48.826	56.43	50.35	50.19	0	0.0
BCPC	1.17	78.576	59.97	52.42	60.22	0	0.0
BEN	2.879	98.397	67.89	71.64	60.57	0	0.0
BERY	7.219	99.8	65.47	81.46	62.15	0	0.0
BF.A	0.0	65.0	0.0	0.0	0.0	0	0.0
BF.B	0.0	65.0	0.0	0.0	0.0	0	0.0
BGS	-1.569	46.803	46.44	29.55	42.46	0	0.0
BID	11.025	99.8	44.83	65.75	57.69	0	0.0
BIG	-5.094	30.2	60.88	43.91	47.26	0	0.0
BIVV	0.0	65.0	43.94	78.72	70.63	0	0.0
BLDR	1.076	77.478	51.33	57.42	56.94	0	0.0
BMI	-0.061	64.294	26.52	40.95	36.45	0	0.0
BMS	4.313	99.8	34.27	52.16	52.92	0	0.0
BRC	3.6	99.8	64.83	65.93	58.96	0	0.0
BRKR	5.379	99.8	44.89	69.3	62.36	0	0.0
BWXT	4.941	99.8	59.38	70.71	56.37	0	0.0
C	5.583	99.8	70.55	83.09	63.46	0	0.0
CAA	0.0	65.0	69.94	76.05	88.95	0	0.0
CACQ	0.0	65.0	50.29	83.7	125.4	0	0.0
CAE	8.056	99.8	39.49	60.21	63.93	0	0.0
CAG	0.249	67.886	57.76	52.24	59.75	0	0.0
CAT	2.576	94.882	48.97	66.97	47.32	0	0.0
CBM	1.685	84.544	59.34	66.8	55.36	0	0.0
CBOE	4.19	99.8	56.73	70.63	80.07	0	0.0
CBPO	-0.424	60.083	47.18	50.19	58.13	0	0.0
CBS	3.854	99.8	45.26	81.92	59.79	0	0.0
CBT	0.756	73.768	41.29	41.36	39.97	0	0.0
CC	-3.683	30.2	32.79	27.07	27.75	0	0.0
CCMP	1.526	82.698	63.89	52.61	48.02	0	0.0
CCP	0.0	65.0	47.52	83.7	72.63	0	0.0
CCU	6.63	99.8	53.93	58.55	46.45	0	0.0
CDK	0.031	65.364	60.31	50.1	48.27	0	0.0
CE	1.964	87.783	51.02	58.4	47.53	0	0.0
CELG	-1.404	48.709	43.87	27.22	31.55	0	0.0
CENT	-1.263	50.348	54.07	35.97	38.37	0	0.0
CENTA	-2.062	41.077	52.41	38.78	39.01	0	0.0
CERN	4.741	99.8	43.05	58.34	59.56	0	0.0
CG	6.782	99.8	47.45	56.82	61.2	0	0.0
CGNX	-1.532	47.234	38.93	53.52	42.94	0	0.0
CHKP	0.033	65.383	52.74	68.94	48.43	0	0.0
CHS	-2.735	33.274	30.61	30.45	29.8	0	0.0
CHT	2.412	92.981	56.19	54.44	42.37	0	0.0
CIEN	14.767	99.8	50.99	44.48	46.71	0	0.0
CLS	-2.113	40.485	33.98	54.66	43.3	0	0.0
CMD	5.463	99.8	57.47	60.74	52.56	0	0.0
CMP	0.579	71.719	61.57	57.02	61.3	0	0.0
CNK	-3.328	30.2	31.3	44.65	38.89	0	0.0
CNS	1.657	84.218	65.13	74.88	77.26	0	0.0
COH	0.0	65.0	42.21	52.66	67.31	0	0.0
COL	3.976	99.8	54.11	44.56	40.57	0	0.0
COLM	5.774	99.8	65.99	79.05	63.35	0	0.0
COMM	-7.034	30.2	22.09	29.53	26.68	0	0.0
CORT	0.185	67.15	63.68	47.58	53.45	0	0.0
CPRT	8.592	99.8	62.09	65.6	70.83	0	0.0
CPS	-1.085	52.413	44.64	50.96	41.0	0	0.0
CR	-0.644	57.532	54.56	70.68	56.89	0	0.0
CRI	0.684	72.936	47.9	41.3	42.36	0	0.0
CRL	2.31	91.799	59.24	59.4	51.59	0	0.0
CRUS	-0.284	61.71	69.78	59.82	63.1	0	0.0
CSCO	4.627	99.8	66.98	60.19	67.96	0	0.0
CSGS	3.879	99.8	65.08	68.67	69.1	0	0.0
CSTE	-1.189	51.206	34.42	50.27	42.62	0	0.0
CTB	1.985	88.032	42.95	49.58	43.36	0	0.0
CTLT	9.401	99.8	63.83	64.5	65.78	0	0.0
CVG	0.0	65.0	44.45	65.48	69.73	0	0.0
CVRR	0.0	65.0	55.55	73.68	77.94	0	0.0
CW	6.72	99.8	59.3	63.59	56.29	0	0.0
CYBR	2.007	88.278	59.63	77.57	68.41	0	0.0
CYOU	-1.537	47.168	41.99	21.7	30.9	0	0.0
DAN	3.467	99.8	54.38	58.79	49.72	0	0.0
DCI	-1.598	46.463	35.6	39.63	32.99	0	0.0
DCM	0.0	65.0	0.0	0.0	0.0	0	0.0
DD	4.978	99.8	50.13	47.17	48.83	0	0.0
DDM	5.183	99.8	62.12	67.76	54.74	0	0.0
DGP	6.965	99.8	77.01	75.98	64.68	0	0.0
DGX	2.628	95.48	52.6	77.31	65.86	0	0.0
DHI	1.013	76.755	51.94	43.62	59.08	0	0.0
DIS	4.792	99.8	45.11	61.61	59.53	0	0.0
DISCA	4.25	99.8	48.61	77.01	57.4	0	0.0
DISCK	3.33	99.8	48.12	70.22	55.32	0	0.0
DISH	4.502	99.8	61.34	59.93	66.95	0	0.0
DLTR	3.874	99.8	43.49	43.21	51.4	0	0.0
DOOR	-1.265	50.331	57.25	56.44	49.32	0	0.0
DORM	-0.219	62.458	51.21	44.91	49.79	0	0.0
DOX	6.567	99.8	67.09	74.72	71.09	0	0.0
DSW	0.0	65.0	55.17	80.13	78.24	0	0.0
DVA	2.586	94.999	59.92	81.19	64.24	0	0.0
DY	4.819	99.8	35.21	48.48	59.67	0	0.0
DZZ	-6.014	30.2	21.43	17.33	26.83	0	0.0
EA	-1.95	42.386	45.9	35.91	34.19	0	0.0
EBIX	-1.115	52.068	31.64	38.26	34.68	0	0.0
EDU	3.888	99.8	68.36	67.58	69.22	0	0.0
EGOV	1.925	87.324	66.26	73.12	67.49	0	0.0
EK	0.0	65.0	58.4	59.3	88.05	0	0.0
EL	5.632	99.8	69.43	80.75	81.7	0	0.0
ELY	5.053	99.8	49.89	59.87	46.51	0	0.0
EMN	2.704	96.364	55.35	65.58	51.56	0	0.0
ENS	1.65	84.134	57.07	71.85	59.4	0	0.0
ENTG	-0.021	64.753	63.09	46.46	48.18	0	0.0
EPAM	3.393	99.8	54.13	71.92	67.77	0	0.0
EPC	-5.756	30.2	43.79	38.77	38.35	0	0.0
ERF	-7.1	30.2	26.75	27.48	21.57	0	0.0
ERX	-1.103	52.205	53.41	46.08	46.48	0	0.0
EV	6.77	99.8	71.12	73.29	62.61	0	0.0
EVR	1.608	83.658	48.93	54.14	47.73	0	0.0
EW	4.07	99.8	70.15	64.9	67.75	0	0.0
EXLS	2.474	93.697	62.38	63.57	52.45	0	0.0
EXP	-0.779	55.96	47.52	53.67	53.68	0	0.0
EXPD	0.916	75.629	52.27	51.39	47.47	0	0.0
EXPO	4.723	99.8	73.29	79.33	72.7	0	0.0
FAS	6.273	99.8	71.24	68.27	70.07	0	0.0
FAST	-2.45	36.577	33.62	42.82	34.87	0	0.0
FB	1.642	84.046	53.78	59.34	59.48	0	0.0
FBHS	1.094	77.688	37.89	51.82	52.17	0	0.0
FDP	-2.819	32.295	48.69	49.13	42.57	0	0.0
FELE	-0.693	56.957	42.26	55.01	43.31	0	0.0
FIVE	-0.235	62.269	55.43	44.33	45.21	0	0.0
FIZZ	-4.328	30.2	44.03	31.49	33.65	0	0.0
FL	-2.694	33.754	67.85	39.52	53.1	0	0.0
FLIR	4.084	99.8	51.04	60.61	47.65	0	0.0
FN	-1.114	52.073	54.33	59.71	49.75	0	0.0
FOX	-0.435	59.959	61.27	63.58	53.56	0	0.0
FOXF	4.066	99.8	47.73	59.71	69.35	0	0.0
FRO	-2.622	34.582	31.76	40.62	48.15	0	0.0
FSV	6.19	99.8	56.67	76.45	67.34	0	0.0
FTV	-1.651	45.843	35.7	42.78	38.1	0	0.0
FUL	2.375	92.549	65.59	71.72	60.75	0	0.0
FXP	-1.544	47.087	41.63	34.54	40.57	0	0.0
G	7.579	99.8	67.24	67.25	75.17	0	0.0
GATX	0.616	72.151	53.53	60.62	50.39	0	0.0
GBX	-3.889	30.2	31.62	34.7	32.43	0	0.0
GE	-0.542	58.719	48.9	38.88	41.25	0	0.0
GEO	-2.736	33.267	29.58	28.79	27.88	0	0.0
GGG	1.806	85.947	49.81	58.49	50.79	0	0.0
GIL	5.512	99.8	63.22	70.66	64.41	0	0.0
GIMO	0.0	65.0	41.11	47.41	66.27	0	0.0
GLD	7.356	99.8	74.09	77.26	64.05	0	0.0
GLOB	4.968	99.8	52.28	62.51	66.06	0	0.0
GMED	0.074	65.862	69.08	62.58	57.67	0	0.0
GMLP	-2.133	40.253	54.23	49.63	42.57	0	0.0
GMS	7.697	99.8	58.28	56.6	50.76	0	0.0
GNRC	8.794	99.8	72.12	78.25	78.13	0	0.0
GNRT	0.0	65.0	31.92	63.62	34.22	0	0.0
GNTX	4.221	99.8	43.96	59.73	61.22	0	0.0
GOLF	4.047	99.8	50.12	56.71	48.54	0	0.0
goog	-0.342	61.036	59.63	54.53	55.07	0	0.0
GRFS	12.888	99.8	60.67	64.79	63.35	0	0.0
GRMN	3.48	99.8	67.75	65.89	63.58	0	0.0
HAL	-3.292	30.2	41.15	40.68	32.51	0	0.0
HAS	6.095	99.8	58.06	71.97	71.15	0	0.0
HCP	2.217	90.712	55.06	48.62	50.68	0	0.0
HCSG	-1.523	47.333	49.04	46.85	45.52	0	0.0
HD	8.988	99.8	49.01	64.51	62.75	0	0.0
HDS	-2.406	37.086	34.89	39.19	34.69	0	0.0
HEI.A	0.0	65.0	0.0	0.0	0.0	0	0.0
HELE	5.05	99.8	71.88	73.51	73.67	0	0.0
HOG	1.386	81.081	48.72	55.49	43.66	0	0.0
HON	1.496	82.359	61.7	57.92	58.36	0	0.0
HPQ	5.248	99.8	69.05	67.63	58.63	0	0.0
HQY	3.274	99.8	69.94	71.55	61.41	0	0.0
HRC	5.401	99.8	54.38	67.25	55.26	0	0.0
HRL	2.092	89.269	71.7	50.02	51.61	0	0.0
HRS	1.05	77.178	52.73	56.38	59.47	0	0.0
HSNI	0.0	65.0	59.27	68.7	80.23	0	0.0
HTHT	-2.219	39.254	34.85	27.35	33.06	0	0.0
HTLD	0.408	69.735	72.14	68.05	56.44	0	0.0
HUBB	2.204	90.564	42.42	50.05	42.75	0	0.0
HUBG	-2.281	38.54	44.29	41.99	39.58	0	0.0
HXL	10.761	99.8	48.35	58.17	58.0	0	0.0
IAU	8.192	99.8	73.13	77.62	63.79	0	0.0
