[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
1337-USD	0	0	0	0	0	0
1CR-USD	0	0	0	0	0	0
1ST-USD	0	0	0	0	0	0
2015-USD	0	0	0	0	0	0
2BACCO-USD	0	0	0	0	0	0
2GIVE-USD	0	0	0	0	0	0
32BIT-USD	0	0	0	0	0	0
365-USD	0	0	0	0	0	0
3DES-USD	0	0	0	0	0	0
404-USD	0	0	0	0	0	0
42-USD	0	0	0	0	0	0
4CHN-USD	0	0	0	0	0	0
611-USD	0	0	0	0	0	0
7-USD	0	0	0	0	0	0
808-USD	0	0	0	0	0	0
888-USD	0	0	0	0	0	0
8BIT-USD	0	0	0	0	0	0
8BT-USD	0	0	0	0	0	0
8S-USD	0	0	0	0	0	0
ABC-USD	0	0	0	0	0	0
ABT-USD	0	0	0	0	0	0
ABY-USD	0	0	0	0	0	0
ABYSS-USD	0	0	0	0	0	0
AC-USD	0	0	0	0	0	0
ACC-USD	0	0	0	0	0	0
ACE-USD	0	0	0	0	0	0
ACES-USD	0	0	0	0	0	0
ACID-USD	0	0	0	0	0	0
ACN-USD	0	0	0	0	0	0
ACOIN-USD	0	0	0	0	0	0
ACP-USD	0	0	0	0	0	0
ACT-USD	0	0	0	0	0	0
ADA-USD	0	0	0	0	0	0
ADC-USD	0	0	0	0	0	0
ADCN-USD	0	0	0	0	0	0
ADL-USD	0	0	0	0	0	0
ADN-USD	0	0	0	0	0	0
ADST-USD	0	0	0	0	0	0
ADT-USD	0	0	0	0	0	0
ADX-USD	0	0	55.005	85.185	78.60428490388	0
ADZ-USD	0	0	0	0	0	0
AE-USD	0	0	54.922	85.87	78.61332714623	0
AEC-USD	0	0	0	0	0	0
AEON-USD	0	0	0	0	0	0
AERM-USD	0	0	0	0	0	0
AERO-USD	0	0	0	0	0	0
AGRS-USD	0	0	0	0	0	0
AGS-USD	0	0	0	0	0	0
AHT-USD	0	0	0	0	0	0
AIB-USD	0	0	0	0	0	0
AID-USD	0	0	0	0	0	0
AIR-USD	0	0	0	0	0	0
ALC-USD	0	0	0	0	0	0
ALEX-USD	0	0	0	0	0	0
ALF-USD	0	0	0	0	0	0
ALIS-USD	0	0	0	0	0	0
ALN-USD	0	0	0	0	0	0
ALQO-USD	0	0	0	0	0	0
ALTCOM-USD	0	0	0	0	0	0
ALTOCAR-USD	0	0	0	0	0	0
AM-USD	0	0	0	0	0	0
AMB-USD	0	0	0	0	0	0
AMBER-USD	0	0	0	0	0	0
AMC-USD	0	0	0	0	0	0
AMIS-USD	0	0	0	0	0	0
AMMO-USD	0	0	0	0	0	0
AMP-USD	0	0	0	0	0	0
AMS-USD	0	0	0	0	0	0
AMT-USD	0	0	0	0	0	0
AMY-USD	0	0	0	0	0	0
ANAL-USD	0	0	0	0	0	0
ANC-USD	0	0	0	0	0	0
ANCP-USD	0	0	0	0	0	0
AND-USD	0	0	0	0	0	0
ANNC-USD	0	0	0	0	0	0
ANT-USD	0	0	48.191	80.741	73.54653151774	0
ANTC-USD	0	0	0	0	0	0
ANTI-USD	0	0	0	0	0	0
APC-USD	0	0	0	0	0	0
APEX-USD	0	0	0	0	0	0
APPC-USD	0	0	0	0	0	0
APT-USD	0	0	0	0	0	0
APX-USD	0	0	0	0	0	0
ARB-USD	0	0	0	0	0	0
ARBI-USD	0	0	0	0	0	0
ARC-USD	0	0	0	0	0	0
ARCH-USD	0	0	0	0	0	0
ARCO-USD	0	0	0	0	0	0
ARDR-USD	0	0	54.602	86.667	78.46899772528	0
ARENA-USD	0	0	0	0	0	0
ARG-USD	0	0	0	0	0	0
ARGUS-USD	0	0	0	0	0	0
ARI-USD	0	0	0	0	0	0
ARK-USD	0	0	44.735	82.963	71.55890977516	0
ARM-USD	0	0	0	0	0	0
ARN-USD	0	0	0	0	0	0
ARPA-USD	0	0	0	0	0	0
ART-USD	0	0	0	0	0	0
ASAFE2-USD	0	0	0	0	0	0
ASN-USD	0	0	0	0	0	0
AST-USD	0	0	0	0	0	0
ASTRO-USD	0	0	0	0	0	0
ATB-USD	0	0	52.811	45.399	73.98985031131	0
ATCC-USD	0	0	0	0	0	0
ATFS-USD	0	0	0	0	0	0
ATKN-USD	0	0	0	0	0	0
ATL-USD	0	0	0	0	0	0
ATM-USD	0	0	40.144	44.319	65.4852378364	0
ATMS-USD	0	0	0	0	0	0
ATOM-USD	0	0	0	0	0	0
ATS-USD	0	0	0	0	0	0
ATX-USD	0	0	0	0	0	0
AUR-USD	0	0	0	0	0	0
AURS-USD	0	0	0	0	0	0
AUT-USD	0	0	0	0	0	0
AUTH-USD	0	0	0	0	0	0
AV-USD	0	0	0	0	0	0
AVA-USD	0	0	0	0	0	0
AVE-USD	0	0	0	0	0	0
AVT-USD	0	0	0	0	0	0
AXIOM-USD	0	0	0	0	0	0
AXR-USD	0	0	0	0	0	0
AXT-USD	0	0	0	0	0	0
B3-USD	0	0	0	0	0	0
BAC-USD	0	0	0	0	0	0
BamitCoin-USD	0	0	0	0	0	0
BAN-USD	0	0	0	0	0	0
BAR-USD	0	0	0	0	0	0
BASH-USD	0	0	0	0	0	0
BAT-USD	0	0	48.507	84.444	74.12624414632	0
BAY-USD	0	0	0	0	0	0
BBCC-USD	0	0	0	0	0	0
BBR-USD	0	0	0	0	0	0
BBT-USD	0	0	0	0	0	0
BCAP-USD	0	0	0	0	0	0
BCCOIN-USD	0	0	70.378	75.102	98.41590735425	0
BCD-USD	0	0	0	0	0	0
BCF-USD	0	0	0	0	0	0
BCH-USD	0	0	53.992	76.42	77.07618010773	0
BCN-USD	0	0	67.89	85.926	88.16772126374	0
BCO-USD	0	0	0	0	0	0
BCPT-USD	0	0	0	0	0	0
BCR-USD	0	0	0	0	0	0
BCX-USD	0	0	0	0	0	0
BCY-USD	0	0	0	0	0	0
BDG-USD	0	0	0	0	0	0
BDL-USD	0	0	0	0	0	0
BDR-USD	0	0	0	0	0	0
BELA-USD	0	0	0	0	0	0
BEN-USD	0	0	0	0	0	0
BENJI-USD	0	0	0	0	0	0
BERN-USD	0	0	0	0	0	0
BEST-USD	0	0	0	0	0	0
BET-USD	0	0	0	0	0	0
BFX-USD	0	0	0	0	0	0
BHC-USD	0	0	0	0	0	0
BIC-USD	0	0	0	0	0	0
BIGUP-USD	0	0	0	0	0	0
BIOB-USD	0	0	0	0	0	0
BIOS-USD	0	0	0	0	0	0
BIP-USD	0	0	0	0	0	0
BIS-USD	0	0	0	0	0	0
BIT16-USD	0	0	0	0	0	0
BITB-USD	0	0	0	0	0	0
BITCNY-USD	0	0	0	0	0	0
BITOK-USD	0	0	0	0	0	0
BITS-USD	0	0	0	0	0	0
BITSD-USD	0	0	0	0	0	0
BITUSD-USD	0	0	0	0	0	0
BITZ-USD	0	0	0	0	0	0
BKX-USD	0	0	0	0	0	0
BLAS-USD	0	0	0	0	0	0
BLAZR-USD	0	0	0	0	0	0
BLC-USD	0	0	0	0	0	0
BLITZ-USD	0	0	0	0	0	0
BLK-USD	0	0	0	0	0	0
BLOCK-USD	0	0	49.423	80.493	74.33541553936	0
BLOCKPAY-USD	0	0	0	0	0	0
BLRY-USD	0	0	0	0	0	0
BLU-USD	0	0	0	0	0	0
BLUE-USD	0	0	0	0	0	0
BLX-USD	0	0	0	0	0	0
BM-USD	0	0	0	0	0	0
BMC-USD	0	0	0	0	0	0
BMXT-USD	0	0	0	0	0	0
BNB-USD	0	0	50.865	83.704	75.61627199512	0
BNC-USD	0	0	0	0	0	0
BNK-USD	0	0	0	0	0	0
BNT-USD	0	0	46.213	56.566	70.16847925557	0
BNX-USD	0	0	0	0	0	0
BOAT-USD	0	0	0	0	0	0
BOB-USD	0	0	0	0	0	0
BOG-USD	0	0	0	0	0	0
BOLI-USD	0	0	0	0	0	0
BOMB-USD	0	0	0	0	0	0
BON-USD	0	0	0	0	0	0
BOOM-USD	0	0	0	0	0	0
BOS-USD	0	0	0	0	0	0
BOSON-USD	0	0	0	0	0	0
BOSS-USD	0	0	0	0	0	0
BOST-USD	0	0	0	0	0	0
BOTS-USD	0	0	0	0	0	0
BOU-USD	0	0	0	0	0	0
BPL-USD	0	0	0	0	0	0
BQ-USD	0	0	0	0	0	0
BQC-USD	0	0	0	0	0	0
BQX-USD	0	0	38.862	68.807	66.60594069908	0
BRAIN-USD	0	0	0	0	0	0
BRAT-USD	0	0	0	0	0	0
BRDD-USD	0	0	0	0	0	0
BRIT-USD	0	0	0	0	0	0
BRK-USD	0	0	0	0	0	0
BRO-USD	0	0	0	0	0	0
BRONZ-USD	0	0	0	0	0	0
BRX-USD	0	0	0	0	0	0
BS-USD	0	0	0	0	0	0
BSC-USD	0	0	0	0	0	0
BSD-USD	0	0	0	0	0	0
BST-USD	0	0	0	0	0	0
BSTAR-USD	0	0	0	0	0	0
BSTK-USD	0	0	0	0	0	0
BSTY-USD	0	0	0	0	0	0
BT-USD	0	0	0	0	0	0
BT1-USD	0	0	0	0	0	0
BT2-USD	0	0	0	0	0	0
BTA-USD	0	0	0	0	0	0
BTB-USD	0	0	0	0	0	0
BTC-USD	0	0	74.678	89.63	102.5905551452	0
BTCD-USD	0	0	47.24	78.854	72.74086470781	0
BTCL-USD	0	0	0	0	0	0
BTCM-USD	0	0	0	0	0	0
BTCR-USD	0	0	0	0	0	0
BTCRED-USD	0	0	0	0	0	0
BTCRY-USD	0	0	0	0	0	0
BTCS-USD	0	0	0	0	0	0
BTCZ-USD	0	0	0	0	0	0
BTD-USD	0	0	0	0	0	0
BTDX-USD	0	0	0	0	0	0
BTE-USD	0	0	0	0	0	0
BTG-USD	0	0	0	0	0	0
BTLC-USD	0	0	0	0	0	0
BTM-USD	0	0	71.8	84.444	91.08793016772	0
BTMI-USD	0	0	0	0	0	0
BTPL-USD	0	0	0	0	0	0
BTQ-USD	0	0	0	0	0	0
BTS-USD	0	0	57.518	88.148	80.66986187766	0
BTTF-USD	0	0	0	0	0	0
BTX-USD	0	0	0	0	0	0
BTZ-USD	0	0	0	0	0	0
BUCKS-USD	0	0	0	0	0	0
BUK-USD	0	0	0	0	0	0
BULLS-USD	0	0	0	0	0	0
BURST-USD	0	0	0	0	0	0
BUZZ-USD	0	0	0	0	0	0
BVC-USD	0	0	0	0	0	0
BXC-USD	0	0	0	0	0	0
BXT-USD	0	0	0	0	0	0
BYC-USD	0	0	0	0	0	0
C2-USD	0	0	0	0	0	0
C20-USD	0	0	0	0	0	0
CAB-USD	0	0	0	0	0	0
CABS-USD	0	0	0	0	0	0
CACH-USD	0	0	0	0	0	0
CAG-USD	0	0	0	0	0	0
CAIX-USD	0	0	0	0	0	0
CALC-USD	0	0	0	0	0	0
CAM-USD	0	0	0	0	0	0
CANN-USD	0	0	0	0	0	0
CAP-USD	0	0	0	0	0	0
CAPP-USD	0	0	0	0	0	0
CARBON-USD	0	0	0	0	0	0
CAS-USD	0	0	0	0	0	0
CASH-USD	0	0	0	0	0	0
CAT-USD	0	0	0	0	0	0
CAV-USD	0	0	0	0	0	0
CBD-USD	0	0	0	0	0	0
CBX-USD	0	0	0	0	0	0
CC-USD	0	0	0	0	0	0
CCC-USD	0	0	0	0	0	0
CCN-USD	0	0	0	0	0	0
CCRB-USD	0	0	0	0	0	0
CCX-USD	0	0	0	0	0	0
CDN-USD	0	0	0	0	0	0
CDT-USD	0	0	0	0	0	0
CDX-USD	0	0	0	0	0	0
CELL-USD	0	0	0	0	0	0
CESC-USD	0	0	0	0	0	0
CETI-USD	0	0	0	0	0	0
CF-USD	0	0	0	0	0	0
CFC-USD	0	0	0	0	0	0
CFD-USD	0	0	0	0	0	0
CFI-USD	0	0	0	0	0	0
CFT-USD	0	0	0	0	0	0
CGA-USD	0	0	0	0	0	0
CHA-USD	0	0	0	0	0	0
CHAO-USD	0	0	0	0	0	0
CHASH-USD	0	0	0	0	0	0
CHAT-USD	0	0	0	0	0	0
CHC-USD	0	0	0	0	0	0
CHESS-USD	0	0	0	0	0	0
CHIEF-USD	0	0	0	0	0	0
CHILD-USD	0	0	0	0	0	0
CHIP-USD	0	0	0	0	0	0
CHOOF-USD	0	0	0	0	0	0
CIN-USD	0	0	0	0	0	0
CINNI-USD	0	0	0	0	0	0
CIR-USD	0	0	0	0	0	0
CIRC-USD	0	0	0	0	0	0
CIX-USD	0	0	0	0	0	0
CJ-USD	0	0	0	0	0	0
CJC-USD	0	0	0	0	0	0
CJT-USD	0	0	0	0	0	0
CKC-USD	0	0	0	0	0	0
CLAM-USD	0	0	0	0	0	0
CLD-USD	0	0	0	0	0	0
CLICK-USD	0	0	0	0	0	0
CLINT-USD	0	0	0	0	0	0
CLOAK-USD	0	0	0	0	0	0
CLOUT-USD	0	0	0	0	0	0
CLR-USD	0	0	0	0	0	0
CLUB-USD	0	0	0	0	0	0
CLUD-USD	0	0	0	0	0	0
CLV-USD	0	0	0	0	0	0
CMC-USD	0	0	0	0	0	0
CMP-USD	0	0	0	0	0	0
CMPCO-USD	0	0	0	0	0	0
CMS-USD	0	0	0	0	0	0
CMT-USD	0	0	0	0	0	0
CNBC-USD	0	0	0	0	0	0
CNC-USD	0	0	0	0	0	0
CND-USD	0	0	0	0	0	0
CNL-USD	0	0	0	0	0	0
CNMT-USD	0	0	0	0	0	0
CNO-USD	0	0	0	0	0	0
CNT-USD	0	0	0	0	0	0
CNX-USD	0	0	0	0	0	0
COB-USD	0	0	0	0	0	0
COC-USD	0	0	0	0	0	0
COE-USD	0	0	0	0	0	0
COFI-USD	0	0	0	0	0	0
COIN-USD	0	0	0	0	0	0
COLX-USD	0	0	0	0	0	0
COMM-USD	0	0	0	0	0	0
CON-USD	0	0	0	0	0	0
COOL-USD	0	0	0	0	0	0
COR-USD	0	0	0	0	0	0
CORAL-USD	0	0	0	0	0	0
CORE-USD	0	0	0	0	0	0
COSS-USD	0	0	0	0	0	0
COV-USD	0	0	0	0	0	0
COVAL-USD	0	0	0	0	0	0
COX-USD	0	0	0	0	0	0
CPAY-USD	0	0	0	0	0	0
CPC-USD	0	0	0	0	0	0
CQST-USD	0	0	0	0	0	0
CRAB-USD	0	0	0	0	0	0
CRACK-USD	0	0	0	0	0	0
CRAFT-USD	0	0	0	0	0	0
