[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
ANTH.PVT	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
APP	0.288	68.34	49.24	48.5	53.16	5	1.0	60.93	1.001	25.589
ARKB	1.253	79.531	58.09	49.79	56.33	5	1.0	57.17	0.994	40.299
ARKZ	3.686	99.8	67.52	56.74	60.4	5	1.0	66.75	1.014	39.656
BITB	1.247	79.461	58.05	53.56	57.37	5	1.0	57.12	0.994	40.198
BITC	0.001	65.013	55.54	42.9	47.21	5	1.0	56.66	0.993	32.959
BITQ	2.527	94.309	42.86	52.21	47.54	5	1.0	31.81	0.949	27.651
BMNR	0.0	65.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
BTC	1.288	79.944	57.55	56.66	58.13	5	1.0	57.03	0.993	40.122
CIFRW	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
CLSK	1.889	86.908	46.79	40.83	44.15	5	1.0	34.01	0.961	35.26
COIN	3.646	99.8	44.85	48.04	45.44	5	1.0	41.49	0.952	32.666
CRWV	0.756	73.775	38.74	20.56	34.98	5	1.0	25.55	0.918	34.753
DAVE	0.67	72.77	59.92	54.17	62.78	5	1.0	46.76	1.052	53.498
DYNX	0.385	69.471	51.23	47.26	45.85	5	1.0	49.55	0.944	21.223
ETH	3.767	99.8	68.09	63.64	62.69	5	1.0	67.08	1.017	36.762
ETHE	3.802	99.8	67.65	60.98	61.65	5	1.0	67.09	1.017	36.616
ETHW	3.706	99.8	66.9	68.83	63.97	5	1.0	67.0	1.016	35.894
FILG	1.97	87.858	59.26	56.52	53.33	5	1.0	60.18	0.988	37.547
GBTC	1.221	79.164	57.8	49.52	56.17	5	1.0	56.93	0.994	39.768
GDLC	2.081	89.142	62.49	54.74	59.63	5	1.0	59.9	0.997	39.473
GLXY	0.0	65.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
HIVE	1.115	77.93	49.94	57.06	44.66	5	1.0	31.63	0.929	28.89
IBIT	1.256	79.572	57.17	48.49	55.69	5	1.0	56.86	0.993	39.46
IREN	4.787	99.8	44.31	59.41	53.33	5	1.0	28.69	0.895	31.724
MSTR	0.672	72.797	41.47	41.64	44.8	5	1.0	33.68	0.963	32.819
MVST	-0.83	55.371	47.57	30.55	43.26	5	1.0	42.76	0.97	39.255
OWNB	1.362	80.799	38.13	38.29	42.43	5	1.0	28.18	0.948	22.608
PEAI.PVT	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
RIOT	3.181	99.8	45.82	64.25	57.75	5	1.0	57.28	0.949	16.774
SBET	5.536	99.8	30.29	49.92	42.81	5	1.0	43.83	0.826	14.299
TMTG	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
XTAO-U.NE	0.0	65.0	0.0	0.0	0.0	5	1.0	0.0	0.0	0.0
XXRP	1.536	82.817	56.77	53.66	55.55	5	1.0	53.03	0.913	39.584
XYZ	2.863	98.209	53.95	73.89	64.77	5	1.0	64.99	0.981	29.277
