[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
B0=F	0	0	0	0	0	0
BO=F	0	0	0	0	0	0
BZ=F	0	0	0	0	0	0
C=F	0	0	0	0	0	0
CC=F	0	0	0	0	0	0
CL=F	0	0	0	0	0	0
CT=F	0	0	0	0	0	0
FC=F	0	0	0	0	0	0
GC=F	0	0	0	0	0	0
HG=F	0	0	0	0	0	0
HO=F	0	0	0	0	0	0
KC=F	0	0	0	0	0	0
KW=F	0	0	0	0	0	0
LB=F	0	0	0	0	0	0
LC=F	0	0	0	0	0	0
LH=F	0	0	0	0	0	0
NG=F	0	0	0	0	0	0
O=F	0	0	0	0	0	0
OJ=F	0	0	0	0	0	0
PA=F	0	0	0	0	0	0
PL=F	0	0	0	0	0	0
RB=F	0	0	0	0	0	0
RR=F	0	0	0	0	0	0
S=F	0	0	0	0	0	0
SB=F	0	0	0	0	0	0
SI=F	0	0	0	0	0	0
SM=F	0	0	0	0	0	0
ZG=F	0	0	0	0	0	0
ZI=F	0	0	0	0	0	0
