[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
0002.HK	0	0	0	0	0	0
0004.HK	0	0	0	0	0	0
0005.HK	0	0	0	0	0	0
0008.HK	0	0	0	0	0	0
0010.HK	0	0	0	0	0	0
0012.HK	0	0	0	0	0	0
0016.HK	0	0	0	0	0	0
0020.HK	0	0	0	0	0	0
0034.HK	0	0	0	0	0	0
0035.HK	0	0	0	0	0	0
0043.HK	0	0	0	0	0	0
0044.HK	0	0	0	0	0	0
0054.HK	0	0	0	0	0	0
0081.HK	0	0	0	0	0	0
0101.HK	0	0	0	0	0	0
0123.HK	0	0	0	0	0	0
0127.HK	0	0	0	0	0	0
0163.HK	0	0	0	0	0	0
0165.HK	0	0	0	0	0	0
0173.HK	0	0	0	0	0	0
0179.HK	0	0	0	0	0	0
0182.HK	0	0	0	0	0	0
0190.HK	0	0	0	0	0	0
0207.HK	0	0	0	0	0	0
0267.HK	0	0	0	0	0	0
0270.HK	0	0	0	0	0	0
0272.HK	0	0	0	0	0	0
0288.HK	0	0	0	0	0	0
0303.HK	0	0	0	0	0	0
0336.HK	0	0	0	0	0	0
0337.HK	0	0	0	0	0	0
0363.HK	0	0	0	0	0	0
0382.HK	0	0	0	0	0	0
0405.HK	0	0	0	0	0	0
0408.HK	0	0	0	0	0	0
0435.HK	0	0	0	0	0	0
0460.HK	0	0	0	0	0	0
0488.HK	0	0	0	0	0	0
0493.HK	0	0	0	0	0	0
0533.HK	0	0	0	0	0	0
0543.HK	0	0	0	0	0	0
0546.HK	0	0	0	0	0	0
0551.HK	0	0	0	0	0	0
0579.HK	0	0	0	0	0	0
0580.HK	0	0	0	0	0	0
0604.HK	0	0	0	0	0	0
0656.HK	0	0	0	0	0	0
0683.HK	0	0	0	0	0	0
0737.HK	0	0	0	0	0	0
0743.HK	0	0	0	0	0	0
0754.HK	0	0	0	0	0	0
0777.HK	0	0	0	0	0	0
0778.HK	0	0	0	0	0	0
0808.HK	0	0	0	0	0	0
0823.HK	0	0	0	0	0	0
0829.HK	0	0	0	0	0	0
0836.HK	0	0	0	0	0	0
0867.HK	0	0	0	0	0	0
0868.HK	0	0	0	0	0	0
0882.HK	0	0	0	0	0	0
0884.HK	0	0	0	0	0	0
0903.HK	0	0	0	0	0	0
0945.HK	0	0	0	0	0	0
0956.HK	0	0	0	0	0	0
0966.HK	0	0	0	0	0	0
0968.HK	0	0	0	0	0	0
0978.HK	0	0	0	0	0	0
0992.HK	0	0	0	0	0	0
1030.HK	0	0	0	0	0	0
1045.HK	0	0	0	0	0	0
1052.HK	0	0	0	0	0	0
1066.HK	0	0	0	0	0	0
1098.HK	0	0	0	0	0	0
1113.HK	0	0	0	0	0	0
1238.HK	0	0	0	0	0	0
1249.HK	0	0	0	0	0	0
1330.HK	0	0	0	0	0	0
1345.HK	0	0	0	0	0	0
1349.HK	0	0	0	0	0	0
1359.HK	0	0	0	0	0	0
1426.HK	0	0	0	0	0	0
1628.HK	0	0	0	0	0	0
1733.HK	0	0	0	0	0	0
1777.HK	0	0	0	0	0	0
1811.HK	0	0	0	0	0	0
1813.HK	0	0	0	0	0	0
1848.HK	0	0	0	0	0	0
1883.HK	0	0	0	0	0	0
1888.HK	0	0	0	0	0	0
1899.HK	0	0	0	0	0	0
1918.HK	0	0	0	0	0	0
1963.HK	0	0	0	0	0	0
1966.HK	0	0	0	0	0	0
1999.HK	0	0	0	0	0	0
2005.HK	0	0	0	0	0	0
2007.HK	0	0	0	0	0	0
2198.HK	0	0	0	0	0	0
2222.HK	0	0	0	0	0	0
2280.HK	0	0	0	0	0	0
2380.HK	0	0	0	0	0	0
2678.HK	0	0	0	0	0	0
2778.HK	0	0	0	0	0	0
2877.HK	0	0	0	0	0	0
3311.HK	0	0	0	0	0	0
3315.HK	0	0	0	0	0	0
3339.HK	0	0	0	0	0	0
3368.HK	0	0	0	0	0	0
3378.HK	0	0	0	0	0	0
3698.HK	0	0	0	0	0	0
3818.HK	0	0	0	0	0	0
3900.HK	0	0	0	0	0	0
6823.HK	0	0	0	0	0	0
6863.HK	0	0	0	0	0	0
