"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"WOCKPHARMA.NS","Wockhardt Limited","201432028","51.05","79.584","99.8","85.78","53.17073","68.162355","100","71.99841","79.584","1060","1034.55","-2.4",""
"PILANIINVS.NS","Pilani Investment and Industries Corporation Limited","234958827","71.3","79.581","99.8","86.163","52.77852","57.11213","100","79.02368","79.581","5568.1","5379.95","-3.38",""
"SUVENPHAR.NS","Suven Pharmaceuticals Ltd","1077731444","18","78.999","99.8","84.16","53.03671","83.501015","100","80.63883","78.999","1061.5","1200.15","13.06",""
"UFLEX.NS","Uflex Ltd","4113530191","100","78.912","97.4945","87.277","51.96354","80.70588","100","82.98541","78.912","763.5","774.55","1.45",""
"OFSS.NS","Oracle Financial Services Software Limited","115742732","85.8","78.396","99.8","83.482","51.90737","50","100","72.67293","78.396","10874.05","10847.8","-0.24",""
"BASF.NS","BASF India Limited","192099393","17.4","78.33","99.8","80.775","54.41439","69.7189","100","73.85056","78.33","6592.6","6778.25","2.82",""
"DICIND.NS","DIC India Limited","91992672","14.35","78.067","99.8","82.681","51.72013","98.70404","100","80.07632","78.067","711.25","732","2.92",""
"GODFRYPHLP.NS","Godfrey Phillips India Limited","410551585","67.3","78.026","99.8","84.637","49.6408","77.72884","99.80772","80.48118","78.026","6550","7205.85","10.01",""
"RANEHOLDIN.NS","Rane Holdings Limited","669884007","43.1","78","99.8","82.396","51.80488","68.781165","100","86.38998","78","2001.3","2328.25","16.34",""
"SEAMECLTD.NS","Seamec Limited","8102905","34.95","77.826","99.8","82.992","50.68539","61.58369","100","75.42672","77.826","1587.85","1510.2","-4.89",""
"SOLARA.NS","Solara Active Pharma Sciences Limited","4472545","30.1","77.775","96.671","88.047","48.60803","79.52597","100","65.00779","77.775","711","746.85","5.04",""
"QUICKHEAL.NS","Quick Heal Technologies Limited","48552620","100","77.429","99.8","83.103","49.38261","72.38869","100","81.36808","77.429","711","740.9","4.21",""
"20MICRONS.NS","20 Microns Ltd","410970086","100","77.132","99.8","83.769","47.82754","100","100","79.7367","77.132","318.8","317.85","-0.3",""
"GUJAPOLLO.NS","Gujarat Apollo Industries Ltd","40677196","77.3","77.082","99.7839","87.154","44.30845","100","100","83.98198","77.082","391.05","371","-5.13",""
"GLENMARK.NS","GLENMARK PHARM","10118342","44","77.081","99.8","73.545","57.89899","71.2137","100","69.76509","77.081","1737.9","1702.7","-2.03",""
"TCPLPACK.NS","TCPL PACKAGING LTD","1560208359","28.5","76.937","99.8","79.535","51.47475","100","100","85.59865","76.937","3360","3421.95","1.84",""
"BHAGERIA.NS","Bhageria Industries Limited","45627246","33.85","76.852","92.7438","90.477","47.3358","93.037755","98.37891","86.41617","76.852","238.32","246.65","3.5",""
"GRSE.NS","GARDEN REACH SHIPB","29360184","60.2","76.739","99.8","80.169","50.24686","50","60.21969","74.55405","76.739","1818","1831.5","0.74",""
"GOLDIAM.NS","Goldiam International Ltd","78960860","-0.35","76.516","99.8","81.676","48.07194","100","100","79.95313","76.516","330","331.5","0.45",""
"JUBLINDS.NS","JUBILANT INDUSTRIE","2064172216","-4.2","76.473","99.8","81.455","48.1626","61.004625","100","66.55877","76.473","1725","1867.4","8.26",""
"JUSTDIAL.NS","Just Dial Limited","62919928","93.7","76.411","97.5961","84.404","47.23429","94.71943","100","73.83439","76.411","1260","1240.4","-1.56",""
"NEWGEN.NS","Newgen Software Technologies Limited","77406745","79.25","76.353","99.8","77.158","52.10249","74.641815","98.95726","69.84207","76.353","1121.9","1096.05","-2.3",""
"SUMMITSEC.NS","Summit Securities Limited","1301694859","100","76.333","99.8","75.474","53.72555","68.74767","100","75.57978","76.333","2533","2403.5","-5.11",""
"DHUNINV.NS","DHUNSERI INVESTMEN","3773200","100","76.158","99.8","79.861","48.81301","100","100","81.63128","76.158","1599","1895.4","18.54",""
"IMPAL.NS","India Motor Parts & Accessories Limited","194690229","35.2","76.049","99.6112","78.731","49.8034","100","100","66.75287","76.049","1331.95","1445.35","8.51",""
"COCHINSHIP.NS","Cochin Shipyard Limited","541876298","54.4","76.012","99.8","77.825","50.41143","50","44.35129","69.36878","76.012","1881","1861.35","-1.04",""
"VLSFINANCE.NS","VLS Finance Limited","81515362","74.1","75.928","99.8","77.21","50.77507","89.93485","100","75.74609","75.928","381.15","408.75","7.24",""
"KSCL.NS","Kaveri Seed Company Limited","96688126","-2.4","75.87","97.9172","76.462","53.22986","73.134095","100","71.43771","75.87","1058","1115.05","5.39",""
"CHOLAHLDNG.NS","Cholamandalam Financial Holdings Limited","33321954","59.8","75.703","99.8","77.176","50.13254","50","100","72.7892","75.703","1612","1816.9","12.71",""
"PPL.NS","Prakash Pipes Limited","67926434","77","75.636","99.8","76.161","50.94654","56.186365","100","77.00245","75.636","630","641.8","1.87",""
