"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"20MICRONS.NS","20 Microns Ltd","35156771","49.646","99.8","19.5","80.32","46.22222","42.894745","12.61512","74.85125",""
"AARTIDRUGS.NS","AARTI DRUGS LTD","77560051","54.077","73.4268","27.85","74.776","46","5.85298","0","68.19477",""
"ACC.NS","ACC LIMITED","812088623","37.368","65.8425","50.2","44.261","52.88889","50","3.51553","44.86469",""
"ADANIPORTS.NS","Adani Ports and Special Economic Zone Limited","2907550181","57.113","80.0339","79.55","41.672","54.66667","0","0","43.86846",""
"ADFFOODS.NS","ADF Foods Limited","229543464","68.427","98.5414","56.7","84.365","43.55556","61.82509","100","72.17694",""
"ADVENZYMES.NS","ADVANCED ENZYME TE","263509152","62.15","96.0661","67.45","73.44","48","50","76.30565","73.7903",""
"AGARIND.NS","AGARWAL INDUSTRIAL","31056706","54.052","91.6503","48.4","65.454","47.55556","15.99386","0","57.29381",""
"AIAENG.NS","AIA Engineering Limited","287799257","46.549","87.1545","22.55","54.757","51.11111","14.83733","0","39.94534",""
"AJANTPHARM.NS","AJANTA PHARMA","501503664","51.67","99.8","20.2","54.087","50.44444","50","68.4217","68.73358",""
"AKSHARCHEM.NS","AksharChem (India) Limited","2517469","46.604","77.18","7.2","75.816","44.88889","17.22105","0","55.58433",""
"AKSHOPTFBR.NS","Aksh Optifibre Ltd","11651714","69.514","75.1437","68.15","60.464","38.22222","90.82205","90.54983","72.42759",""
"ALBERTDAVD.NS","Albert David Ltd","7259064","51.466","99.8","26.3","72.522","49.77778","50","42.44136","69.41885",""
"ALEMBICLTD.NS","ALEMBIC LTD","125417642","54.072","92.299","46.3","65.755","46.88889","18.58212","0","64.4262",""
"ALICON.NS","Alicon Castalloy Limited","31681525","49.452","81.5918","40.4","65.825","46","25.51792","2.12434","61.25865",""
"ALKALI.NS","Alkali Metals Ltd","10011831","43.684","62.7145","49.25","74.752","43.11111","39.223595","4.83552","49.57276",""
"ALKEM.NS","ALKEM LAB LTD","1120447805","52.186","99.0372","28.55","50.277","54","50","70.2694","63.16954",""
"ALLSEC.NS","Allsec Technologies Limited","34640619","53.298","96.5175","0.65","74.285","47.11111","0","3.72954","50.79631",""
"ALPHAGEO.NS","Alphageo (India) Limited","3879885","47.744","83.2735","-1.85","75.018","48","25.32448","1.88537","78.52846",""
