[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
VENKEYS.NS	-2.758	33.011	22.7	16.59	16.24	5	0.12
SANWARIA.NS	-3.443	30.2	27.91	11.4	17.13	0	-0.79
SALZERELEC.NS	-2.958	30.692	24.45	16.63	17.45	5	0.02
RANASUG.NS	-1.636	46.018	23.69	14.39	19.05	5	0.58
PPL.NS	-1.578	46.698	26.52	23.91	22.17	5	0.76
GOLDIAM.NS	-1.52	47.369	29.34	23.87	22.53	0	0.19
AKSHOPTFBR.NS	-1.974	42.104	24.0	18.12	23.14	0	0.64
DPWIRES.NS	-1.685	45.459	29.85	20.2	23.61	5	1.38
INDIANCARD.NS	-1.511	47.475	24.45	16.96	25.87	0	1.41
CHOLAFIN.NS	-1.571	46.779	29.05	33.34	27.34	5	1.27
RATNAMANI.NS	-1.587	46.588	27.04	19.4	28.31	5	0.53
GRPLTD.NS	-2.899	31.374	19.48	31.15	28.45	5	1.0
SEAMECLTD.NS	-2.376	37.444	23.72	34.85	28.6	5	0.13
NUCLEUS.NS	-3.669	30.2	28.98	23.05	28.97	5	0.34
LUXIND.NS	-1.895	43.018	32.48	19.47	29.21	5	0.89
SALASAR.NS	-3.119	30.2	34.97	27.3	29.37	5	0.1
ALKALI.NS	-1.636	46.018	31.18	21.09	29.73	0	-0.08
THEMISMED.NS	-2.162	39.915	39.35	23.38	29.91	5	0.63
KOHINOOR.NS	-2.55	35.415	31.41	22.74	29.94	0	0.35
ELGIRUBCO.NS	-2.936	30.947	33.83	17.97	30.28	0	1.03
