[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
20MICRONS.NS	0.965	76.191	70.54	59.75	59.95	0	1.33	57.12	0.961	78.477
63MOONS.NS	2.231	90.883	46.46	43.63	49.63	0	0.69	35.81	0.97	63.049
AARTIDRUGS.NS	1.591	83.454	63.49	58.12	58.11	5	0.7	66.19	1.006	66.885
ACC.NS	-0.86	55.018	36.59	43.73	36.22	5	1.14	16.48	0.97	45.133
ADANIPORTS.NS	-0.097	63.87	42.05	36.87	45.91	5	1.13	25.49	0.995	65.556
ADFFOODS.NS	2.016	88.38	40.69	45.84	45.35	5	0.16	40.87	0.987	51.577
ADVENZYMES.NS	2.269	91.324	65.9	74.39	64.21	5	0.2	85.92	1.035	59.597
AGARIND.NS	0.037	65.429	51.82	48.97	46.61	5	1.27	67.43	1.007	67.408
AIAENG.NS	-1.329	49.588	27.95	21.83	26.04	5	0.54	16.99	0.971	39.349
AJANTPHARM.NS	1.508	82.498	70.63	52.32	55.39	5	-0.21	71.32	1.019	71.657
AKSHARCHEM.NS	1.293	80.001	50.49	47.68	55.19	5	0.15	34.37	0.974	61.568
AKSHOPTFBR.NS	-1.974	42.104	24.0	18.12	23.14	0	0.64	19.85	0.976	40.224
ALBERTDAVD.NS	2.499	93.99	56.27	61.79	57.18	0	0.26	46.76	1.007	66.524
ALEMBICLTD.NS	0.285	68.304	42.24	29.49	44.45	5	0.81	19.28	0.978	66.074
ALICON.NS	0.066	65.765	46.19	40.58	47.77	5	0.36	39.15	0.976	65.258
ALKALI.NS	-1.636	46.018	31.18	21.09	29.73	0	-0.08	18.25	0.978	52.311
ALKEM.NS	-0.583	58.24	55.85	63.01	66.97	5	0.2	71.88	1.012	53.946
ALPHAGEO.NS	0.33	68.823	30.43	29.86	35.22	5	0.89	18.58	0.969	30.558
AMBIKCO.NS	1.084	77.579	45.48	58.81	54.58	5	0.64	50.19	1.002	59.022
AMBUJACEM.NS	1.882	86.836	56.61	62.07	54.58	5	0.93	61.64	0.991	58.789
AMRUTANJAN.NS	-1.7	45.286	30.87	32.67	37.56	5	0.28	19.99	0.975	53.811
ANDHRSUGAR.NS	0.16	66.856	42.92	39.85	48.07	0	1.13	13.9	0.968	62.604
ANUP.NS	-0.766	56.116	55.77	38.6	43.97	5	0.28	33.57	1.005	78.597
APARINDS.NS	3.321	99.8	80.23	88.4	75.61	5	1.44	92.96	1.065	96.797
APCL.NS	1.634	83.958	54.7	70.3	67.32	5	0.59	66.96	1.014	71.329
APEX.NS	1.805	85.933	46.17	59.72	50.37	5	0.62	41.44	0.992	47.538
APLLTD.NS	0.63	72.312	57.65	48.2	56.15	5	0.14	61.23	1.012	64.952
APOLLOPIPE.NS	-2.018	41.596	35.17	30.11	41.22	5	-0.38	15.05	0.968	48.268
ARMANFIN.NS	0.84	74.739	42.71	35.46	48.27	5	1.37	32.85	0.98	63.31
ASAHISONG.NS	-0.725	56.588	24.26	51.06	43.08	5	0.49	1.0	0.949	9.682
ASAL.NS	0.525	71.089	45.45	29.88	40.36	0	0.66	15.5	0.926	68.459
ASALCBR.NS	-0.758	56.206	33.38	24.5	24.71	5	0.69	14.05	0.955	34.818
ASHAPURMIN.NS	3.626	99.8	61.43	61.87	62.0	5	1.76	60.8	0.987	66.627
ASTEC.NS	3.243	99.8	48.0	42.26	46.17	5	2.38	23.03	0.98	64.307
ATUL.NS	-0.893	54.646	40.91	43.41	47.1	5	0.8	31.41	1.004	53.211
AUBANK.NS	0.658	72.628	47.01	51.44	54.05	5	0.61	31.33	1.007	66.03
AURIONPRO.NS	0.42	69.876	58.11	55.58	48.4	5	0.4	29.42	0.978	78.212
AUROPHARMA.NS	0.161	66.87	56.98	55.1	57.43	5	0.54	59.9	1.031	72.322
AUTOAXLES.NS	0.974	76.295	45.79	75.65	65.75	5	-0.17	69.85	1.009	34.459
AVADHSUGAR.NS	-2.589	34.971	43.81	31.4	36.26	5	0.34	29.99	0.999	72.848
BAJAJ-AUTO.NS	-1.003	53.367	36.83	54.51	51.57	5	1.19	30.65	0.99	60.036
BAJAJCON.NS	4.246	99.8	39.64	50.78	50.47	5	0.42	31.19	0.961	32.43
BAJAJFINSV.NS	-0.565	58.444	35.24	31.5	35.3	0	1.12	23.13	0.981	52.652
BAJAJHLDNG.NS	0.691	73.017	56.64	50.13	55.09	5	1.08	51.34	1.005	70.494
BALAMINES.NS	2.17	90.176	51.96	55.05	54.73	0	1.56	33.58	1.0	69.791
BALKRISIND.NS	3.557	99.8	64.11	77.55	61.73	5	0.54	63.97	1.005	66.292
BALRAMCHIN.NS	0.415	69.813	43.24	44.39	46.93	0	0.35	33.19	0.989	61.498
BANARISUG.NS	-1.762	44.563	29.38	28.27	30.49	5	0.57	37.83	0.999	35.496
BANCOINDIA.NS	1.16	78.456	43.71	40.45	44.84	0	0.24	18.46	0.966	67.262
BANDHANBNK.NS	0.6	71.956	32.36	34.77	43.57	5	1.1	26.07	0.97	38.23
BANG.NS	-0.037	64.575	28.19	23.86	28.52	0	-0.08	18.88	0.963	31.128
BANSWRAS.NS	0.204	67.365	58.3	41.97	48.65	0	0.01	50.91	1.023	65.42
BASF.NS	-0.941	54.083	55.61	43.76	50.33	5	0.24	44.29	1.002	72.816
BBL.NS	0.043	65.495	52.62	53.07	52.61	5	0.61	31.66	0.975	72.051
BDL.NS	-1.817	43.922	33.79	21.13	32.43	5	0.52	28.13	0.972	61.032
BEPL.NS	-0.339	61.073	41.35	34.12	34.89	5	0.85	26.7	0.992	66.327
BFINVEST.NS	-1.081	52.458	39.68	31.77	40.55	5	0.81	25.94	0.996	64.964
BHAGERIA.NS	0.807	74.358	35.16	47.08	50.3	5	0.29	28.32	0.995	45.737
BHANDARI.NS	0.093	66.074	50.92	35.33	41.9	0	0.99	33.42	1.0	73.885
BHARATRAS.NS	1.104	77.802	48.98	54.18	49.09	5	0.52	35.26	1.008	54.053
BIL.NS	2.683	96.123	71.3	83.15	71.43	5	0.31	63.52	0.99	91.775
BIRLACORPN.NS	1.744	85.234	73.41	86.16	71.65	5	0.75	88.27	1.037	79.264
BLBLIMITED.NS	0.581	71.744	70.85	56.9	58.55	0	0.77	97.06	1.045	85.673
BPCL.NS	0.617	72.155	40.7	45.74	50.89	0	1.87	32.06	0.991	46.912
BSE.NS	0.38	69.406	49.58	39.94	47.74	5	1.32	42.73	0.992	64.182
BSOFT.NS	-0.215	62.507	61.78	42.47	43.68	5	1.43	41.13	1.026	84.398
CALSOFT.NS	3.851	99.8	37.9	35.96	38.05	0	1.0	25.13	0.944	46.685
CANFINHOME.NS	-0.31	61.401	28.07	34.2	38.7	5	0.04	11.39	0.966	33.915
CARBORUNIV.NS	-1.337	49.487	31.98	22.1	28.26	5	0.43	9.45	0.967	37.983
CARERATING.NS	0.728	73.449	40.09	43.17	47.7	5	0.42	29.14	0.98	60.353
CDSL.NS	0.226	67.623	37.38	30.51	39.86	5	1.12	15.96	0.946	59.92
CEATLTD.NS	-1.176	51.36	41.05	40.74	41.33	5	0.48	26.66	0.987	66.115
CENTENKA.NS	2.278	91.423	56.38	48.18	46.03	0	0.4	46.07	0.99	67.788
