"Symbol","Company Name","Wtd Sortino Score"
"SINI","Singaraja Putra","385.3289545244"
"PANI","Pratama Abadi Nusa Industri Tbk PT","262.9049378682"
"BYAN","Bayan Resources Tbk","231.6231540682"
"IMAS","Indomobil Sukses Internasional","191.8824314594"
"PANR","Panorama Sentrawisata Tbk","190.6821136456"
"SRAJ","Sejahteraraya Anugrahjaya Tbk","183.8936380407"
"RAJA","Rukun Raharja Tbk","183.7184013894"
"NICL","PAM Mineral Tbk PT","183.0836438737"
"TMAS","PT Temas Tbk","167.8336398439"
"OKAS","Ancora Indonesia Resources Tbk","163.0310897122"
"ETWA","Eterindo Wahanatama Tbk","157.8894630819"
"GTBO","Garda Tujuh Buana Tbk","148.0754747506"
"WIIM","Wismilak Inti Makmur Tbk","142.7419190461"
"FILM","MD Pictures Tbk PT","136.7878863899"
"KAYU","Darmi Bersaudara Tbk PT","129.2218336538"
"SKRN","Superkrane Mitra Utama Tbk PT","127.3762448256"
"MAPA","MAP Aktif Adiperkasa Tbk PT","125.1652127963"
"PTIS","Indo Straits Tbk","120.6350712859"
"HRTA","Hartadinata Abadi Tbk PT","120.2664335073"
"FITT","Hotel Fitra International Tbk PT","114.5589694371"
"LION","Lion Metal Works Tbk","110.5792040741"
"PUDP","Pudjiadi Prestige Tbk","108.7001215214"
"PTRO","Petrosea Tbk","103.9971582811"
"MAPI","Mitra Adiperkasa Tbk","101.9641511503"
"AUTO","Astra Otoparts Tbk","100.9882469884"
"HITS","Humpuss Intermoda Transportasi","97.93357516361"
"NISP","Bank Ocbc Nisp Tbk","92.85426947006"
"ABMM","Abm Investama Tbk","91.04490849879"
"ADES","Akasha Wira International Tbk","90.28016532771"
"MRAT","Mustika Ratu Tbk","89.67169961502"
"ASPI","Andalan Sakti Primaindo PT","89.5017220396"
"LPGI","Lippo General Insurance Tbk","86.94966037238"
"APLI","Asiaplast Industries Tbk","86.30383427123"
"SULI","Slj Global Tbk","85.90863514898"
"LUCY","Lima Dua Lima Tiga PT","85.55366754174"
"MIDI","Midi Utama Indonesia Tbk","84.17369360811"
"BIPI","Benakat Petroleum Energy","84.05854826264"
"PKPK","Perdana Karya Perkasa Tbk","80.8001129276"
"TOTL","Total Bangun Persada Tbk","80.41836761563"
"RISE","Jaya Sukses Makmur Sentosa Tbk PT","80.41291590409"
"DYAN","Dyandra Media International PT","78.72121873684"
"AMRT","Sumber Alfaria Trijaya Tbk","78.34601172059"
"WINS","Wintermar Offshore Marine Tbk","77.93173724112"
"SOSS","Shield On Service Tbk PT","76.50965007263"
"MASA","Multistrada Arah Sarana Tbk","73.97300390064"
"BNGA","Bank Cimb Niaga Tbk","71.68661105856"
"TUGU","Asuransi Tugu Pratama Indonesia Tbk PT","69.14518755542"
"FMII","Fortune Mate Indonesia Tbk","68.59019287177"
"CFIN","Clipan Finance Indonesia Tbk","68.22211281612"
"SHID","Hotel Sahid Jaya Tbk","67.48758873144"
"GDST","Gunawan Dianjaya Steel Tbk","67.05067879564"
"KEEN","Kencana Energi Lestari","66.89019337242"
"NELY","Pelayaran Nelly Dwi Putri Tbk","66.25212771052"
"SMMT","Golden Eagle Energy Tbk","65.6848389786"
"ALKA","Alakasa Industrindo Tbk","63.91720542671"
"TRIS","Trisula International Tbk","63.0031675073"
"PSSI","Pelita Samudera Shipping Tbk PT","61.7959064283"
"MFIN","Mandala Multifinance Tbk","59.78785866706"
"DILD","Intiland Development Tbk","59.72117470888"
"SSMS","Sawit Sumbermas Sarana Tbk","59.45872356807"
"SILO","Siloam International Hospitals","59.00864511194"
"ZONE","Mega Perintis Tbk PT","58.88751076356"
"MICE","Multi Indocitra Tbk","56.78493703297"
"IPCC","PT Indonesia Kendaraan Terminal Tbk","56.60633559754"
"MSIN","MNC Studios International Tbk PT","55.52984951985"
"AKRA","Akr Corporindo Tbk","55.07371904824"
"SMSM","Selamat Sempurna Tbk","54.5544912475"
"WOMF","Wahana Ottomitra Multiartha","53.4589062823"
"PICO","Pelangi Indah Canindo Tbk","52.17629641615"
"MEDC","Medco Energi Internasional Tbk","51.90339006533"
"MBSS","Mitrabahtera Segara Sejati Tbk","51.81008901495"
"CAKK","Cahayaputra Asa Keramik Tbk PT","51.65077564726"
"PJAA","Pembangunan Jaya Ancol Tbk","51.41759856304"
"ADMF","Adira Dinamika Multi Finance","51.27321826861"
"FAPA","FAP Agri Tbk PT","51.2312820308"
"MAPB","Map Boga Adiperkasa Tbk PT","51.15404879462"
"BBRI","Bank Rakyat Indonesia Persero","50.89222028583"
"BUMI","Bumi Resources Tbk","50.81040983718"
"GPRA","Perdana Gapura Prima Tbk","50.50136164706"
"GJTL","Gajah Tunggal Tbk","49.84099417497"
"SMKL","Satyamitra Kemas Lestari Tbk PT","49.28072794473"
"ISAT","Indosat Tbk","49.00034182965"
"MCOL","Prima Andalan Mandiri Tbk PT","48.62665510101"
"MYOR","Mayora Indah Tbk","48.33773363411"
"BMRI","Bank Mandiri Persero Tbk PT","48.04479712095"
"BIRD","Blue Bird Tbk PT","47.31651226894"
"SAMF","Saraswanti Anugerah Makmur Pt","46.92177746841"
"CARS","Industri Dan Perdagangan Bintraco Dharma Tbk PT","46.75748277611"
"BSSR","Baramulti Suksessarana Tbk","46.70768556092"
"EAST","Eastparc Hotel Tbk PT","45.6473785249"
"UNIQ","Ulima Nitra PT","45.07451975807"
"KOPI","Mitra Energi Persada Tbk PT","44.29340680745"
"BEST","Bekasi Fajar Industrial Estate","44.26060189931"
"CLEO","Sariguna Primatirta PT","44.1205808678"
"MPMX","Mitra Pinasthika Mustika Tbk","42.58002913859"
"MKPI","Metropolitan Kentjana Tbk","42.36010084721"
"BNBR","Bakrie & Brothers Tbk","42.33455284572"
"PNIN","Paninvest Tbk","42.11171259445"
"ICBP","Indofood Cbp Sukses Makmur Tbk","41.28257349543"
"CAMP","Campina Ice Cream Industry Tbk PT","41.23950147413"
"PBSA","Paramita Bangun Sarana Tbk PT","41.17437914026"
