"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"ETWA.JK","Eterindo Wahanatama Tbk","5310473356","50","80.366","99.8","88.604","52.69258","100","100","75.42075","80.366","2.31","76.804","4.64","210","181","-13.81",""
"BYAN.JK","Bayan Resources Tbk","1687047724","50","75.994","99.8","75.064","53.11653","57.63542","70.55862","60.50997","75.994","10.83","75.677","0.42","18900","15000","-20.63",""
"SRAJ.JK","Sejahteraraya Anugrahjaya Tbk","5483915359","50","75.625","99.8","88.398","38.67684","75.22747","86.14198","65.1298","75.625","3.13","75.845","-0.29","660","645","-2.27",""
"TMAS.JK","Pelayaran Tempuran Emas Tbk","47465781868","50","75.354","99.8","79.106","47.15484","59.94704","100","71.71916","75.354","2.98","76.058","-0.93","286","288","0.7",""
"FAPA.JK","FAP Agri Tbk PT","457858353","50","73.469","99.8","73.548","47.05834","100","99.6297","60.26953","73.469","1.11","72.663","1.11","4980","5000","0.4",""
"MSIN.JK","PT. MNC Studios International Tbk","1015358071","50","73.226","99.8","86.255","33.62211","0","0","40.26362","73.226","1","73.925","-0.95","3990","3990","0",""
"RAJA.JK","Rukun Raharja Tbk","4286067734","50","73.014","99.8","75.575","43.66741","0","0.56345","51.56178","73.014","27.75","73.522","-0.69","1095","1170","6.85",""
"MCOL.JK","Prima Andalan Mandiri Tbk PT","853282649","50","72.86","99.8","77.277","41.50295","50","3.51777","48.21841","72.86","6.02","73.194","-0.46","5375","4530","-15.72",""
"PTIS.JK","Indo Straits Tbk","30204658","50","72.399","99.8","80.536","36.85995","82.1317","88.71978","74.81108","72.399","33.33","59.634","21.41","386","344","-10.88",""
"SINI.JK","PT Singaraja Putra Tbk","205795459380","50","72.229","99.8","77.165","39.722","70.556365","100","76.72759","72.229","6.67","71.755","0.66","1760","1905","8.24",""
"PANR.JK","PT Panorama Sentrawisata Tbk","9844064057","88.15","71.997","99.8","72.148","44.04336","76.86346","100","70.87874","71.997","23.57","71.781","0.3","845","770","-8.88",""
