[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
DCII.JK	12.989	99.8	84.79	95.19	87.22	5	3.53
KBLM.JK	6.378	99.8	88.56	94.81	86.99	0	1.25
PGUN.JK	4.555	99.8	88.41	93.14	83.98	5	2.69
BUVA.JK	5.776	99.8	82.93	93.71	82.87	5	1.2
NRCA.JK	35.576	99.8	74.1	87.67	78.63	0	5.01
BWPT.JK	3.902	99.8	85.78	83.17	76.02	5	2.53
MLPT.JK	3.113	99.8	80.6	75.79	72.95	5	2.96
BRPT.JK	8.082	99.8	64.5	87.41	72.76	5	1.74
MDKA.JK	1.951	87.631	69.24	84.5	72.2	5	1.22
TOBA.JK	5.523	99.8	73.51	70.9	71.92	0	3.3
DEWA.JK	6.439	99.8	61.87	79.1	67.15	5	2.17
AMAR.JK	3.604	99.8	74.77	76.95	67.03	5	2.98
IPCC.JK	1.733	85.107	51.48	71.11	64.82	5	1.78
SCMA.JK	1.601	83.568	56.78	78.06	63.03	0	2.01
BRMS.JK	2.064	88.947	69.82	66.15	62.42	0	1.9
SMBR.JK	2.221	90.765	66.52	66.88	61.21	0	2.15
IMJS.JK	2.687	96.171	52.54	75.17	60.69	0	2.28
PYFA.JK	4.695	99.8	59.07	70.19	60.66	0	2.73
