"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"AALI.JK","Astra Agro Lestari Tbk","5310473356","51.635","67.9349","50","52.995","43.55556","33.274235","57.27458","56.23099",""
"ABBA.JK","Mahaka Media Tbk","1687047724","44.562","57.1993","50","77.197","35.21445","34.366205","0","61.05389",""
"ABMM.JK","Abm Investama Tbk","5483915359","47.536","99.8","50","61.277","44.44444","50","28.97551","48.25326",""
"ACES.JK","PT Ace Hardware Indonesia Tbk","47465781868","40.318","30.2","50","49.805","39.55556","38.62797","36.49113","53.42926",""
"ACST.JK","Acset Indonusa Tbk","457858353","48.591","48.608","50","58.643","39.77778","3.31946","0","49.75037",""
"ADES.JK","PT Akasha Wira International Tbk","1015358071","53.227","99.8","50","64.865","43.11111","20.757695","16.64381","39.68667",""
"ADHI.JK","PT Adhi Karya (Persero) Tbk","4286067734","43.863","42.3815","50","48.33","38","6.534445","0","41.40183",""
"ADMF.JK","PT Adira Dinamika Multi Finance Tbk","853282649","61.233","81.2281","50","45.208","40.66667","77.89976","100","55.7254",""
"ADMG.JK","PT Polychem Indonesia Tbk","30204658","44.577","58.9195","32.45","60.425","30.44444","0","0","29.79716",""
"ADRO.JK","PT Adaro Energy Tbk","205795459380","47.583","97.2303","72.5","58.74","48","50","5.1037","51.50637",""
"AGII.JK","Aneka Gas Industri Tbk PT","9844064057","53.805","91.2818","50","71.452","45.55556","50","64.13348","54.21086",""
"AGRO.JK","PT Bank Rakyat Indonesia Agroniaga Tbk","12190920442","45.698","39.3432","91.3","60.857","39.55556","38.50307","0","65.83886",""
"AGRS.JK","Bank Agris Tbk","322590117","47.808","31.9421","50","78.221","30.66667","4.07752","0","51.98315",""
"AHAP.JK","Asuransi Harta Aman Pratama Tbk","857906792","40.67","70.293","47","74.706","30.44444","45.87126","3.86677","50.1233",""
"AIMS.JK","Akbar Indomakmur Stimec Tbk","211360332","51.267","62.3749","50","52.075","36.22222","50","81.44996","76.74479",""
"AISA.JK","PT Tiga Pilar Sejahtera Food Tbk","1992084419","49.438","51.629","50","69.814","38.22222","35.04834","53.00072","53.4965",""
"AKPI.JK","Argha Karya Prima Industry Tbk","24815573","52.388","97.58","50","81.688","36.88889","30.878105","25.13387","37.18358",""
"AKRA.JK","PT AKR Corporindo Tbk","55801372636","72.642","99.8","50","58.768","45.33333","100","98.75865","55.83279",""
"AKSI.JK","PT Maming Enam Sembilan Mineral Tbk","61332805","41.515","66.2299","50","44.408","31.11111","29.201005","0","57.25843",""
"ALDO.JK","PT Alkindo Naratama Tbk","147637886","50.24","69.6544","50","69.167","38.66667","0","0","24.19198",""
"ALKA.JK","Alakasa Industrindo Tbk","73017066","53.797","92.5164","50","86.184","37.41648","50","28.45927","82.00413",""
"AMAN.JK","Makmur Berkah Amanda Pt","4413410163","52.549","68.6038","50","76.847","24.27617","0.516125","4.11073","45.03781",""
"AMAR.JK","Bank Amar Indonesia ","4581855734","69.262","78.3176","50","74.52","41.55556","88.33881","100","63.76337",""
"AMFG.JK","Asahimas Flat Glass Tbk","394573438","44.402","76.8874","34.1","45.65","39.0411","15.508935","19.75487","26.39501",""
