[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
ZINC.JK	-8.12	30.2	23.44	27.3	20.14	5	0.09
BMHS.JK	-2.408	37.069	28.62	19.0	21.0	5	0.5
MFIN.JK	-2.788	32.663	25.93	16.95	21.46	0	-3.37
BNBR.JK	-13.568	30.2	34.92	15.37	21.48	5	-0.05
UCID.JK	-1.66	45.74	33.68	21.73	23.5	5	0.12
AHAP.JK	-3.724	30.2	25.87	21.37	23.53	0	1.14
UANG.JK	-2.797	32.559	32.15	15.58	23.67	5	1.39
WSBP.JK	-4.487	30.2	39.07	13.66	24.18	5	1.12
VRNA.JK	-2.393	37.246	29.01	21.24	24.59	5	0.35
MARI.JK	-5.41	30.2	31.26	26.08	24.73	0	0.15
HAIS.JK	-1.654	45.815	28.79	22.73	25.77	5	0.26
TNCA.JK	-2.632	34.469	33.13	32.76	26.32	5	0.49
BELL.JK	-29.183	30.2	43.43	19.14	26.4	5	-0.06
MCOL.JK	-3.444	30.2	22.87	31.3	27.19	5	-0.16
WEGE.JK	-3.146	30.2	34.12	32.41	27.21	5	0.63
MCAS.JK	-2.287	38.471	24.17	27.68	27.36	5	1.52
SONA.JK	-2.282	38.524	31.95	34.87	27.39	0	0.42
AGII.JK	-4.424	30.2	26.25	35.92	27.68	5	0.79
SMDM.JK	-2.163	39.906	35.51	26.85	27.81	5	1.52
EMDE.JK	-1.951	42.364	36.46	33.39	28.35	0	-0.1
