[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
AALI.JK	2.409	92.943	58.95	73.73	62.03	5	1.08	69.96	1.011	45.593
ABBA.JK	0.086	65.992	33.2	44.8	34.51	5	0.25	9.53	0.977	34.122
ABMM.JK	-1.458	48.082	33.47	53.87	40.84	5	0.75	46.95	0.998	48.544
ACES.JK	-0.131	63.48	43.1	59.72	49.31	5	1.49	37.83	1.008	60.218
ACST.JK	0.017	65.198	51.43	57.7	51.86	5	0.59	73.87	1.013	37.5
ADES.JK	3.297	99.8	66.49	74.64	68.2	5	0.13	71.04	1.035	74.123
ADHI.JK	-0.105	63.779	34.02	39.83	42.76	5	2.04	51.8	0.991	40.889
ADMF.JK	0.948	75.993	49.53	66.08	54.78	0	0.39	54.68	1.004	52.051
ADMG.JK	0.682	72.915	44.08	54.22	56.63	5	0.67	66.3	0.997	22.535
ADRO.JK	-0.293	61.605	46.17	61.26	49.71	0	1.46	62.19	0.983	41.228
AGII.JK	-4.424	30.2	26.25	35.92	27.68	5	0.79	16.32	0.983	32.545
AGRO.JK	-0.805	55.658	40.97	60.3	44.78	0	2.13	58.94	1.006	39.959
AGRS.JK	-0.744	56.367	40.65	60.93	44.06	5	0.73	45.19	1.0	43.209
AHAP.JK	-3.724	30.2	25.87	21.37	23.53	0	1.14	25.1	0.984	36.492
AIMS.JK	2.44	93.308	47.94	50.31	43.7	5	1.37	54.11	0.985	47.678
AISA.JK	-0.268	61.889	34.07	42.28	38.19	5	1.53	23.83	0.936	40.058
AKPI.JK	0.049	65.57	35.77	35.3	34.18	0	0.6	40.42	0.989	22.686
AKRA.JK	-0.133	63.455	60.48	72.02	61.86	5	0.37	88.24	1.058	58.885
AKSI.JK	-1.087	52.387	27.27	20.62	31.26	5	-0.09	7.62	0.954	27.951
ALDO.JK	0.224	67.604	38.85	52.9	39.48	5	-0.6	41.33	0.985	36.48
ALKA.JK	0.154	66.791	45.7	49.16	43.92	5	0.9	69.79	1.026	42.819
AMAG.JK	-0.656	57.394	58.72	54.33	51.18	0	0.42	75.37	1.017	68.785
AMAN.JK	1.155	78.395	57.3	77.61	63.28	5	0.28	79.72	1.049	35.785
AMAR.JK	3.604	99.8	74.77	76.95	67.03	5	2.98	75.04	1.054	83.679
AMFG.JK	-1.008	53.312	34.41	40.01	36.07	0	0.21	23.03	0.993	32.694
AMIN.JK	3.696	99.8	47.82	84.09	64.13	0	0.86	87.05	1.151	10.131
AMOR.JK	-1.041	52.926	45.77	46.68	41.38	5	-0.04	46.84	1.003	64.927
AMRT.JK	-1.374	49.057	54.25	51.12	52.84	5	0.07	49.8	1.026	74.742
ANDI.JK	13.623	99.8	62.58	61.35	63.4	5	0.57	64.54	1.029	84.15
ANJT.JK	1.092	77.662	47.99	54.58	50.79	5	0.12	56.34	1.004	64.096
ANTM.JK	0.758	73.796	44.12	59.08	52.82	5	0.48	49.38	1.002	56.688
APEX.JK	1.968	87.824	79.93	56.99	57.59	5	-3.36	92.84	1.16	96.429
APIC.JK	-0.002	64.977	47.88	68.49	53.76	5	0.77	54.88	0.994	56.78
APII.JK	1.099	77.743	56.15	54.45	48.44	5	0.04	59.39	1.017	61.747
APLI.JK	-0.85	55.143	63.64	50.74	54.84	0	-0.2	80.32	1.032	74.05
APLN.JK	-0.217	62.478	49.7	78.84	60.03	0	1.3	77.48	1.032	26.428
ARCI.JK	4.628	99.8	52.41	65.61	60.73	5	-1.88	67.48	0.999	35.06
ARII.JK	-0.82	55.485	53.83	61.94	53.11	5	0.41	64.14	1.01	65.923
ARNA.JK	-1.765	44.521	44.76	51.87	38.76	5	0.3	56.81	1.006	63.03
ARTO.JK	-0.394	60.428	63.01	67.17	59.07	5	2.07	77.97	1.03	62.229
ASBI.JK	0.559	71.487	56.24	49.42	46.49	0	-1.69	84.87	1.038	66.19
ASDM.JK	1.305	80.142	44.23	57.74	50.86	0	-0.75	54.37	1.021	32.998
ASGR.JK	0.998	76.575	57.36	67.1	61.28	0	0.8	83.84	1.024	51.511
ASII.JK	2.587	95.008	65.44	88.48	69.41	0	0.81	78.12	1.024	56.863
ASJT.JK	0.189	67.194	49.82	60.48	48.05	5	0.19	47.26	0.994	71.781
ASPI.JK	2.68	96.088	52.22	48.28	55.05	5	1.08	51.14	0.886	24.837
ASRI.JK	0.991	76.496	68.17	88.09	72.38	5	2.23	85.53	1.11	50.944
ASRM.JK	-1.482	47.811	41.44	33.96	37.09	0	0.52	57.52	1.0	41.815
ASSA.JK	2.576	94.881	41.31	66.47	55.84	0	1.75	61.68	0.968	9.06
ATAP.JK	-0.458	59.691	33.03	33.82	26.66	5	1.16	32.37	0.982	37.5
ATIC.JK	-0.456	59.708	46.8	40.1	39.06	5	0.22	58.33	0.997	47.176
AUTO.JK	-0.239	62.233	42.12	55.08	46.68	0	0.35	57.56	0.986	34.069
AYLS.JK	1.376	80.96	58.09	67.98	57.48	5	-0.29	62.97	0.992	68.698
BABP.JK	-30.13	30.2	33.05	33.69	29.14	5	0.31	35.86	0.997	32.5
BACA.JK	0.0	65.0	39.83	35.08	31.69	5	0.05	41.06	0.999	35.577
BAJA.JK	2.528	94.321	47.91	72.34	56.8	5	-0.29	54.25	1.022	37.795
BALI.JK	1.152	78.366	32.15	32.5	41.0	5	-1.45	28.22	0.939	39.021
BANK.JK	-0.548	58.641	35.81	58.6	48.56	5	0.39	42.68	0.996	37.652
BAPA.JK	0.0	65.0	36.49	26.6	25.05	0	0.0	49.5	1.0	37.5
BAYU.JK	-0.224	62.405	38.05	55.87	43.89	5	0.41	48.22	1.009	32.284
BBCA.JK	-3.26	30.2	30.85	24.38	36.15	5	0.89	27.69	0.995	37.883
BBKP.JK	-0.345	60.998	55.36	63.36	54.85	0	0.58	69.79	1.005	55.143
BBMD.JK	0.276	68.204	47.86	62.25	52.29	5	-0.61	50.58	0.989	60.045
