[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
AAXJ	0	0	63.236	50.37	82.01910763353	0
ACWF	0	0	61.77	64.623	81.8008850295	0
ACWI	0	0	59.151	53.333	89.329936757	0
ACWV	0	0	59.409	54.815	79.37159984056	0
ACWX	0	0	61.669	78.67	92.65566772734	0
AGG	0	0	61.503	75.845	82.46417871567	0
AGZ	0	0	41.888	56.322	67.38026146847	0
AIA	0	0	61.415	85.185	83.21589875288	0
AOA	0	0	60.795	68.543	91.34475836856	0
AOK	0	0	64.876	82.986	95.15091294171	0
AOM	0	0	68.078	69.786	96.4257320721	0
AOR	0	0	61.993	82.276	93.15241631241	0
AXJV	0	0	63.914	40.169	91.95226352021	0
BKF	0	0	58.833	52.593	78.80522836342	0
BYLD	0	0	65.693	65.864	84.88813953457	0
CEMB	0	0	46.892	78.59	72.48954816386	0
CIU	0	0	48.612	49.63	71.30784574645	0
CLY	0	0	55.803	61.481	77.16324909884	0
CLYH	0	0	54.849	67.951	76.96735189085	0
CMBS	0	0	32.204	49.717	61.31523321337	0
CMDT	0	0	63.204	23.13	80.88816561772	0
CMF	0	0	43.917	49.021	68.15407653758	0
CNDF	0	0	45.783	29.603	68.37363142184	0
CNSF	0	0	37.613	40.276	63.72387170315	0
CNYA	0	0	61.225	58.036	80.94218048484	0
COMT	0	0	49.986	68.6	73.63515869474	0
CRBN	0	0	60.394	65.328	90.86546383836	0
CRED	0	0	54.93	52.064	75.90299275154	0
CSJ	0	0	50.929	64.86	73.97551490189	0
DEFA	0	0	36.239	25.068	62.20788966972	0
DEWJ	0	0	53.401	14.889	73.29132424708	0
DEZU	0	0	52.056	20.538	72.44163157991	0
DGRO	0	0	53.608	84.806	77.59576567855	0
DSI	0	0	57.118	83.776	79.96326381433	0
DVY	0	0	49.33	50.955	71.88272380934	0
DVYA	0	0	65.62	41.12	93.18348188386	0
DVYE	0	0	54.781	53.823	75.90573325257	0
ECH	0	0	38.175	78.569	67.17818487791	0
ECNS	0	0	24.433	61.783	30.66780081796	0
EDEN	0	0	67.831	67.683	86.67948733703	0
EEM	0	0	59.26	56.596	79.37271098709	0
EEMA	0	0	59.769	83.059	81.81213317284	0
EEMS	0	0	61.013	67.023	91.38858570199	0
EEMV	0	0	63.195	56.09	82.32105413562	0
EFA	0	0	62.426	75.912	92.95505544595	0
EFAV	0	0	60.483	51.111	90.10162805349	0
EFG	0	0	64.019	64.479	93.2609837536	0
EFNL	0	0	54.08	62.697	76.01597623401	0
EFV	0	0	53.873	57.397	75.49038040578	0
EIDO	0	0	63.871	56.371	82.85829293855	0
EIRL	0	0	51.652	67.044	74.64897801203	0
EIS	0	0	56.806	57.255	77.60124862559	0
EMB	0	0	53.114	59.208	75.07729250419	0
EMBH	0	0	49.228	39.433	71.15716772055	0
EMGF	0	0	58.236	62.158	78.98833599184	0
EMHY	0	0	52.044	53.248	73.9172469141	0
EMIF	0	0	52.084	45.536	73.48034099431	0
ENOR	0	0	46.447	79.779	72.31974698995	0
ENZL	0	0	47.348	81.481	73.07090328229	0
EPHE	0	0	54.641	63.263	76.45807691938	0
EPOL	0	0	53.932	74.956	76.90459542992	0
EPP	0	0	55.171	65.395	76.99821285751	0
EPU	0	0	57.833	69.176	79.21700951715	0
ERGF	0	0	56.966	45.205	77.00025609211	0
ERUS	0	0	56.899	82.084	79.64858238563	0
ESGD	0	0	56.151	67.648	77.87680959284	0
ESGE	0	0	66.331	78.35	86.326627329	0
ESGU	0	0	65.428	42.654	83.33406217412	0
EUFN	0	0	47.903	80.166	73.30136621537	0
EUMV	0	0	52.576	45.963	73.85370362555	0
EUSA	0	0	56.299	53.799	87.49324155093	0
EWA	0	0	53.326	49.63	74.60123723505	0
EWC	0	0	54.811	65.927	76.78163166155	0
EWD	0	0	47.853	48.046	70.69418108614	0
EWG	0	0	52.756	63.206	75.11820947839	0
EWGS	0	0	67.425	77.318	96.48397383068	0
EWH	0	0	62.39	62.022	82.08969279733	0
EWI	0	0	50.263	47.407	72.30931680918	0
EWJ	0	0	67.086	76.528	86.7618552508	0
EWK	0	0	66.218	60.371	84.92845643063	0
EWL	0	0	57.485	75.863	89.70781880199	0
EWM	0	0	51.337	75.027	75.11392770059	0
EWN	0	0	54.082	48.889	75.09976573126	0
EWO	0	0	57.952	70.144	79.38041679306	0
EWP	0	0	49.355	48.148	71.72556529132	0
EWQ	0	0	54.042	48.148	75.02785119781	0
EWS	0	0	64.561	70.981	84.38939467427	0
EWT	0	0	61.34	73.638	82.16219053774	0
EWU	0	0	58.462	62.295	79.1647994771	0
EWUS	0	0	71.15	37.67	87.69284520986	0
EWW	0	0	50.51	57.426	73.13041222939	0
EWY	0	0	56.308	61.918	77.56053345072	0
EWZ	0	0	52.188	68.06	75.10314286366	0
EWZS	0	0	55.954	58.474	77.06217552626	0
EXI	0	0	53.165	59.274	75.11806614816	0
EZA	0	0	58.899	67.386	79.86094646722	0
EZU	0	0	52.863	62.393	75.13226037735	0
FALN	0	0	67.709	79.262	87.46388111078	0
FIBR	0	0	54.63	74.588	77.36368771562	0
FILL	0	0	59.037	63.579	79.68170053839	0
