"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"ESUS","ETRACS 2x Leveraged MSCI US ESG Focus TR ETN","24113372","100","77.108","99.8","77.672","53.8532","97.851035","100","60.94716","77.108","29.37","29.78","1.4",""
"FBGX","UBSAG FI Enhanced Large Cap Growth ETN","15643559","100","76.037","99.8","71.887","56.42478","100","100","59.44683","76.037","941.52","943.29","0.19",""
"ROM","ProShares Ultra Technology","53179","100","73.106","99.8","59.558","59.9596","100","99.35139","51.60034","73.106","70.3","71.24","1.34",""
"SPUU","Direxion Daily S&P 500 Bull 2x Shares","1055797","100","71.92","99.8","61.13","54.82927","99.80787","100","51.60544","71.92","129.86","131.91","1.58",""
"QTOC","Innovator Growth Accelerated Plus ETF - October","213283801","7.15","71.513","99.8","55.148","59.59225","100","100","34.24496","71.513","27.44","27.4","-0.15",""
"TECL","Direxion Daily Technology Bull 3X Shares","8082047","100","71.072","99.8","53.945","59.46982","100","98.40762","49.9477","71.072","98.02","99.76","1.78",""
"BULZ","MicroSectors Solactive FANG Innovation 3X Leveraged ETN","3133451","100","70.723","99.8","57.637","54.73269","86.743605","90.9672","51.3804","70.723","154.94","157.58","1.7",""
"XBOC","Innovator U.S. Equity Accelerated 9 Buffer ETF - October","18885488","0.15","70.697","99.8","52.68","59.6107","100","100","57.9348","70.697","29.12","29.19","0.24",""
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","1455175","-1.05","70.683","99.8","53.674","58.5764","100","100","67.10474","70.683","28.2","28.25","0.18",""
"XSEP","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September","117544","6.35","70.669","99.8","54.336","57.87229","100","100","57.30574","70.669","37.62","37.68","0.16",""
"XDEC","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December","129592898","8.15","70.406","99.8","55.242","56.1764","100","100","50.88908","70.406","35.94","35.97","0.08",""
"TQQQ","ProShares UltraPro QQQ","3815271","100","69.679","99.8","52.852","56.38532","100","100","52.45868","69.679","72.95","74.4","1.99",""
"FNGU","MicroSectors FANG+ Index 3X Leveraged ETN","15444965","100","69.384","99.8","55.338","53.01404","100","100","50.53725","69.384","426.75","428","0.29",""
"SSO","ProShares Ultra S&P 500","21418958","100","69.267","99.8","51.796","56.20399","100","100","50.42313","69.267","81.51","82.9","1.71",""
"QLD","ProShares Ultra QQQ","4194223","100","69.129","99.8","51.847","55.74082","100","100","52.88827","69.129","98.87","100.2","1.35",""
"LTL","ProShares Ultra Communication Services","2122822","-26.35","69.127","96.3909","54.615","56.3765","82.719125","100","67.22219","69.127","65.16","66.71","2.38",""
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","69652006","100","69.05","99.8","51.841","55.50825","97.764545","100","52.24948","69.05","143.1","146.74","2.54",""
"AAPU","Direxion Daily AAPL Bull 2X Shares","932312","100","68.98","86.4545","67.675","52.81005","100","100","60.50687","68.98","33.81","31.77","-6.03",""
"MTUL","ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN","1955677","100","68.933","99.8","59.065","47.93373","78.454595","100","58.07787","68.933","27.9","28.07","0.61",""
"XDJA","Innovator U.S. Equity Accelerated ETF - January","380630","29.95","68.677","99.8","48.384","57.84639","100","100","23.54049","68.677","27.04","27.09","0.18",""
"SOXL","Direxion Daily Semiconductor Bull 3X Shares","215757","100","68.524","99.8","53.243","52.52821","100","97.63659","54.80783","68.524","58.95","58.2","-1.27",""
"UPRO","ProShares UltraPro S&P500","30621775","100","68.489","99.8","50.969","54.69722","98.35942","100","52.23621","68.489","75.34","77.2","2.47",""
"QTJA","Innovator Growth Accelerated Plus ETF - January","2906","32.65","68.33","99.8","49.535","55.65427","100","100","59.42152","68.33","23.66","23.66","0",""
"FNGO","MicroSectors FANG+ Index 2X Leveraged ETN","889905","100","68.07","99.8","51.354","53.05543","100","100","53.53691","68.07","70.72","71.3","0.82",""
"QULL","ETRACS 2x Leveraged MSCI US Quality Factor TR ETN","183741","100","68.039","99.8","51.554","52.76235","95.99141","100","69.37275","68.039","45.63","46.14","1.12",""
"UYG","ProShares Ultra Financials","423719","42.5","68.01","90.3827","58.556","55.09239","59.19674","70.22531","56.24762","68.01","61.9","64.48","4.17",""
"XTJA","Innovator U.S. Equity Accelerated Plus ETF - January","46723281","17.85","68.004","99.8","47.431","56.78069","100","100","75.45088","68.004","26.44","26.49","0.19",""
"USD","ProShares Ultra Semiconductors","248991","100","67.996","99.8","48.207","55.98128","100","100","57.31314","67.996","151.37","146.59","-3.16",""
"GGLL","Direxion Daily GOOGL Bull 2X Shares","16840498","-79.55","67.973","91.7011","55.12","57.09874","85.57566","100","54.18337","67.973","43.8","46.29","5.68",""
"UXI","ProShares Ultra Industrials","2922","100","67.652","89.2488","57.877","55.82876","45.56221","40.92039","63.32058","67.652","31.4","32.55","3.66",""
"NVDL","GraniteShares 2x Long NVDA Daily ETF","82381","100","67.298","99.8","45.62","56.47305","100","100","60.50865","67.298","78.44","74.49","-5.04",""
"CONL","GraniteShares 2x Long COIN Daily ETF","1965683","100","66.998","98.7529","51.335","50.90712","36.39286","7.49419","49.73764","66.998","56.65","47.48","-16.19",""
"IWDL","ETRACS 2x Leveraged US Value Factor TR ETN","985285","67.55","66.946","84.0202","61.232","55.58698","60.820135","74.82953","48.48765","66.946","34.16","35.05","2.61",""
"AMZU","Direxion Daily AMZN Bull 2X Shares","315868141","-154","66.856","95.5525","53.413","51.60208","56.70941","65.6083","56.80157","66.856","33.86","36.1","6.62",""
"FNGG","Direxion Daily NYSE FANG+ Bull 2X Shares","350127818","100","66.784","99.8","46.804","53.7492","100","100","48.79958","66.784","141.17","141.52","0.25",""
"MLPR","ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN","34509192","15.3","66.569","87.911","56.475","55.3221","44.1253","29.12918","48.60345","66.569","55.36","57.06","3.07",""
"DUSL","Direxion Daily Industrials Bull 3X Shares","8511823","100","66.213","88.406","55.451","54.78197","44.20414","34.72923","51.2169","66.213","48.78","50.51","3.55",""
"GBTC","Grayscale Bitcoin Trust ETF","22017459","67.6","66.178","99.8","46.855","51.87879","62.650225","75.11531","52.52357","66.178","59.81","57.04","-4.63",""
"RXL","ProShares Ultra Health Care","16867","-33.45","66.11","80.4351","64.789","53.10668","60.3298","79.68807","56.73043","66.11","100.76","102.96","2.18",""
"USML","ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN","2761580","50","66.002","92.1037","50.812","55.09044","81.44791","94.09587","21.05852","66.002","34.28","35.35","3.12",""
"FEDL","ETRACS 2x Leveraged IFED Invest with the Fed TR Index ETN","3359804","50","65.995","99.4295","48.124","50.43163","64.703705","98.70122","69.98516","65.995","43.26","44.46","2.77",""
"INDL","Direxion Daily MSCI India Bull 2X Shares","18407","92.1","65.941","82.785","57.471","57.56689","95.97972","95.40067","58.88488","65.941","67.82","67.69","-0.19",""
"MSFU","Direxion Daily MSFT Bull 2X Shares","26650","100","65.618","93.9928","49.267","53.59465","77.74695","87.4061","57.09353","65.618","48.35","50.75","4.96",""
"XBJA","Innovator U.S. Equity Accelerated 9 Buffer ETF - January","9617","18.75","65.486","99.8","42.053","54.60646","100","100","59.98728","65.486","27.6","27.62","0.07",""
"DDM","ProShares Ultra Dow 30","53929597","-8.85","65.119","86.2318","53.797","55.32693","64.8065","66.16438","57.03614","65.119","80.36","83.41","3.8",""
"WEBL","Direxion Daily Dow Jones Internet Bull 3X Shares","78553","-8.9","65.053","86.8275","53.535","54.79773","30.53683","9.78211","51.98995","65.053","16","17.09","6.81",""
"UCC","ProShares Ultra Consumer Discretionary","2588944","100","64.466","80.841","57.262","55.2955","50","20.08475","23.74803","64.466","34.2","36.02","5.32",""
"EURL","Direxion Daily FTSE Europe Bull 3x Shares","202632880","100","64.42","82.1948","59.213","51.85119","95.067695","98.00502","56.56569","64.42","25.53","26.03","1.96",""
"FBL","GraniteShares 2x Long META Daily ETF","73630","78.3","64.364","80.738","59.941","52.41446","31.754655","21.59447","51.66152","64.364","26.6","25.77","-3.12",""
"FAS","Direxion Daily Financial Bull 3X Shares","1646889","56","64.158","87.0235","50.86","54.59079","56.43194","61.68661","54.15407","64.158","96.21","102.18","6.21",""
"UDOW","ProShares UltraPro Dow 30","4357064","-17.75","63.963","84.925","51.225","55.73885","62.943255","59.08375","52.4774","63.963","74.89","79.21","5.77",""
"WANT","Direxion Daily Consumer Discretionary Bull 3X Shares","43866","100","63.834","79.5848","56.965","54.95344","50","13.8465","55.96302","63.834","31.27","33.14","5.98",""
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","10168364","100","63.615","84.561","51.307","54.9761","24.414","2.14642","50.4271","63.615","101.7","98.45","-3.2",""
"SCDL","ETRACS 2x Leveraged U.S. Dividend Factor TR ETN","10652239","25.55","63.15","75.6581","65.622","48.16892","40.67152","37.02562","44.41183","63.15","33.63","34.91","3.81",""
"DFEN","Direxion Daily Aerospace & Defense Bull 3X Shares","6598","99.25","62.901","83.9921","49.375","55.3358","85.425015","80.63273","54.91113","62.901","26.61","27.44","3.12",""
"BNKU","MicroSectors U.S. Big Banks Index 3X Leveraged ETNs","668517","100","62.882","84.1","50.777","53.76792","71.11335","88.27234","56.25088","62.882","27.51","29.14","5.93",""
"SKYU","ProShares Ultra Nasdaq Cloud Computing ETF","23113928","75.95","62.78","83.7161","50.692","53.93121","48.412715","22.16707","49.38423","62.78","22.63","23.06","1.9",""
"IWFL","ETRACS 2x Leveraged US Growth Factor TR ETN","11599686","100","62.476","99.8","32.518","55.10966","100","100","57.99737","62.476","41.16","41.38","0.53",""
