"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"XSEP","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September","7467561","3.25","73.467","99.8","62.545","58.05568","72.666035","100","69.83804","73.467","38.22","38.22","0",""
"QTOC","Innovator Growth Accelerated Plus ETF - October","26624053","8.2","72.059","99.8","56.709","59.66769","71.409935","99.76117","46.99215","72.059","27.86","27.88","0.07",""
"XDEC","FT Vest U.S. Equity Enhance & Moderate Buffer ETF - December","876630","10.1","71.887","99.8","59.071","56.79133","67.32367","99.80193","76.57108","71.887","36.58","36.71","0.36",""
"XBOC","Innovator U.S. Equity Accelerated 9 Buffer ETF - October","25208888","3.2","71.664","99.8","56.016","59.17714","70.46446","100","77.33601","71.664","29.66","29.65","-0.03",""
"XDJA","Innovator U.S. Equity Accelerated ETF - January","74907","23.55","70.808","98.7655","55.461","58.197","61.14525","96.07962","66.705","70.808","27.68","27.83","0.54",""
"XTJA","Innovator U.S. Equity Accelerated Plus ETF - January","2846377","20.65","70.572","98.3358","55.006","58.37466","61.94809","97.37988","76.55217","70.572","27.03","27.15","0.44",""
"XTOC","Innovator U.S. Equity Accelerated Plus ETF - October","809983","5.1","69.926","99.8","50.529","59.44828","73.360885","100","48.91835","69.926","28.64","28.7","0.21",""
"UYG","ProShares Ultra Financials","229587","62.3","69.645","94.9201","56.774","57.23971","92.73483","100","61.59642","69.645","74.28","77.03","3.7",""
"SPUU","Direxion Daily S&P 500 Bull 2x Shares","209361766","100","68.983","92.8394","57.774","56.33506","50","80.16935","60.02155","68.983","137.39","141.1","2.7",""
"AAPU","Direxion Daily AAPL Bull 2X Shares","4378428","94.85","68.113","85.1309","64.081","55.12688","50","82.85959","63.4518","68.113","33.33","36.96","10.89",""
"INDL","Direxion Daily MSCI India Bull 2X Shares","17357217","49.75","67.781","87.0133","56.981","59.34959","50","97.74133","58.77579","67.781","74.32","76.21","2.54",""
"UPW","ProShares Ultra Utilities","581297","13.55","67.552","89.7356","57.306","55.6137","99.45454","100","68.09209","67.552","78.98","81.02","2.58",""
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","1284172","100","67.416","92.5273","55.095","54.62528","74.663065","100","63.94337","67.416","160.74","163.35","1.62",""
"LTL","ProShares Ultra Communication Services","57798","83.6","67.2","91.4674","53.379","56.75475","50","72.32527","52.03031","67.2","68.43","71.5","4.49",""
"FAS","Direxion Daily Financial Bull 3X Shares","114163963","91.5","66.613","93.0872","49.896","56.85538","90.59913","99.85602","58.6835","66.613","124.42","131.27","5.51",""
"XBJA","Innovator U.S. Equity Accelerated 9 Buffer ETF - January","128665","14.3","66.421","99.1628","42.49","57.61116","65.200245","98.88186","66.21204","66.421","28.09","28.24","0.53",""
"SSO","ProShares Ultra S&P 500","3837100","100","66.294","92.4758","49.016","57.39148","50","79.63846","57.44639","66.294","86.25","88.63","2.76",""
"IWFL","ETRACS 2x Leveraged US Growth Factor TR ETN","11278489","100","66.29","87.7775","56.438","54.65352","50","39.06276","37.24796","66.29","40.52","42.31","4.42",""
"QTJA","Innovator Growth Accelerated Plus ETF - January","23443683","37.3","66.272","88.2674","54.743","55.80524","50.7345","81.85582","62.36988","66.272","23.94","24.19","1.04",""
"RXL","ProShares Ultra Health Care","7116804","31.3","66.074","83.0222","60.737","54.46268","100","100","62.55867","66.074","116.46","113.33","-2.69",""
"DDM","ProShares Ultra Dow 30","3054746","70.6","66.003","88.8887","52.138","56.98349","77.625205","97.79835","60.31607","66.003","92.6","94.84","2.42",""
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","42228936","100","65.978","91.5301","49.137","57.26632","50","71.98507","57.27589","65.978","153.37","159.55","4.03",""
"DUSL","Direxion Daily Industrials Bull 3X Shares","143309028","100","65.724","89.2253","52.324","55.62158","100","98.73383","57.39368","65.724","58.52","61.22","4.61",""
"UGE","ProShares Ultra Consumer Staples","21629016","9.45","65.625","87.009","58.622","51.24513","100","100","54.46102","65.625","20.89","20.17","-3.45",""
"UPRO","ProShares UltraPro S&P500","2245523","100","65.432","91.5196","48.135","56.64154","50","72.17113","58.79372","65.432","80.71","84.02","4.1",""
"FNGO","MicroSectors FANG+ Index 2X Leveraged ETN","179868","100","65.426","90.2062","50.546","55.52698","50","11.49862","57.35441","65.426","68.11","71.97","5.67",""
"UDOW","ProShares UltraPro Dow 30","1448982","100","65.395","87.7541","51.097","57.33333","75.10126","96.78113","59.74136","65.395","91.56","94.85","3.59",""
"FNGU","MicroSectors FANG+ Index 3X Leveraged ETN","95038964","100","65.247","90.0717","51.958","53.71077","50","4.92361","58.53514","65.247","384.92","416.69","8.25",""
"HDLB","ETRACS Monthly Pay 2x Leveraged US High Dividend Low Volatility ETN Series B","166481","18.8","64.828","80.9657","61.145","52.37333","88.714","100","51.31036","64.828","14.45","14.19","-1.8",""
