[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
AVGX	2.555	94.643	60.79	76.47	75.84	5	2.61
GGLL	2.564	94.746	78.03	83.31	75.3	5	1.65
ROM	5.718	99.8	58.56	72.07	73.56	5	2.36
USD	4.122	99.8	57.44	75.66	72.46	5	2.95
MAGX	2.509	94.104	55.51	72.23	71.47	0	2.82
TECL	5.611	99.8	55.58	79.37	70.75	5	3.5
QLD	4.211	99.8	55.6	75.42	70.46	5	2.29
MSFU	5.797	99.8	56.43	63.29	67.07	5	1.35
SSO	4.188	99.8	57.02	78.81	66.74	5	2.07
SMCX	2.349	92.254	57.61	73.05	66.3	5	3.66
NVDL	4.362	99.8	54.5	71.65	65.95	5	3.05
TQQQ	4.266	99.8	54.85	61.48	65.68	5	3.39
IWFL	5.322	99.8	52.68	64.44	65.3	5	2.04
NVDU	4.393	99.8	54.84	65.46	64.05	5	2.98
SVXY	2.208	90.61	54.63	60.75	62.24	5	1.93
WEBL	3.046	99.8	47.7	57.48	61.65	5	3.26
SPUU	4.326	99.8	55.94	63.43	61.29	5	2.04
SKYU	2.568	94.786	58.13	65.52	61.15	5	2.36
SVIX	2.119	89.579	52.6	58.16	61.0	5	3.55
BULZ	3.111	99.8	48.48	56.78	60.44	5	4.21
