"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"AAPD","Direxion Daily AAPL Bear 1X Shares ETF","5298305","28.89","39.8099","-53.95","36.693","44.66667","9.944595","8.08392","46.81261",""
"AAPU","Direxion Daily AAPL Bull 2X Shares","22126019","72.515","90.2107","100","62.603","54","84.95536","74.48679","56.39359",""
"AMZD","Direxion Daily AMZN Bear 1X Shares ETF","605950","18.57","33.5348","-85.9","47.162","46.22222","31.934145","0","52.84154",""
"AMZU","Direxion Daily AMZN Bull 2X Shares","22070619","63.415","91.5279","100","49.8","52.22222","51.711115","97.93419","49.00022",""
"BDCX","ETRACS Quarterly Pay 1.5x Leveraged MarketVector BDC Liquid Index ETN","42573","44.554","66.4938","45.2","37.77","56.66667","50","44.84651","60.9016",""
"BERZ","MicroSectors Solactive FANG & Innovation -3X Inverse Leveraged ETN","1945796","-1.869","30.2","-259.9","52.813","41.33333","9.54701","0","41.56689",""
"BIB","ProShares Ultra Nasdaq Biotechnology","775569","55.005","71.2359","83.75","56.575","51.11111","22.55438","11.25596","56.21497",""
"BIS","ProShares UltraShort Nasdaq Biotechnology","197508","32.179","57.9129","-82.95","39.224","48.88889","73.821295","75.37489","39.15797",""
"BITX","2x Bitcoin Strategy ETF","250728458","69.583","91.6466","100","49.554","47.97688","82.40658","81.74418","51.34959",""
"BRZU","Direxion Daily MSCI Brazil Bull 2X Shares","5293394","43.117","62.6196","28.7","46.253","49.77778","17.643155","2.21565","47.53739",""
"BULZ","MicroSectors Solactive FANG Innovation 3X Leveraged ETN","14404909","74.42","99.8","100","59.312","56.66667","73.820375","100","57.5204",""
"BZQ","ProShares UltraShort MSCI Brazil Capped","466779","46.446","63.7387","-29.35","45.564","49.55556","78.22434","84.16749","54.99933",""
"CHAU","Direxion Daily CSI 300 China A Share Bull 2x Shares","47481976","51.857","58.7582","-76.55","81.006","43.55556","100","100","56.22594",""
"CLDL","Direxion Daily Cloud Computing Bull 2X Shares","123676","79.564","87.1971","100","48.631","55.55556","100","100","65.56199",""
"CONL","GraniteShares 2x Long COIN Daily ETF","228127139","59.897","99.8","100","57.542","48.88889","55.13026","47.74354","55.04413",""
"COWS","Amplify Cash Flow Dividend Leaders ETF","213620","59.426","88.496","30.55","43.031","51.0274","79.178105","99.81586","44.70686",""
"CURE","Direxion Daily Healthcare Bull 3X Shares","3471056","48.28","73.4673","68.1","51.328","49.77778","31.66673","4.38974","54.2329",""
"CWEB","Direxion Daily CSI China Internet Index Bull 2x Shares","57185100","62.51","62.3068","8.5","54.461","46","100","100","66.2993",""
"DBMF","iMGP DBi Managed Futures Strategy","8375506","35.105","60.1538","22.45","50.758","53.77778","40.81924","0","40.23096",""
"DDM","ProShares Ultra Dow 30","25943000","71.618","92.1084","92.35","53.87","55.55556","76.228645","99.75377","55.23399",""
"DFEN","Direxion Daily Aerospace & Defense Bull 3X Shares","9688149","66.095","87.7511","100","49.671","55.11111","59.767475","91.54165","59.05417",""
"DIG","ProShares Ultra Energy","3541346","55.423","67.2777","16.6","47.678","52.66667","84.410865","79.56152","55.35752",""
"DOG","ProShares Short Dow30","43405940","31.455","36.7483","-45.1","48.955","44","5.995465","0","47.57527",""
"DPST","Direxion Daily Regional Banks Bull 3X Shares","132946724","66.927","69.7934","100","50.95","48.88889","72.49642","92.00499","61.85815",""
"DRIP","Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares","34230238","27.569","64.3554","-51.35","52.483","45.11111","46.35686","30.06611","45.03441",""
