[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
AAPD	-1.487	47.755	49.51	59.17	53.52	5	-0.89	55.76	1.012	66.671
AAPU	1.776	85.607	45.88	43.74	45.09	5	1.67	44.64	0.978	29.396
AMZD	-2.281	38.539	43.49	41.75	39.72	5	-1.08	30.32	0.998	61.755
AMZU	3.41	99.8	54.31	59.14	59.62	5	1.93	68.83	1.004	32.302
AVGX	2.555	94.643	60.79	76.47	75.84	5	2.61	80.13	1.058	41.722
BDCX	1.784	85.69	44.27	47.15	46.13	5	0.64	43.34	0.98	36.77
BERZ	-3.093	30.2	49.77	37.08	43.34	5	-4.24	36.43	0.993	65.651
BIB	1.969	87.845	57.66	59.91	51.42	5	2.8	59.56	0.985	50.416
BIS	-1.968	42.169	41.35	38.52	43.86	5	-2.84	39.38	1.017	52.264
BITX	1.038	77.037	49.19	50.51	53.56	5	3.77	55.83	0.985	35.009
BRZU	-0.303	61.482	40.89	28.09	40.91	5	2.1	32.46	0.984	58.193
BULZ	3.111	99.8	48.48	56.78	60.44	5	4.21	61.28	1.005	32.772
BZQ	0.358	69.154	57.0	62.72	57.37	5	-2.12	67.44	1.016	45.893
CARD	-0.897	54.6	57.11	43.92	49.71	5	-4.2	54.4	1.055	65.951
CHAU	2.759	97.006	61.99	65.46	57.65	0	0.62	69.29	1.002	44.319
CLDL	0.372	69.31	51.85	66.9	59.23	5	2.06	48.06	1.003	44.134
CONL	3.557	99.8	37.5	45.7	41.46	5	5.77	39.52	0.902	20.529
COWS	3.513	99.8	57.17	70.68	60.55	5	0.99	66.04	0.998	46.016
CURE	0.96	76.132	52.27	61.75	50.8	5	2.33	43.34	0.978	58.561
CWEB	1.126	78.067	49.21	48.38	43.02	5	1.41	56.35	0.966	31.609
DBMF	3.199	99.8	52.19	53.67	45.8	5	0.01	50.95	0.996	55.533
DDM	2.223	90.782	53.29	74.84	58.8	5	2.23	55.22	0.994	40.726
DFEN	3.5	99.8	50.89	70.66	61.95	5	0.88	64.94	1.007	28.904
DIG	2.239	90.973	70.05	65.19	65.32	5	0.03	70.25	1.036	70.088
DOG	-2.425	36.873	44.78	53.14	47.81	5	-1.1	48.19	1.004	58.003
