[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
AAPU	4.454	99.8	64.82	93.85	77.72	5	1.0
AMZU	-0.697	56.919	37.34	38.92	42.85	5	1.0
BDCX	1.709	84.824	42.17	45.19	43.23	5	1.0
BIB	1.511	82.528	67.81	52.56	54.59	5	1.0
BITX	-0.695	56.943	31.96	50.23	42.9	5	1.0
BNKU	0.661	72.664	49.75	48.55	50.6	5	1.0
BRZU	-2.143	40.139	38.62	37.71	35.86	5	1.0
BULZ	0.512	70.939	62.77	58.5	66.61	5	1.0
CARU	0.49	70.689	41.11	41.35	41.77	5	1.0
CHAU	0.061	65.708	32.42	25.12	36.41	5	1.0
CLDL	-1.159	51.559	34.45	35.05	35.43	5	1.0
CONL	-0.118	63.637	43.15	65.77	54.76	5	1.0
CURE	1.01	76.721	59.94	59.34	55.8	5	1.0
CWEB	0.965	76.189	45.2	32.99	48.21	5	1.0
DDM	0.07	65.816	51.4	36.4	39.64	5	1.0
DFEN	1.34	80.546	54.09	36.33	47.16	5	1.0
DIG	-1.873	43.272	30.04	35.01	35.16	5	1.0
DPST	-0.17	63.033	30.32	43.66	34.4	5	1.0
DUSL	-0.823	55.456	43.44	39.18	47.69	5	1.0
EDC	0.411	69.768	51.72	31.74	47.36	5	1.0
EET	0.455	70.273	48.96	44.66	48.61	5	1.0
EFO	0.384	69.451	41.38	38.96	42.45	5	1.0
ERX	-1.941	42.48	30.12	20.86	32.32	5	1.0
ESUS	1.265	79.678	75.9	90.87	83.65	5	1.0
EURL	0.909	75.539	37.31	36.44	43.65	5	1.0
EVAV	-0.964	53.815	28.09	22.12	25.9	5	1.0
EZJ	-1.186	51.239	38.9	29.2	37.73	5	1.0
FAS	-0.134	63.447	42.48	43.52	45.18	5	1.0
FBGX	1.715	84.897	74.35	90.02	80.82	5	1.0
FBL	-0.237	62.25	52.49	44.52	52.17	5	1.0
FEDL	0.049	65.563	64.64	67.14	60.71	5	1.0
FLYU	-1.031	53.037	54.38	61.21	56.43	5	1.0
FNGG	1.164	78.5	66.31	68.57	71.48	5	1.0
FNGO	1.218	79.126	67.98	69.25	71.31	5	1.0
FNGU	1.155	78.403	67.94	72.36	72.26	5	1.0
GBTC	-0.395	60.416	37.36	42.12	44.93	5	1.0
GDXU	-0.309	61.416	33.19	46.15	46.89	5	1.0
GGLL	1.791	85.775	46.11	54.6	57.97	5	1.0
GUSH	-1.528	47.275	32.16	23.28	37.94	5	1.0
HDLB	0.064	65.739	40.62	36.06	35.37	5	1.0
HIBL	-0.162	63.116	53.5	39.26	43.33	5	1.0
INDL	0.406	69.71	57.03	46.11	61.68	5	1.0
IWDL	-0.215	62.504	34.35	46.09	42.95	5	1.0
IWFL	1.638	83.996	74.17	66.01	73.25	5	1.0
IWML	-0.04	64.535	51.84	45.6	47.29	5	1.0
JNUG	-0.208	62.582	34.72	36.67	44.95	5	1.0
KLNE	1.325	80.372	43.79	52.6	50.77	5	1.0
KORU	-0.129	63.503	50.3	42.39	46.73	5	1.0
LABU	0.401	69.647	63.51	52.74	60.22	5	1.0
LTL	0.151	66.746	49.11	56.55	53.87	5	1.0
MEXX	-1.356	49.265	35.55	34.51	35.45	5	1.0
MIDU	-0.273	61.831	38.21	38.19	41.93	5	1.0
MLPR	0.131	66.522	41.76	44.9	45.97	5	1.0
MSFU	0.382	69.433	64.73	63.4	60.29	5	1.0
MSOX	-1.045	52.874	18.47	24.89	34.32	5	1.0
MTUL	0.905	75.503	59.36	48.41	56.12	5	1.0
MVV	-0.219	62.455	39.43	30.03	39.91	5	1.0
NAIL	-0.533	58.812	49.68	46.57	50.34	5	1.0
NRGU	-2.275	38.612	32.23	21.11	31.22	5	1.0
NUGT	-0.278	61.778	34.04	38.54	45.45	5	1.0
NVDL	2.41	92.953	76.1	87.2	77.99	5	1.0
NVDU	2.432	93.212	73.37	84.45	79.64	5	1.0
OOTO	-0.952	53.954	49.2	49.71	46.77	5	1.0
PILL	-0.698	56.907	48.09	30.44	36.29	5	1.0
QLD	1.358	80.752	66.53	67.45	68.52	5	1.0
QTJA	1.51	82.521	66.33	71.96	72.67	5	1.0
QTOC	1.64	84.026	54.37	85.43	69.11	5	1.0
QULL	1.519	82.623	60.5	57.15	64.17	5	1.0
RETL	0.587	71.808	43.35	45.6	48.68	5	1.0
ROM	1.515	82.571	65.35	76.04	74.1	5	1.0
RXL	0.96	76.13	62.0	44.11	50.98	5	1.0
SAA	0.003	65.031	46.2	40.64	37.92	5	1.0
SCDL	-0.528	58.874	31.71	24.32	28.55	5	1.0
SHNY	-0.712	56.746	36.76	34.95	48.01	5	1.0
SKYU	-0.702	56.861	47.59	39.02	41.7	5	1.0
SMHB	-0.361	60.81	30.45	37.75	31.97	5	1.0
SOXL	1.498	82.372	77.3	85.86	77.35	5	1.0
SPUU	1.328	80.404	62.75	63.91	69.28	5	1.0
