[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
62UL.L	0	0	0	0	0	0
ABBY.L	0	0	37.655	21.512	75.39594138918	0
ACRL.L	0	0	63.18	54.638	82.22159323414	0
ADT.L	0	0	50.272	64.097	73.46449666887	0
AEP.L	0	0	49.385	68.638	73.23171429756	0
AFS.L	0	0	36.181	20	62.00858618772	0
AGR.L	0	0	49.886	80.741	74.66815126471	0
AMO.L	0	0	60.113	74.263	81.30142775013	0
ANTO.L	0	0	31.355	64.407	36.83041641646	0
ASCL.L	0	0	51.169	58.355	73.65286215246	0
ATYM.L	0	0	55.323	45.009	75.78230160328	0
AVON.L	0	0	70.448	61.409	88.33072273728	0
AVV.L	0	0	41.7	58.453	67.4269811634	0
BBA.L	0	0	52.509	80.465	76.41930738531	0
BBOX.L	0	0	0	0	0	0
BFA.L	0	0	48.461	82.869	73.93593798343	0
BKG.L	0	0	62.086	72.46	82.6269449998	0
BME.L	0	0	59.794	81.731	81.70996578441	0
BOO.L	0	0	39.51	46.709	65.24872306252	0
BOOT.L	0	0	42.149	46.801	66.88548590756	0
BOTB.L	0	0	45.335	19.003	67.73302359861	0
BOY.L	0	0	52.081	53.252	73.94356196695	0
BQE.L	0	0	43.479	53.688	68.189732086	0
BREE.L	0	0	54.902	68.712	77.06588161411	0
CAKE.L	0	0	60.079	83.704	82.09785993825	0
CAL.L	0	0	45.374	52.043	69.30052324774	0
CHOO.L	0	0	71.267	46.132	97.44495788475	0
CINE.L	0	0	35.408	82.222	66.04670786315	0
CKN.L	0	0	29.393	61.039	60.82159818592	0
CML.L	0	0	40.115	44.447	65.47527356041	0
CNIC.L	0	0	47.51	62.542	71.47891478443	0
CPP.L	0	0	64.519	42.268	82.60444240572	0
CRH.L	0	0	31.613	81.481	39.96130092339	0
CRL.L	0	0	37.221	61.763	65.02863197246	0
CRST.L	0	0	49.02	79.571	73.97837091806	0
CSRT.L	0	0	70.516	49.279	97.03640575418	0
D4T4.L	0	0	32.528	68.259	63.06668677908	0
DC.L	0	0	62.217	77.778	83.15889997204	0
EAH.L	0	0	46.408	31.494	68.86923077282	0
ECEL.L	0	0	50.562	57.824	73.19454345674	0
ECM.L	0	0	31.072	73.736	62.88719246906	0
