[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
0001.KL	0	0	69.509	46.404	86.74849215081	0
0002.KL	0	0	35.793	32.462	62.25736244783	0
0007.KL	0	0	54.874	74.254	77.50732199244	0
0008.KL	0	0	38.236	74.257	66.77020952798	0
0011.KL	0	0	35.791	50.306	63.31475426976	0
0020.KL	0	0	58.142	38.174	77.53479895402	0
0025.KL	0	0	47.308	40.575	69.90147795469	0
0029.KL	0	0	46.338	40.663	69.25332775549	0
0035.KL	0	0	29.048	72.574	36.30172167873	0
0037.KL	0	0	31.53	43.35	60.52496117306	0
0038.KL	0	0	36.131	42.939	63.01894442063	0
0040.KL	0	0	24.587	48.449	28.56182895212	0
0049.KL	0	0	50.513	75.55	74.60070639076	0
0050.KL	0	0	36.285	39.562	62.90838490186	0
0053.KL	0	0	38.185	75.058	66.82160973637	0
0054.KL	0	0	37.532	41.077	63.72212973222	0
0056.KL	0	0	55.208	39.314	75.41237575916	0
0058.KL	0	0	59.035	63.824	79.69784496986	0
0065.KL	0	0	67.048	63.453	85.77761825098	0
0083.KL	0	0	29.384	41.167	31.87388313353	0
0084.KL	0	0	41.385	47.537	66.45372222991	0
0090.KL	0	0	64.956	78.199	94.84007307088	0
0093.KL	0	0	31.491	57.159	35.85703133682	0
0095.KL	0	0	50.531	37.399	71.96710101908	0
0096.KL	0	0	34.985	36.755	62.01236914721	0
0105.KL	0	0	44.031	76.684	70.48381507864	0
0106.KL	0	0	53.231	49.063	74.49956629545	0
0112.KL	0	0	44.4	53.197	68.74629352052	0
0113.KL	0	0	57.72	62.425	78.62771557314	0
0120.KL	0	0	54.247	45.623	75.03378066318	0
0149.KL	0	0	45.106	46.88	68.79205864051	0
0151.KL	0	0	63.784	78.956	84.43614836218	0
0153.KL	0	0	55.022	35.715	75.11471889217	0
0167.KL	0	0	32.246	36.898	60.51723830744	0
0171.KL	0	0	38.351	69.33	66.35810125373	0
0179.KL	0	0	58.904	59.276	79.28372589529	0
1007.KL	0	0	62.96	55.455	82.10197763909	0
1007PA.KL	0	0	41.916	36.954	66.18047209291	0
1015.KL	0	0	50.632	56.813	73.17167451419	0
1023.KL	0	0	38.056	47.124	64.40589693374	0
