"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"GRZ.V","GOLD RESERVE INC","21856","32.85","76.562","97.417","82.86","49.40961","100","100","72.69886","76.562","6.01","5.61","-6.66",""
"ARTG.V","ARTEMIS GOLD INC","533293","66.9","72.198","99.8","69.934","46.8608","55.106635","99.67495","62.93946","72.198","10.59","12.18","15.01",""
"K.TO","KINROSS GOLD CORP.","86137551","98.75","71.666","99.8","60.001","55.19685","50","100","68.42403","71.666","11.43","12.55","9.8",""
"SFR.V","SANDFIRE RESOURCES AMERICA INC","527","-72.3","68.847","85.4451","86.163","34.93318","71.166915","78.57993","54.53101","68.847","0.35","0.34","-2.86",""
"AEM.TO","AGNICO EAGLE MINES LIMITED","2339","100","68.35","93.6769","54.936","56.43755","50","99.19296","64.92774","68.35","94.47","102.4","8.39",""
"ELD.TO","ELDORADO GOLD CORPORATION","406089","60.45","67.35","91.7736","55.804","54.47352","62.723185","82.9597","57.44619","67.35","21.53","22.57","4.83",""
"VZLA.V","VIZSLA SILVER CORP","115371681","17.7","67.301","89.5182","65.55","46.83518","79.8371","100","68.17125","67.301","2.43","2.75","13.17",""
"AGI.TO","ALAMOS GOLD INC CLS A","286","72.2","67.219","94.2463","53.87","53.54127","50","96.76561","58.78403","67.219","22.5","24.02","6.76",""
"MKO.V","MAKO MINING CORP","13781967","5.15","67.133","97.3183","58.758","45.32305","50","78.12444","72.75267","67.133","3.35","3.69","10.15",""
"TKO.TO","TASEKO MINES LTD.","42279","93.85","66.431","92.6056","59.918","46.76915","50","48.63829","60.01345","66.431","3.58","3.42","-4.47",""
"IMG.TO","IAMGOLD CORP","1159171","86.1","66.319","91.4627","58.937","48.5558","50","68.31582","58.72331","66.319","5.38","5.74","6.69",""
"LUN.TO","LUNDIN MINING CORP.","4372","76.4","66.136","92.9988","52.579","52.82976","47.87295","25.64474","51.42803","66.136","15.86","16.06","1.26",""
"OSI.V","OSINO RESOURCES CORP","36838","-5.85","65.97","99.8","56.849","41.26034","30.5982","28.48684","55.48368","65.97","1.785","1.78","-0.28",""
"CCO.TO","Cameco Corporation","97354","79.25","65.607","90.9792","53.661","52.18034","50","86.45981","58.62227","65.607","67.91","72.12","6.2",""
