"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"ABR.V","ARBOR METALS CORP","19377","24.459","40.3741","-18.6","39.69","32.88889","40.881625","0","58.62023",""
"ABRA.V","ABRASILVER RESOURCE CORP","562958","70.454","86.5164","61.25","55.138","40","97.79362","100","54.68749",""
"ABX.TO","BARRICK GOLD CORPORATION","97439122","53.446","66.3164","78.05","50.492","49.33333","50","76.76398","53.16723",""
"ADE.V","ADEX MINING INC.","714","76.334","65","100","100","0.35336","100","100","68.98515",""
"ADZ.V","ADAMERA MINERALS CORP","3296","28.754","80.9573","-156","65.24","23.52941","64.069145","99.93027","59.48176",""
"AEM.TO","AGNICO EAGLE MINES LIMITED","116547992","57.264","88.6631","37.05","53.175","52.88889","58.645125","98.85922","52.92163",""
"AGI.TO","ALAMOS GOLD INC CLS A","23875550","60.585","96.7768","69.15","54.718","51.11111","50","99.62322","52.71505",""
"ALDE.V","ALDEBARAN RESOURCES INC","70487","67.872","96.9616","0.3","61.481","40.83527","100","100","75.52895",""
"ALS.TO","ALTIUS MINERALS CORPORATION","2133644","61.248","77.3233","76.35","59.223","50.44444","54.69483","100","56.00412",""
"AMM.TO","ALMADEN MINERALS LTD.","8182","49.008","56.4413","5.3","81.181","20.4611","59.34239","79.23479","81.74963",""
"AMRQ.V","AMAROQ MINERALS LTD","41745","57.047","90.881","-37.95","47.227","42.21636","100","100","56.95426",""
"AMX.V","AMEX EXPLORATION INC","220663","38.954","63.574","44.05","44.618","42.66667","34.75831","0","47.28391",""
"AMY.V","RECYCLICO BATTERY MATERIALS INC","7634","48.182","43.4366","74.7","53.904","22.59508","0","0","42.6364",""
"ARTG.V","ARTEMIS GOLD INC","2649900","75.02","99.8","100","63.916","46.66667","77.459505","100","59.84059",""
"AVL.TO","AVALON ADVANCED MATERIALS INC","14367","36.148","58.8546","37.8","52.511","13.58575","30.88235","4.78132","47.26996",""
"AVU.V","AVRUPA MINERALS LTD.","3403","38.634","89.0498","-34.35","51.536","25.24752","44.209865","48.95367","78.42218",""
"AWE.V","THUNDERSTRUCK RESOURCES LTD","1212","45.452","65.1237","57.9","48.618","31.93277","58.396455","35.99812","61.7978",""
"AXM.V","AXMIN INC","0","52.287","75.8138","50","82.346","25.35211","0","0","32.5",""
"BCM.V","BEAR CREEK MINING CORP.","159344","72.158","68.0563","100","33.846","40.66667","100","100","62.53524",""
"BRC.V","BLACKROCK SILVER CORP","262786","73.562","73.6774","100","46.336","33.11111","100","100","61.80646",""
