[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
ABR.V	0.0	65.0	56.03	67.23	51.41	5	0.53	56.81	1.015	73.864
ABX.TO	1.882	86.829	60.26	62.9	59.29	5	1.46	68.63	1.003	59.482
AEM.TO	0.911	75.565	63.61	58.57	59.38	5	1.67	72.54	1.005	69.088
AGI.TO	0.034	65.391	48.17	45.75	45.57	5	1.51	42.29	1.001	64.109
ALDE.V	2.024	88.478	47.55	50.97	49.03	5	0.46	47.11	0.972	20.559
ALS.TO	1.874	86.742	65.08	87.33	74.83	5	0.56	80.36	1.021	57.768
AMM.TO	1.724	84.995	42.91	61.09	53.62	5	0.03	78.86	1.073	12.452
AMRQ.V	-2.332	37.951	41.88	38.09	37.3	5	-0.1	41.34	0.998	47.768
AMX.V	3.3	99.8	60.89	67.09	62.0	5	0.65	60.44	1.004	63.904
AMY.V	5.486	99.8	66.21	68.76	54.29	5	-0.62	71.41	1.05	71.429
ARTG.V	1.729	85.053	49.81	63.82	59.36	5	2.02	59.88	0.996	46.681
AVL.TO	1.267	79.694	35.53	35.32	31.49	5	-3.02	36.15	0.8	0.25
BCM.V	0.394	69.565	37.01	25.78	29.31	5	0.66	24.88	0.958	37.5
BRC.V	4.558	99.8	47.49	49.89	46.04	5	1.15	47.7	0.954	53.429
BTO.TO	0.357	69.142	50.8	39.56	46.17	5	1.54	41.73	0.995	58.709
BYN.V	5.164	99.8	58.67	81.28	68.83	5	-0.04	70.82	1.014	31.269
CAD.V	-0.306	61.447	39.84	55.34	41.17	5	-0.56	50.03	0.938	38.606
CCO.TO	2.94	99.098	53.31	66.21	64.1	5	-0.48	65.96	1.003	39.309
CKG.V	4.506	99.8	51.32	66.57	59.64	5	1.25	52.05	1.001	58.234
CNC.V	-1.118	52.026	25.23	16.02	17.63	5	-0.39	21.91	0.982	38.974
CNX.V	-0.463	59.627	38.01	34.24	39.07	5	0.17	54.03	1.012	20.184
CRE.V	0.773	73.968	41.89	38.01	35.45	5	0.1	38.77	0.949	28.779
CUU.V	0.504	70.841	39.24	53.57	40.22	5	-0.5	50.74	1.0	27.5
CVV.V	0.895	75.387	50.3	49.0	56.62	5	-1.57	57.62	0.967	29.956
CVW.V	-0.228	62.36	43.36	46.11	42.04	5	0.52	48.5	0.984	38.763
DAN.V	5.133	99.8	36.1	54.55	46.72	5	1.63	28.91	0.98	21.875
DBG.V	-0.373	60.678	18.42	27.68	21.72	5	0.03	13.72	0.895	0.25
DIAM.TO	0.0	65.0	32.55	36.26	29.12	5	2.94	20.26	0.938	37.5
DME.V	0.721	73.362	58.71	52.24	46.67	5	1.02	48.26	0.992	74.405
ELBM.V	1.565	83.156	54.96	53.69	47.1	5	-0.47	53.5	0.963	42.609
ELD.TO	0.707	73.203	60.25	60.06	58.29	5	1.21	77.31	1.019	72.101
ELE.V	2.001	88.213	48.8	47.14	53.23	5	0.43	38.95	0.965	62.487
EMN.V	-0.449	59.795	30.28	27.66	26.2	5	0.5	36.08	0.98	37.5
EMO.V	0.966	76.205	36.68	29.37	37.11	5	-0.48	16.93	0.937	29.717
EMX.V	2.215	90.694	64.6	62.97	67.57	5	0.79	69.16	1.007	61.302
ESK.V	4.999	99.8	39.56	49.29	48.41	5	2.46	23.31	0.946	30.537
ETL.V	2.581	94.944	60.88	54.89	53.26	5	2.3	60.66	0.989	53.578
FF.TO	0.765	73.868	33.93	23.63	34.93	5	1.11	25.38	0.973	27.76
FL.V	-0.155	63.199	47.45	56.78	45.82	5	0.03	44.3	1.0	58.167
FNV.TO	-0.482	59.408	55.44	55.87	57.84	5	1.09	64.37	1.01	68.206
FPX.V	1.97	87.851	60.95	51.61	46.23	5	0.06	62.72	1.026	72.115
G.TO	6.372	99.8	68.35	66.42	61.3	5	1.05	64.53	1.002	63.997
GGM.V	0.0	65.0	32.56	19.8	21.14	5	0.0	49.5	1.0	37.5
