"Symbol","Company Name","ADTValue","Weighted LT Score","Wtd Sortino","Beta","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI"
"GTK.NZ","Gentrack Group Ltd","15652529","75.471","99.8","-24.8","84.742","41.87063","73.76406","96.24563","84.95469",""
"SPY.NZ","SmartPay Holdings Ltd","929480","72.462","99.8","25.8","77.08","40.50483","50.697535","73.13434","83.47889",""
"THL.NZ","Tourism Holdings Ltd","9444","71.89","97.2644","14.5","72.407","45.99852","76.669025","100","75.01074",""
"AIA.NZ","Auckland International Airport Ltd","553946","67.231","82.6633","49.35","68.606","50.42424","50","93.96937","47.96431",""
"CNU.NZ","Chorus Ltd","55992","65.927","81.736","14.85","66.065","49.9798","76.059325","79.58061","54.02102",""
"HLG.NZ","Hallenstein Glassons Holdings Ltd","1509187","61.718","75.1412","-3.75","63.978","46.03498","90.595925","88.88701","71.17505",""
"MEL.NZ","Meridian Energy Ltd","1199302","61.602","74.8667","100","60.8","49.14018","34.917495","30.25076","59.02508",""
"FPH.NZ","Fisher & Paykel Healthcare Corp Ltd","2823215","61.549","74.4881","89.85","61.552","48.60705","55.9439","99.84062","59.48414",""
"IFT.NZ","Infratil Ltd","57077","61.114","80.5339","25.65","54.985","47.8236","100","97.97158","54.10652",""
"EBO.NZ","Ebos Group Ltd","15577","61.039","79.0398","25.5","58.108","45.96981","74.798485","80.55731","34.01685",""
"FSF.NZ","Fonterra Shareholders Fund","3971048","60.252","76.8988","-12","59.747","44.11037","100","100","64.45242",""
"MCY.NZ","Mercury NZ Ltd","141801","60.224","72.8784","93.3","59.882","47.91229","50","82.46022","56.33216",""
"NZO.NZ","New Zealand Oil & Gas Ltd","2920935","59.76","99.8","3.9","47.526","31.95508","0","0","60.73618",""
"GXH.NZ","Green Cross Health Ltd","96762","59.052","68.9136","8.85","69.152","39.08988","86.88733","73.59069","73.85443",""
"VCT.NZ","Vector Ltd","46796","58.908","64.4951","20.3","62.328","49.89998","48.14683","0.0852","63.5449",""
"SKT.NZ","Sky Network Television Ltd","24264784","57.722","68.5838","4.25","61.15","43.43255","57.48063","97.21608","66.26082",""
"SPN.NZ","South Port New Zealand Ltd","984","57.31","59.4544","9.6","78.06","34.41586","12.25597","1.09593","76.59972",""
"SPK.NZ","Spark New Zealand Ltd","39078","57.17","72.3766","11.45","53.755","45.37965","45.59982","19.49","51.68543",""
"ATM.NZ","The a2 Milk Co Ltd","9949214","56.487","65.5531","100","55.571","48.33604","0","0","38.96249",""
"PGW.NZ","PGG Wrightson Ltd","168594","55.99","66.9305","18.6","58.354","42.68539","38.766325","20.56218","58.90717",""
"POT.NZ","Port of Tauranga Ltd","1616","55.789","64.6336","-13597.8","57.252","45.48115","67.001375","69.33347","51.45518",""
"CEN.NZ","Contact Energy Ltd","1600783","55.349","69.1164","99.55","49.084","47.84725","54.36591","40.93331","52.1577",""
"WBC.NZ","Westpac Banking Corp","910068","54.994","61.3244","12.4","52.292","51.36536","32.95106","2.93818","46.88063",""
"GMT.NZ","Goodman Property Trust","248679","53.761","61.0164","11.85","55.499","44.76669","62.18306","83.98841","56.79488",""
"PCT.NZ","Precinct Properties New Zealand Ltd","66360","53.279","57.1146","13.35","61.17","41.55112","28.801485","19.70959","53.06784",""
"LIC.NZ","Livestock Improvement Corp Ltd","142132","53.209","60.3279","-33.75","84.116","15.18187","0","0","17.91871",""
