"Symbol","Company Name","ADTValue","Weighted LT Score","Wtd Sortino","Beta","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","LW Wtd Sortino","LW Wtd BV","LW Wtd PriceUp","LW WeightedScore","Price last week","Price this week","Price move %"
"GTK.NZ","Gentrack Group Ltd","15652110","75.374","99.8","-24.8","84.631","41.69045","74.64824","96.45652","83.65593","99.684","84.558","40.79057","75.011","3.15","3.41","8.25",""
"SPY.NZ","SmartPay Holdings Ltd","932152","72.425","99.8","25.8","77.135","40.34051","54.988275","77.0147","83.70077","99.8","76.352","40.27023","72.141","1.56","1.575","0.96",""
"THL.NZ","Tourism Holdings Ltd","9176","71.814","97.2416","14.5","72.405","45.79461","77.20544","100","74.49233","96.0969","72.177","45.92626","71.4","4.19","4.25","1.43",""
"AIA.NZ","Auckland International Airport Ltd","559021","66.831","81.7693","49.35","68.519","50.2035","50","93.51267","49.33658","82.8444","68.777","50.86475","67.495","8.68","8.75","0.81",""
"CNU.NZ","Chorus Ltd","55314","66.031","81.8039","14.85","66.08","50.20941","79.723395","82.67821","56.93897","82.7155","65.733","49.94826","66.132","8.6","8.58","-0.23",""
"HLG.NZ","Hallenstein Glassons Holdings Ltd","1439530","62.492","76.3064","-3.75","64.892","46.27642","100","91.76357","73.30287","70.568","59.48","45.95319","58.667","6.27","6.76","7.81",""
"EBO.NZ","Ebos Group Ltd","1168935","61.216","79.3087","25.5","58.134","46.20638","74.2496","77.15436","34.62506","79.6937","57.899","45.9124","61.168","44.2","44.19","-0.02",""
"FPH.NZ","Fisher & Paykel Healthcare Corp Ltd","2758119","61.201","73.7385","89.85","61.467","48.39616","59.27813","99.84341","61.58399","75.4784","61.368","49.01404","61.953","27.27","27","-0.99",""
"MEL.NZ","Meridian Energy Ltd","55957","61.019","73.4033","100","60.723","48.93126","36.2737","32.41639","57.61476","74.9228","60.561","49.08598","61.523","5.44","5.35","-1.65",""
"IFT.NZ","Infratil Ltd","15690","60.467","78.9267","25.65","54.859","47.61468","100","97.9868","56.12357","82.3182","55.013","48.65928","61.997","9.55","9.26","-3.04",""
"MCY.NZ","Mercury NZ Ltd","3978322","60.438","73.2743","93.3","59.892","48.14881","50","82.89871","55.61404","71.8044","59.712","47.40478","59.64","6.3","6.45","2.38",""
"FSF.NZ","Fonterra Shareholders Fund","142041","59.71","75.6973","-12","59.503","43.92905","100","100","62.17622","69.5753","57.304","43.50037","56.793","3.45","3.73","8.12",""
"NZO.NZ","New Zealand Oil & Gas Ltd","2945074","59.702","99.8","3.9","47.506","31.79901","0","0","60.21579","99.8","47.987","32.58357","60.124","0.37","0.37","0",""
"GXH.NZ","Green Cross Health Ltd","95772","58.815","68.3606","8.85","69.166","38.91775","83.99014","70.92109","73.5698","68.9694","69.093","39.77943","59.281","1.33","1.31","-1.5",""
"VCT.NZ","Vector Ltd","46529","58.619","63.897","20.3","62.272","49.68909","50","0.08948","62.71893","63.7327","61.785","49.40823","58.309","3.99","3.98","-0.25",""
"SKT.NZ","Sky Network Television Ltd","23689023","57.639","68.5424","4.25","61.129","43.24595","59.567045","97.31523","69.08247","67.9499","60.754","43.28107","57.328","2.6","2.68","3.08",""
"SPN.NZ","South Port New Zealand Ltd","800","57.312","59.4423","9.6","78.092","34.40302","14.943605","1.11395","77.84258","61.7011","77.924","34.66888","58.098","7.97","7.7","-3.39",""
"SPK.NZ","Spark New Zealand Ltd","39203","57.306","72.5753","11.45","53.72","45.62405","50","23.55323","50.58048","73.8274","53.897","45.29096","57.672","5.2","5.17","-0.58",""
"PGW.NZ","PGG Wrightson Ltd","9890725","56.34","67.6893","18.6","58.397","42.93471","38.533755","19.4381","58.74373","67.3321","57.989","43.01848","56.113","4.35","4.38","0.69",""
