[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
RYM.NZ	1.5	100	74.175	0	110.758	5
SKL.NZ	1.5	100	76.467	0	107.108	5
WBC.NZ	1.5	100	66.277	0	105.093	5
SPK.NZ	1.5	100	64.562	0	103.909	5
CNU.NZ	1.5	100	64.308	0	103.735	5
ANZ.NZ	1.5	100	61.942	0	102.135	5
SCL.NZ	1.5	100	58.78	0	100.054	5
HLG.NZ	1.5	100	81.207	0	89.447	5
DGL.NZ	1.5	100	66.581	0	80.236	5
MFT.NZ	1.5	100	65.631	0	79.368	5
SKC.NZ	1.5	100	65.18	0	78.958	5
GNE.NZ	1.5	100	67.126	0	76.891	5
OCA.NZ	1.5	100	62.059	0	76.135	5
AIR.NZ	1.5	100	65.705	0	75.653	5
EBO.NZ	1.5	100	60.758	0	74.969	5
TPW.NZ	1.5	100	64.9	0	74.955	5
MEL.NZ	1.5	100	59.774	0	74.091	5
SKT.NZ	1.5	100	59.48	0	73.83	5
PGW.NZ	1.5	100	66.116	0	73.73	5
AIA.NZ	1.5	100	63.175	0	73.467	5
