"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"AIA.NZ","Auckland International Airport Ltd","15652110","55.145","76.9431","49.35","67.095","49.77778","50","93.51267","49.33658",""
"AIR.NZ","Air New Zealand Ltd","932152","44.584","55.2325","40.9","36.991","38.75278","6.78212","0","53.77945",""
"ALF.NZ","Allied Farmers Ltd","9176","52.785","75.3601","23.3","75.546","31.61765","0","1.39159","62.27629",""
"ANZ.NZ","Australia and New Zealand Banking Group Ltd","559021","35.023","57.4496","2.55","44.856","48.75283","34.57031","5.17415","55.51609",""
"APL.NZ","Asset Plus Ltd","55314","29.949","53.5741","17.8","53.678","26.4574","50","18.00283","40.13326",""
"ARG.NZ","Argosy Property Ltd","1439530","35.425","39.9164","9.05","51.219","39.77778","27.23401","0.62023","61.86231",""
"ARV.NZ","Arvida Group Ltd (NS)","1168935","22.141","31.241","8.5","25.884","33.70536","38.29002","1.34619","30.89391",""
"ATM.NZ","The a2 Milk Co Ltd","2758119","57.526","60.7728","100","49.5","47.11111","0","0","45.30053",""
"BGP.NZ","Briscoe Group Ltd","55957","41.845","52.2305","19.25","52.874","40.17857","12.437285","13.3387","39.91807",""
"CDI.NZ","CDL Investments New Zealand Ltd","15690","42.531","46.4653","-2.1","44.946","35.69682","64.582315","82.62379","60.91997",""
"CEN.NZ","Contact Energy Ltd","3978322","52.238","63.1069","99.55","46.075","47.11111","57.411865","44.77599","50.22232",""
"CMO.NZ","Colonial Motor Co Ltd","142041","27.543","65.1104","-1.75","21.313","38.50129","23.71251","3.38004","13.6746",""
"CNU.NZ","Chorus Ltd","2945074","59.916","89.4168","14.85","67.857","48.22222","79.723395","82.67821","56.93897",""
"CVT.NZ","Comvita Ltd","95772","45.742","59.4864","28.95","65.734","38.34081","0","0","27.68121",""
"DGL.NZ","Delegat Group Ltd","46529","36.063","40.3971","-1.2","60.514","35.66434","18.040465","4.35829","48.78637",""
"EBO.NZ","Ebos Group Ltd","23689023","54.122","87.0154","25.5","59.289","46.7706","74.2496","77.15436","34.62506",""
"ENS.NZ","Enprise Group Ltd","800","23.123","41.2686","9.05","33.917","24.91103","35.67637","0","24.06462",""
"ERD.NZ","EROAD Ltd","39203","-1144.677","30.2","-8248.8","34.104","35.41203","0","0","36.34604",""
"FPH.NZ","Fisher & Paykel Healthcare Corp Ltd","9890725","62.312","62.1008","89.85","56.696","47.55556","59.27813","99.84341","61.58399",""
"FSF.NZ","Fonterra Shareholders Fund","168497","59.388","66.7833","-12","57.867","40.88889","100","100","62.17622",""
"GFL.NZ","Geneva Finance Ltd","1616","44.725","44.6226","65.5","40.291","25.69832","0","0","36.9652",""
"GMT.NZ","Goodman Property Trust","1615503","49.324","58.169","11.85","61.313","44","64.921605","83.80655","56.28763",""
"GNE.NZ","Genesis Energy Ltd","912289","36.673","48.7674","48.75","34.241","43.33333","36.162835","1.16844","52.77828",""
"GTK.NZ","Gentrack Group Ltd","250699","58.953","89.3586","-24.8","78.842","39.86486","74.64824","96.45652","83.65593",""
"GXH.NZ","Green Cross Health Ltd","66316","56.652","71.4553","8.85","65.834","37.95455","83.99014","70.92109","73.5698",""
"HLG.NZ","Hallenstein Glassons Holdings Ltd","150658","60.889","63.5168","-3.75","55.836","45.55556","100","91.76357","73.30287",""
"IFT.NZ","Infratil Ltd","3782224","65.848","80.3178","25.65","53.745","47.11111","100","97.9868","56.12357",""
"IPL.NZ","Investore Property Ltd","355043","40.236","41.354","5.35","53.707","36.52561","6.05168","0","56.81565",""
"KMD.NZ","Kathmandu Holdings Ltd","467721","39.878","50.0524","36.8","48.259","35.55556","50","65.72986","42.75216",""
"KPG.NZ","Kiwi Property Group Ltd","998242","36.324","47.8892","12.15","52.629","37.11111","24.166975","2.46648","50.35437",""
"LIC.NZ","Livestock Improvement Corp Ltd","35728","34.584","64.7286","-33.75","73.811","19.37984","0","0","17.91871",""
"MCK.NZ","Millennium & Copthorne Hotels New Zealand Ltd","11879","36.829","56.4126","0.9","54.284","32.76284","42.23183","24.44668","73.46336",""
"MCY.NZ","Mercury NZ Ltd","3574958","57.449","66.0489","93.3","57.616","46.66667","50","82.89871","55.61404",""
"MEL.NZ","Meridian Energy Ltd","6146534","55.602","67.6806","100","57.158","46.88889","36.2737","32.41639","57.61476",""
"MFT.NZ","Mainfreight Ltd","4403515","35.814","61.9654","28.55","46.185","46.88889","44.512995","8.60691","47.52543",""
"MMH.NZ","Marsden Maritime Holdings Ltd","13113","39.384","52.0209","16.8","44.841","29.34783","0","0","32.68044",""
"MPG.NZ","Metro Performance Glass Ltd","9511","33.313","40.2258","1.9","21.046","30.76923","0","0","39.25013",""
"NWF.NZ","NZ Windfarms Ltd","19579","28.095","39.2008","51.15","35.135","31.77778","50","7.93915","31.45931",""
"NZK.NZ","New Zealand King Salmon Investments Ltd","77956","38.937","51.6353","-4.05","44.64","30.88889","16.311765","2.37737","79.69343",""
"NZM.NZ","NZME Ltd","23790","44.513","75.8164","4.35","35.059","39.95536","2.75693","0","61.92061",""
"NZO.NZ","New Zealand Oil & Gas Ltd","6545","49.894","99.8","3.9","51.318","34.02299","0","0","60.21579",""
"NZX.NZ","NZX Ltd","326010","38","35.9551","57.5","39.734","33.10962","17.24465","0","34.18917",""
"OCA.NZ","Oceania Healthcare Ltd","341419","28.242","30.2","-0.95","49.912","32.66667","26.482765","0","38.83131",""
"PCT.NZ","Precinct Properties New Zealand Ltd","1271207","39.976","50.4877","13.35","60.383","42","28.500335","19.26537","51.34868",""
"PFI.NZ","Property For Industry Ltd","464392","37.669","49.604","8.9","53.315","40.66667","45.08879","55.66032","45.71578",""
"PGW.NZ","PGG Wrightson Ltd","66627","42.499","80.6892","18.6","53.092","44","38.533755","19.4381","58.74373",""
"POT.NZ","Port of Tauranga Ltd","818508","-1895.767","61.8505","-13597.8","55.729","45.33333","71.243095","71.69995","50.32966",""
"RAK.NZ","Rakon Ltd","65731","42.7","74.8108","4.65","59.923","41.11111","28.745135","23.53983","52.35686",""
"RBD.NZ","Restaurant Brands NZ Ltd","679453","59.56","36.9096","27.05","41.345","40.22222","97.045925","100","77.3046",""
"RYM.NZ","Ryman Healthcare Ltd","4444306","33.429","33.8037","57.3","26.493","43.27354","36.0371","0","45.20765",""
"SAN.NZ","Sanford Ltd","57187","30.302","54.6944","26.25","20.203","40.08909","50","24.43481","46.4459",""
"SCL.NZ","Scales Corp Ltd","312652","25.467","53.525","-3.3","44.752","41.11111","50","0.02044","42.16169",""
"SCT.NZ","Scott Technology Ltd","58366","56.694","69.8453","50.15","57.454","37.87529","61.589705","99.16572","59.18967",""
"SDL.NZ","Solution Dynamics Ltd","6926","42.634","54.8671","-31.8","17.758","29.95392","100","100","27.65743",""
"SEK.NZ","Seeka Ltd","18805","28.631","33.8473","-1.7","27.779","34.00447","17.37545","0","41.23618",""
"SKC.NZ","SkyCity Entertainment Group Ltd","1397909","33.957","45.5277","5.85","48.641","42","21.81523","0","39.31087",""
"SKL.NZ","Skellerup Holdings Ltd","422114","35.692","66.3226","-7.45","56.429","44.22222","23.967135","0.06335","38.19126",""
"SKO.NZ","Serko Ltd","293179","38.973","32.6381","20.5","42.006","40.3118","18.4025","0","74.16294",""
"SKT.NZ","Sky Network Television Ltd","431187","53.519","78.6291","4.25","64.519","41.70404","59.567045","97.31523","69.08247",""
"SML.NZ","Synlait Milk Ltd","464126","45.295","42.9971","60.25","43.696","41.07143","0","0","29.0521",""
"SPG.NZ","Stride Property Ltd","435267","37.703","30.2","27","43.538","38.08463","7.36939","0","39.83955",""
"SPK.NZ","Spark New Zealand Ltd","11028974","36.645","71.2233","11.45","54.598","45.11111","50","23.55323","50.58048",""
"SPN.NZ","South Port New Zealand Ltd","37460","46.927","63.4499","9.6","69.752","36.61538","14.943605","1.11395","77.84258",""
"SPY.NZ","SmartPay Holdings Ltd","24236","57.362","98.3429","25.8","69.727","36.97105","54.988275","77.0147","83.70077",""
"STU.NZ","Steel & Tube Holdings Ltd","59417","42.355","63.0418","-2","53.981","36.44444","0","0","45.0181",""
"SUM.NZ","Summerset Group Holdings Ltd","1608557","40.724","37.9596","30.85","43.242","40.44444","4.545075","0","41.66471",""
"TGG.NZ","T&G Global Ltd","5471","32.731","43.6753","-5.4","55.248","30.3681","19.109","0","43.44698",""
"THL.NZ","Tourism Holdings Ltd","979477","65.032","92.9425","14.5","72.997","45.87973","77.20544","100","74.49233",""
"TRA.NZ","Turners Automotive Group Ltd","76984","36.252","47.0118","-9.75","46.539","36.44444","51.104055","84.1884","47.12181",""
"VCT.NZ","Vector Ltd","751688","37.169","65.9496","20.3","63.567","47.55556","50","0.08948","62.71893",""
"VGL.NZ","Vista Group International Ltd","556020","38.378","50.1644","-1.3","41.47","40","0","0","38.3134",""
"VHP.NZ","Vital Healthcare Property Trust","680364","33.808","45.5563","-2.45","61.523","43.40045","30.861955","0","50.34912",""
"WBC.NZ","Westpac Banking Corp","313655","34.892","58.3861","12.4","45.127","50.88889","36.020675","3.01702","46.46442",""
"WHS.NZ","Warehouse Group Ltd (The)","346329","33.261","42.5074","-31.05","54.459","40.22222","0","0","26.68832",""
