[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
ABA.NZ	1.5	100	38.575	0	50.571	5
AIA.NZ	1.5	100	63.175	0	73.467	5
AIR.NZ	1.5	100	65.705	0	75.653	5
ALF.NZ	0	0	0	0	0	5
AMP.NZ	1.5	100	45.879	0	52.737	5
ANZ.NZ	1.5	100	61.942	0	102.135	5
APL.NZ	0	0	0	0	0	5
ARG.NZ	1.5	100	42.525	0	59.533	5
ARV.NZ	1.5	100	46.792	0	62.963	5
ATM.NZ	1.5	100	45.735	0	52.638	5
AUG.NZ	1.5	100	48.41	0	64.297	5
AWF.NZ	1.5	100	34.22	0	49.244	5
BGP.NZ	1.5	100	51.154	0	61.524	5
CDI.NZ	1.5	100	55.821	0	65.23	5
CEN.NZ	1.5	100	57.646	0	72.208	5
CMO.NZ	0	0	0	0	0	5
CNU.NZ	1.5	100	64.308	0	103.735	5
CVT.NZ	1.5	100	40.13	0	50.53	5
DGL.NZ	1.5	100	66.581	0	80.236	5
EBO.NZ	1.5	100	60.758	0	74.969	5
ENS.NZ	0	0	0	0	0	5
ERD.NZ	1.5	100	52.058	0	59.026	5
FFW.NZ	0	0	0	0	0	5
FIN.NZ	0	0	0	0	0	5
FPH.NZ	1.5	100	48.126	0	61.011	5
FRE.NZ	1.5	100	45.538	0	55.452	5
FSF.NZ	1.5	100	57.996	0	63.539	5
GFL.NZ	1.5	100	29.778	0	47.885	5
GMT.NZ	1.5	100	36.54	0	54.977	5
GNE.NZ	1.5	100	67.126	0	76.891	5
GTK.NZ	1.5	100	45.722	0	59.133	5
GXH.NZ	1.5	100	42.248	0	51.971	5
HBL.NZ	1.5	100	40.362	0	53.441	5
HLG.NZ	1.5	100	81.207	0	89.447	5
IFT.NZ	1.5	100	48.371	0	64.265	5
IPL.NZ	1.5	100	58.359	0	72.837	5
JWI.NZ	0	0	0	0	0	5
KMD.NZ	1.5	100	55.044	0	69.934	5
KPG.NZ	1.5	100	60.666	0	71.32	5
LIC.NZ	0	0	0	0	0	5
MCK.NZ	1.5	100	36.188	0	54.719	5
MCY.NZ	1.5	100	58.077	0	69.132	5
MEL.NZ	1.5	100	59.774	0	74.091	5
MET.NZ	1.5	100	56.779	0	68.045	5
MFT.NZ	1.5	100	65.631	0	79.368	5
MMH.NZ	0	0	0	0	0	5
MPG.NZ	1.5	100	47.192	0	63.291	5
MVN.NZ	1.5	100	46.019	0	57.582	5
NWF.NZ	1.5	100	41.035	0	58.368	5
NZK.NZ	1.5	100	56.106	0	70.859	5
NZM.NZ	1.5	100	43.592	0	54.052	5
NZO.NZ	1.5	100	32.65	0	46.739	5
NZR.NZ	1.5	100	53.588	0	65.406	5
NZX.NZ	1.5	100	46.731	0	58.119	5
OCA.NZ	1.5	100	62.059	0	76.135	5
PCT.NZ	1.5	100	53.094	0	68.252	5
PFI.NZ	1.5	100	58.362	0	72.84	5
PGW.NZ	1.5	100	66.116	0	73.73	5
POT.NZ	1.5	100	37.325	0	51.322	5
RAK.NZ	1.5	100	51.767	0	67.119	5
RBD.NZ	1.5	100	53.01	0	64.933	5
RYM.NZ	1.5	100	74.175	0	110.758	5
SAN.NZ	1.5	100	58.938	0	73.349	5
SCL.NZ	1.5	100	58.78	0	100.054	5
SCT.NZ	1.5	100	34.71	0	49.565	5
SDL.NZ	0	0	0	0	0	5
SEK.NZ	1.5	100	30.749	0	45.585	5
SKC.NZ	1.5	100	65.18	0	78.958	5
SKL.NZ	1.5	100	76.467	0	107.108	5
SKO.NZ	1.5	100	49.533	0	65.233	5
SKT.NZ	1.5	100	59.48	0	73.83	5
SLI.NZ	0	0	0	0	0	5
SML.NZ	1.5	100	62.837	0	73.176	5
SPG.NZ	1.5	100	58.879	0	73.297	5
SPK.NZ	1.5	100	64.562	0	103.909	5
SPN.NZ	0	0	0	0	0	5
SPY.NZ	0	0	0	0	0	5
STU.NZ	1.5	100	38.035	0	47.537	5
SUM.NZ	1.5	100	32.044	0	33.646	5
TGG.NZ	1.5	100	57.687	0	68.804	5
TGH.NZ	1.5	100	34.949	0	53.824	5
THL.NZ	1.5	100	35.027	0	48.235	5
TLS.NZ	1.5	100	70.274	0	73.281	5
TME.NZ	1.5	100	41.48	0	55.918	5
TPW.NZ	1.5	100	64.9	0	74.955	5
TRA.NZ	1.5	100	32.677	0	32.677	5
TTK.NZ	1.5	100	54.927	0	66.507	5
VCT.NZ	1.5	100	41.562	0	55.979	5
VGL.NZ	1.5	100	45.182	0	61.653	5
VHP.NZ	1.5	100	54.278	0	69.271	5
VIL.NZ	1.5	100	39.609	0	35.252	5
WBC.NZ	1.5	100	66.277	0	105.093	5
WHS.NZ	1.5	100	60.083	0	68.7	5
ZEL.NZ	1.5	100	56.818	0	68.077	5
