"Symbol","Company Name","Wtd Sortino Score"
"SSI","SSI Group Inc","121.6700202157"
"APX","Apex Mining Co Inc","116.0416228887"
"BLOOM","Bloomberry Resorts Corp","81.98089376034"
"PRMX","Primex Corp","77.47566782963"
"PLUS","DigiPlus Interactive Corp.","68.64955489038"
"SSP","SFA Semicon Philippines Corp","67.74881391976"
"HI","House of Investments Inc","60.7351118244"
"EEI","EEI Corp","58.49453902429"
"NOW","Now Corp","55.02496636384"
"ANI","AgriNurture Inc","53.06911091594"
"GSMI","Ginebra San Miguel Inc","52.73678901476"
"HVN","Golden Haven Memorial Park Inc","51.44038648776"
"ANS","A Soriano Corp","48.63123027537"
"AGI","Alliance Global Group Inc","43.90243401272"
"URC","Universal Robina Corp","38.27909810211"
"VUL","Vulcan Industrial and Mining Corp","34.42203936362"
"MPI","Metro Pacific Investments Corp","32.97728695764"
"CHIB","China Banking Corp","30.88844602542"
"AP","Aboitiz Power Corp","27.22898453244"
"SEVN","Philippine Seven Corp","26.50019590249"
"MRC","MRC Allied Inc","25.32244289599"
"MBT","Metropolitan Bank and Trust Co","25.11159211046"
"PCOR","Petron Corp","23.74427848622"
"RCB","Rizal Commercial Banking Corp","22.92495739713"
"ION","Ionics Inc","22.9174409371"
"LTG","LT Group Inc","22.69601460224"
"EMI","Emperador Inc.","22.19800590153"
"BPI","Bank of the Philippine Islands","21.23182177032"
"BDO","BDO Unibank Inc","21.06217569199"
"LOTO","Pacificonline Systems Inc","18.91909985894"
"PLC","Premium Leisure Corp","18.19937670033"
"SLI","Sta Lucia Land Inc","16.84809381299"
"PXP","PXP Energy Corp","16.45299171368"
"COSCO","Cosco Capital Inc","16.28939308221"
"MWC","Manila Water Company Inc","16.13516387666"
"NIKL","Nickel Asia Corp","16.08730844109"
"PIZZA","Shakey’s Pizza Asia Ventures Inc","15.7884841576"
"CNPF","Century Pacific Food Inc","15.07446659705"
"TUGS","Harbor Star Shipping Services Inc","13.92054872286"
"MER","Manila Electric Co","11.43860904294"
"ICT","International Container Terminal Services Inc","11.41914730672"
"SM","SM Investments Corp","10.02721274389"
"ATI","Asian Terminals Inc","9.570414364231"
"CEB","Cebu Air Inc","8.991790909248"
"ORE","Oriental Peninsula Resources Group Inc","8.887248162512"
"SLF","Sun Life Financial Inc.","8.015148585626"
"CEBCP","Cebu Air Inc Preferred","6.573860814179"
"PHN","PHINMA Corp","5.500009268728"
"PERC","PetroEnergy Resources Corp","5.386763893916"
"AEV","Aboitiz Equity Ventures Inc","5.385320517752"
"MA","Manila Mining Corp","4.508137218816"
"LAND","City and Land Developers Inc","4.456853792997"
"AUB","Asia United Bank Corp","2.431679547075"
"DNL","D&L Industries Inc","2.0631377886"
"JFC","Jollibee Foods Corp","1.817376358394"
"MRSGI","Metro Retail Stores Group Inc","1.588250752885"
"SMC","San Miguel Corp","0.7190934117878"
"DFNN","DFNN Inc","-0.2503539785789"
"BKR","Bright Kindle Resources & Investments Inc","-0.8606719487071"
