"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"HVN.PSE","Golden Bria Holdings, Inc.","813814","3.25","70.8","81.502","99.67","31.22874","54.06448","100","32.04123","70.8","7.12","69.794","1.44","800.5","809.5","1.12",""
"CHIB.PSE","China Banking Corporation","146312492","14.4","70.263","90.1573","77.204","43.42829","56.823395","100","65.15683","70.263","2.42","68.428","2.68","31.1","30.85","-0.8",""
"PRMX.PSE","Primex Corporation","204917379","17","68.997","86.0061","77.037","43.94827","100","97.03295","69.75417","68.997","0.88","60.048","14.9","3.32","3.39","2.11",""
"SSI.PSE","SSI Group, Inc.","1403697","25.85","68.742","94.2808","65.684","46.25977","35.614055","54.34594","74.45794","68.742","25","61.224","12.28","2.6","2.57","-1.15",""
"SLI.PSE","Sta. Lucia Land, Inc.","134151349","10.2","68.101","71.5448","97.893","34.86442","61.622935","45.68336","45.0986","68.101","2.17","66.138","2.97","3.13","3.28","4.79",""
"APX.PSE","Apex Mining Co., Inc.","23611152","-0.85","68.039","93.7215","67.124","43.27146","73.496635","83.35527","64.86458","68.039","28.24","60.147","13.12","2.69","2.88","7.06",""
"RCB.PSE","Rizal Commercial Banking Corporation","293481525","2.65","67.338","73.9379","85.458","42.6193","52.5233","84.89477","51.69187","67.338","2.56","69.627","-3.29","23.75","23.8","0.21",""
"GSMI.PSE","Ginebra San Miguel,  Inc.","53568031","-13.45","66.513","93.7406","66.454","39.34515","100","100","52.25599","66.513","5.89","61.94","7.38","142.5","150","5.26",""
"PCOR.PSE","Petron Corporation","621611","32","65.52","78.0428","76.495","42.02329","100","100","80.85913","65.52","30.92","63.285","3.53","4.62","3.66","-20.78",""
"AGI.PSE","Alliance Global Group, Inc.","39137574","29.25","64.35","75.8656","73.154","44.02982","49.360325","50.32094","81.20665","64.35","14.71","66.497","-3.23","13.18","13.7","3.95",""
"BLOOM.PSE","Bloomberry Resorts Corporation","9999240","-3.95","63.594","84.4726","56.436","49.87325","50","53.85754","71.46657","63.594","25.39","64.284","-1.07","10.96","10.76","-1.82",""
"AP.PSE","Aboitiz Power Corporation","16555973","17.65","61.791","80.299","62.036","43.03729","50","45.66844","56.99254","61.791","2.93","63.089","-2.06","37.25","37.35","0.27",""
"GEO.PSE","GEOGRACE Resources Philippines, Inc.","1392282","12.05","61.706","68.7497","73.895","42.47274","42.687295","62.54034","67.91834","61.706","3.09","63.277","-2.48","0.177","0.165","-6.78",""
"ANI.PSE","AgriNurture, Inc.","1199810","30.9","61.452","79.0723","57.739","47.54546","84.524965","75.60279","49.3389","61.452","6.74","63.078","-2.58","7.31","7.37","0.82",""
"URC.PSE","Universal Robina Corporation","569346","53.95","61.445","78.5424","59.238","46.55371","54.972555","77.55587","58.83405","61.445","7.93","61.134","0.51","145","142","-2.07",""
"ATI.PSE","Asian Terminals, Inc.","1302590","5.65","61.084","66.5358","82.65","34.06634","96.726305","95.35399","19.94608","61.084","12.17","65.008","-6.04","14.3","14","-2.1",""
"ANS.PSE","A. Soriano Corporation","249528","-6.1","60.962","78.7342","63.221","40.93017","50","100","69.17113","60.962","13.36","62.512","-2.48","11.08","11","-0.72",""
"BCB.PSE","Benguet Corp B","366152","50","60.889","65.1914","73.106","44.37052","47.66404","29.93266","44.599","60.889","0.84","65.07","-6.43","4.44","4.53","2.03",""
"BPI.PSE","Bank of the Philippine Islands","417533111","13.1","60.874","72.0609","60.46","50.0999","32.615955","9.9236","51.2037","60.874","8.85","62.637","-2.81","102.4","100","-2.34",""
"PERC.PSE","PetroEnergy Resources Corporation","626973","37.4","60.106","70.2754","71.847","38.19562","2.269215","13.72582","44.85431","60.106","6.25","59.913","0.32","4.6","4.86","5.65",""
