"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"SCCC.BK","Siam City Cement PCL","192060","16.9","72.619","82.6156","94.685","40.55708","85.352395","100","74.38533","72.619","159","162","1.89",""
"SSC.BK","Sermsuk PCL","253506","2.6","72.426","99.8","77.633","39.8462","50","100","64.6476","72.426","62.5","63.25","1.2",""
"INTUCH.BK","Intouch Holdings PCL","4628","11.3","71.201","99.8","69.385","44.41896","65.39483","100","72.56525","71.201","98","103","5.1",""
"BCT.BK","BIRLA CARBON (THAILAND) PCL","1626767","11.45","71.193","76.2459","92.847","44.48493","50.28326","92.78931","84.56196","71.193","72.25","73","1.04",""
"MFC.BK","MFC ASSET MANAGEMENT PCL","136424078","38.55","71.098","87.8001","93.854","31.63993","100","100","82.73271","71.098","27.25","27.75","1.83",""
"CCET.BK","CAL-COMP ELECTRONICS (THAILAND) PCL.","235771","-2.85","70.757","92.1195","75.646","44.50684","70.30775","77.20982","66.68625","70.757","3.88","4.62","19.07",""
"MONO.BK","MONO NEXT PCL","8767682","-0.65","69.902","91.814","78.071","39.82163","50","100","79.25659","69.902","1.74","1.81","4.02",""
"QHOP.BK","QUALITY HOSPITALITY LEASEHOLD PROPERTY FUND","3696739","5.9","69.661","73.2724","97.217","38.49448","54.41844","84.45417","77.42723","69.661","3.28","3.26","-0.61",""
"WPH.BK","WATTANAPAT HOSPITAL TRANG PCL","337149","13.7","69.339","99.8","68.394","39.82397","33.954355","20.08438","49.62627","69.339","11.3","11.8","4.42",""
"TRUE.BK","TRUE CORPORATION PCL","1145171","22.1","68.204","99.8","62.155","42.65574","74.80944","100","67.4128","68.204","10.9","11.5","5.5",""
"MDX.BK","M.D.X. PCL","402980","-1.05","67.811","73.854","90.716","38.86434","100","100","76.0247","67.811","3.76","3.82","1.6",""
"MCOT.BK","MCOT PCL","1017494339","-20.15","67.326","89.8866","75.127","36.96356","100","100","78.73848","67.326","4.44","6.1","37.39",""
"GULF.BK","GULF ENERGY DEVELOPMENT PCL","35609943","32.05","66.681","93.9357","64.291","41.81622","65.910625","100","71.61666","66.681","59","64.75","9.75",""
"K.BK","KINGSMEN C.M.T.I. PCL","32055","29.9","66.212","79.7394","81.813","37.08363","96.066655","100","86.88992","66.212","1.43","1.41","-1.4",""
"IT.BK","It City PCL","164965","1.45","65.84","85.1726","71.489","40.85751","50","100","70.12966","65.84","4.98","5.2","4.42",""
"INSET.BK","INFRASET PCL","1887998","17.6","65.595","81.1176","76.035","39.63134","98.260145","92.87475","71.46493","65.595","2.78","3.04","9.35",""
"PIN.BK","PINTHONG INDUSTRIAL PARK PCL","11475868","20.25","65.531","82.5139","74.646","39.43445","94.641895","96.41454","49.51968","65.531","5.75","5.8","0.87",""
"SAMTEL.BK","SAMTEL_SAMART TELCOMS","780907","46.95","65.438","83.1972","71.487","41.62838","56.901885","100","74.08352","65.438","5.05","5.45","7.92",""
"SELIC.BK","Selic Corp PCL","622414","20.25","65.064","79.1314","79.163","36.89851","72.46416","81.39892","63.03835","65.064","3.16","3.2","1.27",""
"NDR.BK","N.D. Rubber PCL","1532398","-2.5","65.044","87.5589","64.814","42.75872","94.77427","100","72.67174","65.044","2.9","2.8","-3.45",""
"TRT.BK","Tirathai PCL","1316845","-1.8","64.995","78.7378","77.337","38.90934","21.24598","0","52.97217","64.995","3.64","3.7","1.65",""
"SKN.BK","S.KIJCHAI ENTERPRISE PCL","7602433","-11.65","64.93","77.2407","82.926","34.62279","31.23358","5.68633","59.67081","64.93","5.65","5.6","-0.88",""
"BA.BK","Bangkok Airways PCL","7306","34.85","64.886","93.749","55.85","45.05972","96.5586","100","50.50253","64.886","23","24.2","5.22",""
"NC.BK","Newcity (Bangkok) PCL","4704198","-5.5","64.879","80.0343","76.791","37.81172","100","99.5776","82.89371","64.879","3.54","3.68","3.95",""
"VARO.BK","Varopakorn PCL","503267","0.95","64.62","76.4149","84.196","33.24809","100","100","74.50847","64.62","5.15","4.92","-4.47",""
"MALEE.BK","Malee Group PCL","3505421","15.55","64.556","81.1827","67.348","45.13672","92.11691","100","50.72587","64.556","13.2","13.1","-0.76",""
"PORT.BK","SAHATHAI TERMINAL PCL","3954855","27.75","64.479","69.72","82.546","41.17184","50","11.72696","42.10415","64.479","1.57","1.55","-1.27",""
"ADVANC.BK","Advanced Info Service PCL","920335","27.5","64.418","94.3367","58.085","40.832","54.05272","100","61.32909","64.418","267","272","1.87",""
"STGT.BK","SRI TRANG GLOVES (THAILAND) PCL","1885894","37.6","63.574","82.9432","66.984","40.79581","90.203905","100","59.38521","63.574","11.5","11.2","-2.61",""
"PROEN.BK","PROEN CORP PCL","4113256","38.65","63.533","74.9772","73.638","41.98444","100","100","74.03136","63.533","3.5","3.78","8",""
"PRECHA.BK","Preecha Group PCL","4452142","-15.15","63.369","79.2333","76.311","34.5614","100","98.56974","58.70123","63.369","1.26","1.22","-3.17",""
"CNT.BK","Christiani & Nielsen (Thai) PCL","1160901","24.7","63.252","72.2495","83.195","34.31004","100","100","82.3501","63.252","1.24","1.29","4.03",""
"LANNA.BK","THE LANNA RESOURCES PCL","71022","23.35","63.141","71.4029","77.689","40.33183","84.523635","100","77.58563","63.141","16.3","16.4","0.61",""
"CITY.BK","City Steel PCL","3530632","29.25","63.114","60.2527","97.263","31.82734","9.962405","0","20.6698","63.114","1.85","1.92","3.78",""
"SE.BK","SIAMEAST SOLUTIONS PCL","5436717","30.75","63.103","56.8602","51.521","31.06288","99.565015","100","59.68634","46.481","0.73","0.73","0",""
"JTS.BK","JASMINE TECHNOLOGY SOLUTION PCL","39022","24.1","62.735","83.5674","58.954","45.68459","95.831","100","57.37209","62.735","71.5","69.75","-2.45",""
"SCP.BK","Southern Concrete Pile PCL","111916850","-0.3","62.71","77.9343","70.743","39.45262","63.75486","54.99071","31.91438","62.71","6.55","6.45","-1.53",""
"THE.BK","The Steel PCL","285381","23.8","62.602","55.4697","92.833","39.50363","61.74719","47.71765","71.97585","62.602","0.98","0.94","-4.08",""
"AIRA.BK","AIRA Capital PCL","163812","-13.7","62.531","62.2494","88.118","37.22446","43.757925","0","71.78157","62.531","1.36","1.41","3.68",""
"DEMCO.BK","Demco PCL","536714","-12.65","62.487","70.8314","78.3","38.32924","4.00581","8.84361","80.64381","62.487","3.5","3.64","4",""
"MBK.BK","MBK PCL","2368382","16.9","62.385","73.028","73.752","40.37584","100","100","59.1144","62.385","17.5","17.9","2.29",""
"TU.BK","Thai Union Group PCL","4337575","-0.2","62.37","67.8449","48.185","40.8907","50","52.00922","45.60684","52.307","14.8","14.9","0.68",""
"UMI.BK","THE UNION MOSAIC INDUSTRY PCL","744067954","-29.75","62.07","64.8877","86.522","34.80097","98.74968","100","70.82322","62.07","0.9","0.93","3.33",""
"ICC.BK","I.C.C. INTERNATIONAL PCL","90691829","21.65","62.059","68.0364","77.921","40.22035","59.420065","59.27372","43.76063","62.059","33","32.75","-0.76",""
"BH.BK","Bumrungrad Hospital PCL","1229456","24.95","61.809","81.2682","62.754","41.40476","100","100","48.02663","61.809","264","268","1.52",""
