[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
TM.BK	4.617	99.8	78.83	87.88	75.47	0	1.28
AS.BK	5.251	99.8	81.75	87.21	75.38	0	1.54
EPG.BK	2.592	95.073	64.19	81.67	67.74	0	1.45
DELTA.BK	2.182	90.314	61.43	76.11	67.6	0	1.87
GLOBAL.BK	1.655	84.196	67.49	82.49	67.3	0	1.85
SCGP.BK	2.254	91.141	76.31	71.85	66.91	5	1.45
AOT.BK	1.707	84.804	63.47	78.91	65.54	0	1.41
SMT.BK	1.807	85.96	66.93	66.89	63.02	0	1.3
CHG.BK	2.139	89.81	64.61	64.49	61.08	0	1.38
BA.BK	1.511	82.533	65.33	72.04	60.45	0	1.4
