"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"2S.BK","2S Metal PCL","186448","53.323","61.2943","11.6","51.617","34.54988","90.728","98.78073","33.96588",""
"3K-BAT.BK","THAI ENERGY STORAGE TECHNOLOGY PCL","209363","45.916","68.5229","0.2","47.065","23.18841","79.21363","95.04201","28.96437",""
"A.BK","Areeya Property PCL","4925","35.688","64.305","1.6","57.564","20.87629","19.207225","21.53412","22.35291",""
"A5.BK","ASSET FIVE GROUP PCL","8137134","38.903","62.2864","10.7","53.698","41.19171","50","20.91504","83.52982",""
"AAV.BK","Asia Aviation PCL","170845067","52.112","65.1783","22.45","40.799","40.57971","65.442485","100","64.889",""
"ABM.BK","ASIA BIOMASS PCL","327103","33.996","53.1548","0.45","62.237","36.51163","50.374025","25.86028","59.01196",""
"ACC.BK","ADVANCED CONNECTION CORPORATION PCL","17479622","69.642","69.2275","57.8","51.394","37.65586","100","100","71.41338",""
"ACE.BK","ABSOLUTE CLEAN ENERGY PCL","2962504","32.258","31.3951","14.35","42.746","33.87097","46.125355","36.00103","59.69237",""
"ACG.BK","AUTOCORP HOLDING PCL","334147","60.822","60.5948","40.55","78.487","39.76471","72.18894","99.8245","62.1562",""
"ADB.BK","APPLIED DB PCL","1170913","54.07","61.6167","48.2","50.355","35.51402","57.61491","99.56211","68.00908",""
"ADD.BK","ADDTECH HUB PCL","378983","40.301","51.1702","5","18.775","34.71264","57.019135","93.97483","64.43651",""
"ADVANC.BK","Advanced Info Service PCL","1340691114","53.003","91.2206","23.55","53.923","41.16162","50","100","61.16764",""
"AEONTS.BK","Aeon Thana Sinsap (Thailand) PCL","40881055","46.289","50.154","31.85","52.966","39.39394","50.324295","96.39879","52.60866",""
"AF.BK","AIRA Factoring PCL","48978","69.628","56.7293","100","60.958","28.82206","93.09631","97.30795","57.38466",""
"AFC.BK","Asia Fiber PCL","156903","48.835","52.9885","27.65","75.737","32.30769","50","97.36659","55.797",""
"AGE.BK","Asia Green Energy PCL","1732676","39.218","38.1792","16.65","37.147","33.33333","50","83.79927","65.4189",""
"AH.BK","Aapico Hitech PCL","8964227","47.624","52.4497","46.05","60.855","40.65657","50","87.75128","45.60685",""
"AHC.BK","Aikchol Hospital PCL","91223","40.54","60.3092","10.9","41.857","29.41176","61.69425","100","17.91429",""
"AI.BK","ASIAN INSULATORS PCL","489477","48.275","46.924","7.7","77.081","32.65823","57.56636","98.67877","59.74794",""
"AIE.BK","AI ENERGY PCL","1068113","44.329","40.1095","17.15","68.255","32.29665","50.57031","82.70251","68.64648",""
"AIMCG.BK","AIM COMMERCIAL GROWTH FL-REIT","1138445","39.321","39.7359","5.75","46.983","27.84223","63.28509","73.87033","54.49543",""
"AIMIRT.BK","AIM INDUSTRIAL GROWTH FL-REIT","6433454","42.94","44.5791","1.2","46.162","25.64103","74.16305","92.54297","42.12734",""
"AIRA.BK","AIRA Capital PCL","9228","30.922","59.8744","-7.9","89.154","36.36364","39.01892","0","17.00023",""
"AIT.BK","ADVANCED INFORMATION TECHNOLOGY PCL.","5415201","50.741","48.9758","14.45","37.349","33.58779","78.77242","99.42354","63.85277",""
"AJ.BK","A.J. PLAST PCL","378110","22.761","30.2","-11.4","40.471","29.69543","50","27.16485","43.19618",""
"AJA.BK","AJ ADVANCE TECHNOLOGY PCL","2314083","37.375","72.5427","2.3","39.253","23.13253","50","67.94416","56.45533",""
"AKP.BK","Akkhie Prakarn PCL","4391630","55.825","47.0497","42","68.121","35.73141","64.91981","96.14829","71.88222",""
"AKR.BK","Ekarat Engineering PCL","673263","52.157","67.6418","21.35","51.372","33.50254","67.49997","99.06852","57.16273",""
"ALLA.BK","Alla PCL","1727846","40.387","71.0056","11.65","41.9","37.85047","42.57131","63.40191","42.04303",""
"ALLY.BK","ALLY LEASEHOLD REIT","4097740","53.496","43.1849","19.8","41.055","30.39443","93.8018","100","52.43605",""
"ALPHAX.BK","ALPHA DIVISIONS PCL","4610617","40.749","63.0423","8.25","62.611","32.85372","50","50.29689","68.19069",""
"ALT.BK","ALT Telecom PCL","1201788","34.85","32.7345","15.5","81.284","28.13953","50","19.3173","66.97557",""
"ALUCON.BK","Alucon PCL","120308","29.618","60.8148","-2.2","32.572","37.41935","50","35.43046","43.29112",""
"AMA.BK","Ama Marine PCL","2700992","41.58","56.1077","25.95","52.207","37.35225","50","65.20631","54.23999",""
"AMANAH.BK","Amanah Leasing PCL","4071738","51.355","46.9903","55.6","54.147","35.16209","56.582375","81.54303","72.87557",""
"AMARIN.BK","Amarin Printing And Publishing PCL","40813","35.613","44.5035","-0.25","92.961","33.67609","36.34839","11.66013","39.43483",""
"AMATA.BK","AMATA CORPORATION PCL","146619228","64.243","82.6768","16.3","48.281","41.26582","100","100","61.17972",""
