[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
VNG.BK	-3.24	30.2	26.6	13.63	20.06	0	0.35
MK.BK	-2.059	41.119	31.64	14.14	20.07	0	-0.71
SSP.BK	-1.745	44.764	25.94	18.25	20.8	5	0.2
HARN.BK	-3.134	30.2	31.53	20.22	21.98	0	0.02
A.BK	-145.38	30.2	37.26	14.29	22.15	0	0.0
DHOUSE.BK	-1.963	42.226	18.96	32.52	23.08	5	-0.07
BWG.BK	-1.633	46.056	33.31	23.25	23.26	0	0.98
JCK.BK	-5.536	30.2	31.19	20.4	24.1	5	0.38
CIVIL.BK	-3.653	30.2	38.38	16.3	25.14	5	0.37
FORTH.BK	-3.103	30.2	34.5	27.93	26.14	0	0.54
AMATAV.BK	-2.911	31.235	34.41	28.15	26.5	0	0.28
STI.BK	-3.319	30.2	39.27	20.65	27.62	5	0.11
SA.BK	-2.972	30.522	32.7	31.71	27.68	5	0.05
UV.BK	-2.235	39.078	36.85	24.61	27.68	0	0.52
PROUD.BK	-1.759	44.597	38.28	22.88	28.55	5	-0.13
ALLY.BK	-1.674	45.585	34.08	32.39	29.22	5	0.18
TRUE.BK	-1.798	44.148	31.5	30.17	29.49	0	0.76
CHEWA.BK	-8.004	30.2	31.96	35.85	30.03	0	0.39
KISS.BK	-2.017	41.606	30.04	43.38	31.72	5	0.19
SABUY.BK	-2.717	33.481	40.14	40.93	32.7	5	0.53
