[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
2S.BK	1.791	85.776	49.58	51.07	45.45	0	0.31	67.04	0.993	46.455
A.BK	-145.38	30.2	37.26	14.29	22.15	0	0.0	31.82	1.0	37.5
A5.BK	-1.162	51.521	42.69	38.87	42.77	5	0.34	39.49	1.002	64.513
AAV.BK	1.663	84.286	56.91	66.28	54.83	0	1.56	58.56	1.005	75.058
ABM.BK	-0.295	61.575	56.65	60.65	53.05	5	0.88	74.5	1.041	61.584
ACC.BK	0.353	69.097	41.53	37.31	33.76	0	0.72	53.39	0.979	19.67
ACE.BK	0.366	69.241	53.82	56.17	48.43	5	0.11	65.34	1.005	64.408
ACG.BK	-0.217	62.489	37.63	48.54	37.91	5	0.36	48.41	0.995	37.5
ADB.BK	-0.395	60.417	49.5	55.61	48.54	5	-0.09	45.72	1.02	73.435
ADD.BK	0.809	74.379	47.06	58.01	48.07	5	0.08	47.45	1.008	63.614
ADVANC.BK	-0.23	62.329	51.4	41.36	40.98	0	0.62	60.43	0.995	48.149
AEONTS.BK	-0.263	61.944	55.07	49.77	48.26	0	0.85	62.59	1.003	64.71
AF.BK	0.017	65.2	45.75	39.09	38.98	0	0.35	71.7	1.027	44.444
AGE.BK	-0.982	53.613	58.34	56.28	50.08	0	0.39	77.08	1.029	74.586
AH.BK	0.226	67.623	64.45	64.22	58.07	0	0.33	71.94	1.021	71.913
AHC.BK	-1.271	50.254	43.5	47.78	39.96	0	0.36	46.5	1.004	65.292
AI.BK	1.027	76.909	53.15	60.17	46.96	0	0.21	60.68	0.997	51.786
AIE.BK	1.124	78.038	55.51	67.54	57.31	0	1.14	73.0	1.014	62.877
AIMCG.BK	1.434	81.633	65.5	67.1	59.95	5	0.38	79.68	1.024	71.845
AIMIRT.BK	-0.777	55.99	50.91	33.48	35.89	5	0.08	43.07	0.997	63.154
AJ.BK	0.268	68.112	52.87	72.9	56.99	0	1.02	75.03	1.04	36.471
AJA.BK	3.201	99.8	44.89	46.06	45.69	5	1.03	45.59	1.0	33.824
AKP.BK	-0.46	59.668	46.03	34.98	44.05	0	1.04	48.38	1.018	67.045
AKR.BK	0.17	66.97	59.37	72.06	56.19	0	0.38	82.68	1.018	62.638
ALLA.BK	-1.396	48.808	34.84	39.12	35.97	0	0.46	49.87	0.986	35.968
ALLY.BK	-1.674	45.585	34.08	32.39	29.22	5	0.18	30.11	0.987	48.56
ALPHAX.BK	8.042	99.8	47.03	46.93	39.59	5	0.6	64.61	0.988	36.012
ALT.BK	0.434	70.038	39.62	49.67	42.2	0	-0.13	49.75	0.985	38.919
ALUCON.BK	2.1	89.356	41.81	53.25	40.55	0	0.04	42.03	0.995	37.146
AMA.BK	1.708	84.817	58.05	62.83	51.72	0	0.22	61.13	1.004	65.148
AMANAH.BK	0.26	68.015	52.73	45.16	48.66	0	0.8	69.13	1.011	45.154
AMARIN.BK	-1.296	49.972	51.83	50.23	46.37	0	0.01	51.83	0.993	67.854
AMATA.BK	0.744	73.629	65.87	64.25	56.57	0	1.33	72.37	1.019	81.21
AMATAR.BK	0.719	73.335	42.95	36.28	33.74	5	0.22	47.09	0.996	35.434
AMATAV.BK	-2.911	31.235	34.41	28.15	26.5	0	0.28	43.2	0.984	32.36
AMC.BK	0.658	72.636	41.2	55.21	48.21	0	-0.05	54.11	1.009	37.5
AMR.BK	-0.664	57.297	40.05	55.03	41.15	5	-0.11	57.57	1.006	50.0
ANAN.BK	-0.171	63.013	42.65	68.49	49.2	0	0.06	62.5	0.996	24.28
AOT.BK	1.707	84.804	63.47	78.91	65.54	0	1.41	73.66	1.06	58.616
AP.BK	1.023	76.866	52.96	45.55	42.77	0	1.05	61.73	0.993	47.224
APCO.BK	0.567	71.571	37.0	33.8	31.92	0	0.3	30.65	0.997	65.252
APCS.BK	0.054	65.622	40.29	35.01	34.25	0	-0.81	39.47	0.979	44.145
APP.BK	1.206	78.985	54.33	57.78	55.65	5	0.64	63.29	1.0	50.0
APURE.BK	-0.323	61.252	34.6	39.39	33.86	0	0.04	34.0	1.001	33.721
AQUA.BK	0.489	70.675	30.62	33.93	28.31	0	0.93	24.04	0.909	33.333
ARIN.BK	1.154	78.386	37.9	71.81	50.28	5	0.15	63.45	0.979	3.375
ARIP.BK	1.154	78.383	62.21	67.04	59.13	0	0.59	82.28	1.038	71.799
ARROW.BK	0.791	74.179	59.7	53.56	46.57	0	-0.02	65.98	1.001	64.004
AS.BK	5.251	99.8	81.75	87.21	75.38	0	1.54	81.29	1.114	98.75
ASAP.BK	-0.073	64.156	33.16	49.68	41.98	5	0.03	34.29	0.991	42.519
ASEFA.BK	0.524	71.075	45.2	62.1	56.6	0	0.02	69.92	1.012	33.19
ASIAN.BK	0.459	70.329	64.98	76.18	62.77	0	0.51	77.05	1.021	74.876
ASIMAR.BK	0.056	65.644	39.94	38.29	34.59	0	0.28	60.29	0.998	35.634
ASK.BK	1.229	79.255	69.25	78.86	64.58	0	0.56	80.2	1.03	72.189
ASN.BK	1.612	83.697	46.61	45.58	46.81	0	-0.22	48.22	0.976	62.515
ASP.BK	4.819	99.8	63.91	86.25	69.54	0	0.51	71.13	1.013	58.299
ASW.BK	-1.688	45.425	43.44	52.78	38.8	5	-0.06	33.34	0.999	62.023
ATP30.BK	-0.223	62.417	52.61	39.3	41.95	0	0.35	68.51	1.006	66.844
AU.BK	-0.112	63.699	43.58	55.53	43.5	0	0.95	54.05	0.977	47.037
AUCT.BK	1.444	81.754	50.76	43.2	42.22	0	0.55	61.11	1.012	51.953
AWC.BK	1.644	84.075	56.81	62.86	52.05	5	1.55	65.41	1.005	45.3
AYUD.BK	0.567	71.575	37.43	42.14	36.85	0	0.11	44.19	0.992	33.639
B.BK	0.0	65.0	41.84	49.56	38.05	5	1.3	37.56	0.857	12.75
B-WORK.BK	-1.178	51.33	38.44	41.16	34.54	5	0.14	43.5	0.996	51.44
B52.BK	-0.727	56.567	49.44	37.68	40.0	5	-0.02	37.8	0.976	81.908
BA.BK	1.511	82.533	65.33	72.04	60.45	0	1.4	66.63	1.023	72.952
BAFS.BK	1.229	79.259	65.24	65.53	60.38	0	0.73	75.01	1.04	74.635
BAM.BK	4.42	99.8	67.38	62.55	60.25	5	0.83	73.73	1.028	77.906
BANPU.BK	0.419	69.859	64.49	74.93	64.64	0	1.0	75.68	1.031	71.825
BAY.BK	0.828	74.61	62.91	75.97	61.84	0	0.21	77.4	1.016	63.323
BBGI.BK	-0.081	64.062	45.24	37.86	34.6	5	0.4	55.38	0.988	46.299
BBL.BK	0.421	69.886	65.71	85.96	70.93	0	0.32	84.62	1.023	64.859
BC.BK	0.636	72.372	40.81	27.86	35.22	0	-0.14	32.6	1.0	48.641
BCH.BK	0.017	65.194	59.84	66.53	54.05	0	1.15	77.09	1.028	68.478
BCP.BK	-0.423	60.089	57.96	69.57	62.61	0	1.42	73.43	1.015	70.779
BCPG.BK	0.109	66.27	53.66	80.99	65.42	0	1.27	58.75	1.012	68.724
BDMS.BK	-0.595	58.1	57.36	64.76	52.76	0	0.55	66.74	1.012	65.724
BE8.BK	0.118	66.367	60.99	70.12	61.12	5	1.53	65.02	1.019	64.32
BEAUTY.BK	-0.145	63.316	34.38	44.76	43.72	0	0.69	45.82	0.978	24.856
BEC.BK	-0.635	57.631	54.1	50.57	50.03	5	0.15	66.35	1.007	71.617
BEM.BK	-0.462	59.636	49.08	48.15	45.79	0	0.89	61.95	0.994	51.168
BEYOND.BK	0.071	65.824	57.09	60.7	51.18	5	0.69	75.66	1.019	70.297
BGC.BK	-2.242	38.991	51.14	40.83	38.82	5	0.15	66.78	1.001	49.21
BGRIM.BK	1.163	78.495	66.93	69.69	58.95	5	1.74	72.76	1.037	80.872
BGT.BK	-1.204	51.029	37.02	25.71	27.96	0	-0.1	44.25	1.005	64.516
BH.BK	0.242	67.804	66.82	83.23	66.5	0	0.85	82.62	1.04	77.889
BIG.BK	0.221	67.564	35.79	51.15	38.82	0	0.39	41.89	0.979	14.284
