[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
AAV.BK	0	0	42.62	77.037	50.185	0
ADVANC.BK	0	0	77.348	54.044	87.033	0
AMATA.BK	0	0	62.252	72.609	62.774	0
ANAN.BK	0	0	30.908	41.569	37.08	0
AOT.BK	0	0	48.148	67.002	60.748	0
AP.BK	0	0	49.55	73.17	54.908	0
BA.BK	0	0	71.092	80.741	74.407	0
BANPU.BK	0	0	41.852	47.177	50.763	0
BBL.BK	0	0	65.749	72.19	71.392	0
BCH.BK	0	0	64.113	81.481	76.679	0
BCP.BK	0	0	37.08	58.395	46.589	0
BCPG.BK	0	0	42.491	58.571	46.581	0
BDMS.BK	0	0	48.511	80	62.599	0
BEAUTY.BK	0	0	58.287	50.755	63.268	0
BEC.BK	0	0	44.108	51.699	47.187	0
BEM.BK	0	0	62.64	70.47	65.026	0
BH.BK	0	0	65.219	67.393	72.714	0
BIG.BK	0	0	43.033	58.114	49.569	0
BJC.BK	0	0	57.759	50.799	60.871	0
BLAND.BK	0	0	52.875	62.195	61.391	0
BPP.BK	0	0	45.539	51.567	49.868	0
BTS.BK	0	0	59.409	82.222	69.014	0
CBG.BK	0	0	31.584	47.407	38.019	0
CENTEL.BK	0	0	41.177	80.206	50.616	0
CHG.BK	0	0	41.16	52.586	46.622	0
CK.BK	0	0	56.975	48.794	58.804	0
CKP.BK	0	0	44.448	57.814	49.556	0
COM7.BK	0	0	0	0	0	0
CPALL.BK	0	0	55.168	83.894	68.869	0
CPF.BK	0	0	46.379	58.64	53.881	0
CPN.BK	0	0	58.411	81.122	63.955	0
DTAC.BK	0	0	62.584	65.68	68.108	0
EA.BK	0	0	52.581	56.519	53.97	0
EGCO.BK	0	0	44.413	55.497	56.297	0
EPG.BK	0	0	59.999	53.845	59.609	0
ESSO.BK	0	0	35.472	82.222	48.419	0
GFPT.BK	0	0	45.073	52.234	49.562	0
GGC.BK	0	0	51.181	48.72	54.101	0
GLOBAL.BK	0	0	37.807	50.281	44.903	0
GPSC.BK	0	0	51.58	51.466	55.801	0
GUNKUL.BK	0	0	64.873	77.737	65.264	0
HANA.BK	0	0	54.349	54.959	55.228	0
HMPRO.BK	0	0	70.995	70.325	89.361	0
INTUCH.BK	0	0	65.681	59.206	76.112	0
IRPC.BK	0	0	54.515	53.119	65.158	0
ITD.BK	0	0	44.71	46.462	47.248	0
IVL.BK	0	0	67.657	67.673	78.677	0
JMART.BK	0	0	45.64	44.238	47.797	0
JWD.BK	0	0	51.966	73.837	54.98	0
KBANK.BK	0	0	43.611	78.519	51.073	0
KCE.BK	0	0	70.917	70.078	69.49	0
KKP.BK	0	0	53.116	47.819	56.807	0
KTB.BK	0	0	33.269	75.095	44.483	0
KTC.BK	0	0	59.262	84.444	72.585	0
LH.BK	0	0	32.092	78.519	45.598	0
LPN.BK	0	0	38.29	44.444	42.393	0
MAJOR.BK	0	0	35.45	46.329	35.031	0
MALEE.BK	0	0	52.779	43.819	53.277	0
MC.BK	0	0	27.481	51.411	28.047	0
MEGA.BK	0	0	39.38	78.333	48.052	0
MINT.BK	0	0	48.517	44.444	51.69	0
MONO.BK	0	0	53.778	42.963	55.834	0
MTLS.BK	0	0	65.912	59.54	66.904	0
ORI.BK	0	0	54.3	54.41	55.151	0
PSH.BK	0	0	48.75	48.157	53.26	0
PSL.BK	0	0	53.335	49.764	60.766	0
PTG.BK	0	0	51.819	59.164	53.587	0
PTL.BK	0	0	66.626	58.048	76.925	0
PTT.BK	0	0	64.295	58.807	74.765	0
PTTEP.BK	0	0	73.908	83.704	86.061	0
PTTGC.BK	0	0	68.383	68.797	79.462	0
QH.BK	0	0	54.855	61.131	59.23	0
ROBINS.BK	0	0	55.619	45.926	57.515	0
SAWAD.BK	0	0	56.71	53.223	60.16	0
SCB.BK	0	0	47.822	78.519	55.347	0
SCC.BK	0	0	57.871	68.066	66.265	0
SGP.BK	0	0	39.404	48.889	47.449	0
SIRI.BK	0	0	55.882	42.963	55.68	0
SPALI.BK	0	0	60.747	77.739	64.131	0
SPRC.BK	0	0	41.293	77.71	51.998	0
STA.BK	0	0	63.858	62.75	76.599	0
STEC.BK	0	0	41.285	44.664	44.58	0
SUPER.BK	0	0	71.697	78.519	83.286	0
SVI.BK	0	0	50.066	65.838	59.344	0
SYNEX.BK	0	0	45.124	50.913	47.882	0
TASCO.BK	0	0	62.603	45.497	61.213	0
TCAP.BK	0	0	46.567	58.46	52.346	0
THAI.BK	0	0	42.102	59.419	47.94	0
THCOM.BK	0	0	46.839	51.63	50.882	0
TISCO.BK	0	0	55.629	81.481	68.99	0
TKN.BK	0	0	40.057	59.304	44.908	0
TMB.BK	0	0	58.201	76.584	61.991	0
TOP.BK	0	0	43.33	81.481	54.007	0
TPIPL.BK	0	0	66.415	44.879	64.285	0
TPIPP.BK	0	0	59.559	50.742	59.063	0
TRUE.BK	0	0	78.97	72.072	100.733	0
TTA.BK	0	0	53.341	44.561	55.574	0
TTCL.BK	0	0	49.353	56.545	51.501	0
TU.BK	0	0	36.068	76.994	46.617	0
TVO.BK	0	0	41.642	48.732	53.259	0
UNIQ.BK	0	0	41.039	45.185	44.437	0
UV.BK	0	0	43.528	44.444	46.224	0
WHA.BK	0	0	67.283	77.778	69.437	0
WHAUP.BK	0	0	55.158	47.063	55.343	0
WORK.BK	0	0	50.062	44.444	51.196	0
