"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"600025.SS","Huaneng Lancang River Hydropower Inc","357208644","6.75","71.878","99.8","61.768","54.06583","82.571815","100","59.39397","71.878","11.43","11.87","3.85",""
"600686.SS","Xiamen King Long Motor Group Co., Ltd","402498318","-45","71.127","98.3836","68.205","46.79139","100","98.59528","65.4957","71.127","15.46","17.81","15.2",""
"601985.SS","China National Nuclear Power Co., Ltd","83459318","-7.75","70.855","97.9173","61.924","52.72259","76.291095","100","56.37791","70.855","10.85","11.05","1.84",""
"601298.SS","Qingdao Port International Co., Ltd","168330602","24","68.95","90.9971","60.096","55.75621","66.008835","91.61499","63.74832","68.95","8.9","9.34","4.94",""
"601939.SS","China Construction Bank Corporation","389168123","-15.55","68.458","88.5015","62.615","54.25687","89.90813","100","59.87833","68.458","7.51","7.88","4.93",""
"601898.SS","China Coal Energy Company Limited","311048638","71.55","67.94","89.9329","64.652","49.2354","31.02816","29.47748","60.00091","67.94","12.37","13.53","9.38",""
"601088.SS","China Shenhua Energy Company Limited","633535993","43.05","66.634","85.6444","63.064","51.19327","19.58253","9.05336","50.84803","66.634","38.82","40.53","4.4",""
"600012.SS","Anhui Expressway Co Ltd","1840434711","17.35","66.492","88.0484","58.084","53.34231","95.168425","86.65807","55.99569","66.492","14.8","15.05","1.69",""
"600000.SS","Shanghai Pudong Development Bank Co., Ltd","189994349","13.25","66.194","91.1182","59.53","47.93467","59.526835","97.18564","60.00033","66.194","8.51","8.85","4",""
"600350.SS","Shandong Hi-speed Company Limited","131729131","-0.7","65.92","87.1226","57.51","53.12645","68.68813","58.16343","59.42002","65.92","8.77","9.3","6.04",""
"603358.SS","Huada Automotive Technology Corp.,Ltd","24092434","100","63.509","85.2864","60.644","44.59662","63.72978","62.7329","59.7892","63.509","29.27","29.4","0.44",""
"601001.SS","Datong Coal Industry Co Ltd","33391423","100","63.012","79.634","64.447","44.95422","3.93271","0","53.87946","63.012","14.75","15.35","4.07",""
"601225.SS","Shaanxi Coal Industry Company Limited","24391300","51.65","62.931","78.3776","59.017","51.39817","6.11383","2.54235","48.95823","62.931","22.41","24.25","8.21",""
"600685.SS","CSSC Offshore & Marine Engineering (Group) Company Limited","343317014","74.9","62.882","72.6579","66.358","49.63029","71.999455","82.46853","57.78866","62.882","26.7","26.94","0.9",""
"600368.SS","Guangxi Wuzhou Communications Co Ltd","20150094","58.45","62.746","81.9536","56.373","49.9124","50","64.82497","56.68291","62.746","3.89","3.73","-4.11",""
"601169.SS","Bank of Beijing Co., Ltd","105295944","19.95","62.716","80.5998","56.16","51.38728","0","5.68401","48.65214","62.716","5.37","5.53","2.98",""
"600789.SS","Shandong Lukang Pharmaceutical Co.,Ltd","245288786","18.5","62.304","73.1944","66.866","46.85078","50","28.06953","50.44459","62.304","7.67","7.6","-0.91",""
"600926.SS","Bank of Hangzhou Co., Ltd","124711217","15.45","62.031","79.1174","61.903","45.07399","41.93736","26.30923","62.39875","62.031","12.9","13.25","2.71",""
"600018.SS","Shanghai International Port (Group) Co., Ltd","108565605","28.5","61.899","81.4966","56.372","47.82876","100","100","60.31212","61.899","6.02","6.27","4.15",""
"600177.SS","Youngor Group Co.,Ltd","75054673","37.95","61.861","75.8016","60.901","48.88097","42.22478","7.93619","58.66704","61.861","7.36","7.6","3.26",""
"601899.SS","Zijin Mining Group Company Limited","62395570","98.55","61.794","80.0915","54.446","50.84385","20.649285","19.01891","51.00491","61.794","15.3","15.87","3.73",""
"603662.SS","Keli Sensing Technology (Ningbo) Co.,Ltd","182528599","100","61.481","73.4261","64.505","46.51126","17.995435","6.06674","56.57879","61.481","22.8","25.68","12.63",""
"600993.SS","Mayinglong Pharmaceutical Group Co., LTD","106642188","71.1","61.306","73.635","62.65","47.63375","31.92728","6.16074","60.36593","61.306","27.3","26.92","-1.39",""
"601168.SS","Western Mining Co.,Ltd","534972433","100","61.27","75.6058","56.506","51.69908","18.835395","0.9251","49.55794","61.27","15.25","15.78","3.48",""
"600621.SS","Shanghai Chinafortune Co., Ltd","401392895","96","61.267","72.1785","63.97","47.65355","29.9455","24.54878","56.48164","61.267","12.99","13.1","0.85",""
"603920.SS","Olympic Circuit Technology Co., Ltd","192201393","100","61.219","73.6971","62.313","47.64699","92.133545","83.58123","57.73783","61.219","18.74","19.48","3.95",""
"600006.SS","DongFeng Automobile Co. LTD","60649982","93.8","61.186","73.0204","64.055","46.48156","70.61811","54.90189","49.05353","61.186","6.81","6.67","-2.06",""
"601919.SS","COSCO SHIPPING Holdings Co., Ltd","29278704","71.6","60.696","74.5557","56.876","50.65578","43.372035","6.68086","60.00701","60.696","12.3","12.67","3.01",""
"600362.SS","Jiangxi Copper Company Limited","48222352","98.35","60.663","69.7394","63.424","48.82455","6.182795","0","50.77369","60.663","20.17","20.48","1.54",""
"600511.SS","China National Medicines Corporation Ltd","1093446598","49.95","60.643","73.0262","59.151","49.75303","50","25.26161","53.21242","60.643","33.64","33.82","0.54",""
"601038.SS","First Tractor Company Limited","31536195","100","60.497","73.7757","59.754","47.96239","7.317965","0","47.1073","60.497","14.53","14.3","-1.58",""
"600183.SS","Shengyi Technology Co Ltd","3098216","55.05","60.387","74.2661","59.751","47.14477","51.971735","52.48219","55.40095","60.387","18.5","18.45","-0.27",""
"600999.SS","China Merchants Securities Co., Ltd","64022982","31.8","60.192","76.8961","57.45","46.23014","75.05698","76.65468","50.83267","60.192","14.59","15.01","2.88",""
"601838.SS","BANK OF CHENGDU CO LTD","156582480","25.8","59.809","72.7038","59.65","47.0735","28.798165","2.12785","57.87958","59.809","14.16","14.55","2.75",""
"603979.SS","JCHX Mining Management Co.,Ltd","966865414","100","59.563","75.277","51.848","51.56545","0","0","42.11244","59.563","40.01","41.33","3.3",""
"600415.SS","Zhejiang China Commodities City Group Co., Ltd","149755688","58.55","59.229","71.1767","61.444","45.06607","20.24123","0","44.22757","59.229","7.5","7.34","-2.13",""
"600864.SS","Harbin Hatou Investment Co.,Ltd","74444045","100","59.08","64.6356","67.57","45.0344","50","35.66048","53.78189","59.08","4.99","4.94","-1",""
"688169.SS","BEIJING ROBOROCK TECHNOLOGY CO","71726154","48","58.996","72.9286","54.44","49.6194","5.212145","0","42.5083","58.996","204.8","209","2.05",""
"600971.SS","Anhui Hengyuan Coal-Electricity Group Co., Ltd","182529963","100","58.926","69.1678","60.332","47.2784","0","0","50.76482","58.926","10","9.95","-0.5",""
"601601.SS","China Pacific Insurance (Group) Co., Ltd","285335117","22.8","58.919","72.6725","58.666","45.41747","50","60.48735","60.88176","58.919","27.2","27.83","2.32",""
