[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta
600326.SS	5.671	99.8	84.44	95.81	88.88	0	1.51
603992.SS	3.848	99.8	75.17	93.27	82.03	5	1.29
600967.SS	3.81	99.8	75.06	89.03	80.81	0	1.71
600117.SS	4.261	99.8	86.32	84.83	78.93	0	1.43
601699.SS	6.908	99.8	82.12	91.86	78.36	0	1.29
600596.SS	7.327	99.8	73.51	91.23	77.4	0	1.34
603267.SS	3.18	99.8	68.7	86.16	77.36	5	1.37
600619.SS	7.098	99.8	71.24	94.0	77.26	0	1.26
600460.SS	3.109	99.8	68.78	86.42	76.37	0	1.42
600435.SS	4.626	99.8	83.51	85.08	76.27	0	1.54
603669.SS	3.46	99.8	79.96	82.44	75.99	5	1.34
600141.SS	6.882	99.8	69.75	86.88	75.71	0	1.27
600330.SS	6.287	99.8	80.29	90.87	75.65	5	1.32
600621.SS	3.274	99.8	68.27	88.66	75.46	5	1.43
600641.SS	1.904	87.086	66.69	91.11	75.1	0	1.37
600129.SS	3.184	99.8	76.16	86.67	74.62	0	1.4
603027.SS	1.815	86.059	66.12	86.62	74.44	0	1.34
601208.SS	9.662	99.8	73.66	89.1	73.93	5	1.27
600183.SS	6.104	99.8	74.65	82.0	72.71	0	1.33
600933.SS	1.546	82.931	76.7	82.13	72.59	5	1.21
