"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"600000.SS","Shanghai Pudong Development Bank Co., Ltd","554945367","68.817","89.0079","35.7","53.659","46.54788","100","99.83385","56.97053",""
"600006.SS","DongFeng Automobile Co. LTD","293068879","53.141","77.1681","56.45","62.047","46.32517","55.43094","60.88487","58.2517",""
"600012.SS","Anhui Expressway Co Ltd","88334795","48.199","92.2153","43.6","57.639","52.61959","44.11182","27.19967","52.34007",""
"600018.SS","Shanghai International Port (Group) Co., Ltd","242545809","50.3","73.7862","43.9","51.297","46.99332","57.884575","61.80987","58.54602",""
"600019.SS","Baoshan Iron & Steel Co., Ltd","718623857","59.222","77.084","51.45","54.486","45.21158","73.856095","83.71777","54.89003",""
"600025.SS","Huaneng Lancang River Hydropower Inc","448825917","49.504","92.1243","27.5","49.699","51.67038","12.383345","0.75791","49.5415",""
"600031.SS","Sany Heavy Industry Co., Ltd","1439909166","68.825","76.2242","44.5","58.674","44.54343","100","100","57.83398",""
"600036.SS","China Merchants Bank Co., Ltd","3071608351","67.653","69.1971","46.55","55.213","46.99332","100","97.64615","57.97131",""
"600038.SS","AVIC HELICOPTER CO LTD","333199809","64.127","64.8622","50.8","53.106","47.8458","95.970875","83.13695","57.19624",""
"600039.SS","Sichuan Road & Bridge Co., Ltd","565251701","65.693","67.4488","59.7","60.492","47.88419","87.003715","94.04152","56.2779",""
"600058.SS","Minmetals Development Co., Ltd","95070700","68.722","62.7581","57.6","53.237","45.4343","100","99.9221","62.09971",""
"600073.SS","Shanghai Maling Aquarius Co.,Ltd","99568946","68.188","63.3444","42.5","54.529","46.10245","100","100","70.83878",""
"600081.SS","Dongfeng Electronic Technology Co Ltd","73880445","69.841","71.7692","43","60.282","48.53273","100","99.25425","66.05134",""
"600089.SS","TBEA Co., Ltd","867262956","66.871","65.8318","50.2","58","47.88419","100","89.41021","56.77195",""
"600097.SS","Shanghai Kaichuang Marine International Co., Ltd","36766540","68.769","66.4362","51.2","57.228","50.55679","100","96.08235","59.88143",""
"600098.SS","Guangzhou Development Group Incorporated","130782485","63.676","75.5043","46.15","54.053","46.54788","91.555495","88.76953","51.59591",""
"600104.SS","SAIC Motor Corporation Limited","419390051","46.666","60.6778","51.8","49.281","46.32517","57.95845","50.66337","51.99532",""
"600109.SS","Sinolink Securities Co., Ltd","651706956","72.436","74.8796","74.5","54.655","44.98886","100","98.82409","59.20588",""
"600125.SS","China Railway Tielong Container Logistics Co Ltd","131773737","58.006","74.3419","43.5","50.304","48.99777","74.63164","78.99268","60.63922",""
"600143.SS","Kingfa Sci. & Tech. Co., Ltd","230343366","65.868","62.1718","42.5","53.362","41.64811","100","100","61.39287",""
"600163.SS","Zhongmin Energy Co., Ltd","119116759","61.863","71.4718","36.2","60.565","43.42984","85.997315","84.09549","65.28175",""
"600176.SS","China Jushi Co., Ltd","378440317","67.499","61.7883","57.2","58.615","44.54343","100","91.68346","58.65973",""
"600177.SS","Youngor Group Co.,Ltd","202844043","63.203","75.9974","54.05","53.723","48.32962","84.88231","88.53778","52.01744",""
"600183.SS","Shengyi Technology Co Ltd","658256818","65.374","84.437","62.65","59.555","47.21604","81.75244","81.24911","59.00899",""
