[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
600000.SS	1.335	80.481	30.69	41.44	49.41	5	1.11	19.49	0.977	29.274
600004.SS	-0.319	61.297	47.61	64.37	52.48	0	0.95	59.92	0.991	44.926
600006.SS	-0.308	61.425	45.63	56.09	44.55	5	1.29	55.89	0.99	49.821
600008.SS	2.926	98.944	60.05	71.77	57.29	0	1.0	60.4	0.994	65.49
600012.SS	-0.709	56.777	33.84	29.78	28.97	0	0.64	23.78	0.973	54.356
600018.SS	0.579	71.712	46.9	57.21	44.52	5	0.73	53.88	0.991	45.963
600019.SS	2.763	97.046	66.78	73.81	58.42	5	0.96	69.2	1.001	68.869
600025.SS	-1.389	48.882	38.41	35.58	37.1	5	0.4	27.97	0.987	64.385
600031.SS	1.478	82.149	60.49	80.13	65.09	5	0.85	67.24	0.995	63.047
600036.SS	1.051	77.19	34.26	52.92	40.73	5	0.59	18.07	0.987	33.437
600038.SS	3.951	99.8	70.49	78.56	66.88	5	1.31	80.42	1.014	67.184
600039.SS	-0.504	59.159	35.94	39.74	42.09	5	0.4	28.2	0.971	58.363
600055.SS	-1.034	53.0	49.92	63.93	55.36	0	1.39	66.83	1.001	55.296
600058.SS	2.943	99.14	57.27	56.97	49.8	5	1.35	62.1	0.991	57.394
600060.SS	-0.92	54.333	43.86	54.92	45.64	0	0.46	36.38	0.993	47.374
600064.SS	2.926	98.937	57.92	65.76	53.98	0	1.25	61.45	0.998	56.73
600073.SS	-0.642	57.554	35.56	57.23	48.26	5	0.75	52.72	0.987	34.857
600075.SS	2.468	93.626	54.26	63.38	49.81	0	1.38	65.36	0.994	46.304
600081.SS	-0.728	56.555	35.82	56.97	47.27	0	1.32	35.81	0.983	46.109
600089.SS	5.047	99.8	64.42	79.37	62.88	5	1.08	68.66	0.99	69.532
600094.SS	1.225	79.208	57.53	62.99	53.49	0	1.63	57.83	1.0	60.664
600097.SS	1.317	80.281	57.82	47.95	55.45	5	1.46	53.0	0.998	54.775
600098.SS	1.262	79.635	47.07	43.41	45.54	5	0.97	39.19	0.99	59.062
600104.SS	1.122	78.014	54.34	68.8	55.96	5	1.36	56.51	1.004	57.567
600105.SS	1.237	79.347	52.64	70.98	63.96	0	1.23	68.74	1.009	45.108
600106.SS	0.772	73.955	46.33	68.53	51.3	0	1.3	43.27	0.986	54.167
600109.SS	6.309	99.8	68.61	74.0	65.17	5	1.36	66.53	1.008	66.194
600110.SS	3.513	99.8	50.85	58.32	52.89	0	1.4	55.92	1.024	49.244
600117.SS	4.261	99.8	86.32	84.83	78.93	0	1.43	81.26	1.116	100.0
600119.SS	0.288	68.342	37.3	44.61	40.6	0	1.75	47.01	0.988	40.617
600121.SS	1.246	79.454	60.35	75.7	64.55	0	1.33	56.63	0.979	57.262
600125.SS	0.772	73.958	48.12	63.67	53.0	0	1.43	59.62	0.988	51.296
600129.SS	3.184	99.8	76.16	86.67	74.62	0	1.4	91.11	1.048	75.643
600131.SS	0.425	69.927	52.28	58.24	52.04	0	1.4	60.9	0.995	55.237
600132.SS	-0.039	64.544	42.75	70.52	53.23	0	0.78	68.55	0.999	42.993
600141.SS	6.882	99.8	69.75	86.88	75.71	0	1.27	71.36	1.016	63.883
600143.SS	7.561	99.8	68.78	88.06	70.04	5	1.24	77.92	1.047	55.728
600148.SS	0.384	69.452	54.19	58.05	55.16	0	1.33	52.58	1.025	38.195
600153.SS	0.921	75.683	50.56	58.1	53.9	0	0.89	38.66	0.994	62.924
600159.SS	2.181	90.297	59.04	63.86	62.35	0	1.48	61.97	1.006	55.029
600161.SS	1.58	83.326	54.64	75.22	62.29	0	-0.63	64.69	0.998	61.535
600163.SS	0.163	66.895	42.28	39.34	39.06	5	1.31	40.61	0.986	50.886
600170.SS	2.568	94.793	60.81	75.73	61.89	0	1.22	70.05	1.002	66.223
600176.SS	2.75	96.902	47.9	70.68	56.33	5	0.81	58.71	0.988	40.066
600177.SS	1.286	79.917	45.82	61.74	49.89	5	0.9	54.31	0.993	46.604
600183.SS	6.104	99.8	74.65	82.0	72.71	0	1.33	75.96	1.064	70.06
600188.SS	1.348	80.638	53.91	67.05	55.07	5	1.26	59.79	0.976	59.051
600196.SS	5.025	99.8	56.62	73.75	62.15	5	1.19	78.96	1.021	36.142
600197.SS	1.024	76.875	53.55	65.08	52.19	5	1.35	59.25	0.991	63.298
600198.SS	-0.069	64.201	62.25	59.63	53.8	5	1.45	72.29	1.006	65.482
600212.SS	4.002	99.8	72.45	80.54	70.44	0	1.24	69.28	1.027	74.384
600215.SS	-1.04	52.935	44.06	43.41	40.53	0	0.06	53.35	0.996	42.95
600217.SS	0.007	65.086	53.71	44.81	46.64	5	1.35	54.96	0.998	59.899
600219.SS	2.808	97.576	50.03	63.95	49.3	0	1.22	61.79	0.987	44.987
600231.SS	2.47	93.648	65.61	66.4	59.94	0	1.33	66.31	0.999	69.501
600239.SS	1.843	86.375	58.16	71.83	56.09	0	1.15	69.11	1.005	61.191
600251.SS	2.479	93.758	54.17	57.77	53.22	0	0.69	59.65	0.992	46.367
600252.SS	0.742	73.602	65.23	75.13	64.86	0	1.37	72.63	1.009	69.129
600258.SS	-0.633	57.656	43.06	56.19	45.17	0	0.8	45.83	0.99	52.369
600259.SS	3.503	99.8	48.95	80.33	68.23	0	1.15	70.71	1.013	26.991
600266.SS	2.949	99.209	59.11	68.94	60.06	0	1.34	66.76	1.009	47.108
600276.SS	2.58	94.925	74.19	88.01	75.92	5	0.59	85.01	1.081	61.009
600280.SS	0.373	69.327	39.67	29.17	31.59	0	1.65	30.21	0.988	43.944
600282.SS	1.742	85.207	63.46	65.2	56.79	0	0.97	65.38	0.998	71.102
600284.SS	0.092	66.073	58.77	68.15	61.43	0	1.45	72.98	1.004	61.703
600287.SS	1.38	81.009	47.24	42.73	49.07	5	0.6	34.66	1.006	64.295
600295.SS	1.625	83.854	71.41	79.27	69.88	0	1.22	72.06	1.01	72.923
600298.SS	-1.844	43.615	38.86	54.76	45.71	5	0.75	47.15	0.987	62.151
600309.SS	4.239	99.8	49.75	74.75	55.57	0	1.3	67.34	0.992	34.314
600326.SS	5.671	99.8	84.44	95.81	88.88	0	1.51	84.65	1.193	100.0
600329.SS	3.69	99.8	67.98	69.25	65.49	5	0.85	66.84	1.008	68.703
600330.SS	6.287	99.8	80.29	90.87	75.65	5	1.32	90.37	1.056	76.443
600331.SS	6.614	99.8	63.98	90.38	75.52	0	1.17	76.48	1.022	52.131
600335.SS	0.507	70.878	54.61	61.04	48.85	0	1.25	58.56	0.992	56.236
600336.SS	-0.501	59.186	49.88	52.83	47.84	5	1.35	54.27	0.994	48.563
600337.SS	-0.686	57.047	26.68	31.72	31.46	0	1.64	17.54	0.959	28.086
600338.SS	1.832	86.256	61.53	66.69	57.05	0	1.36	65.31	0.984	56.909
600339.SS	1.346	80.616	54.77	59.53	52.56	0	1.34	68.46	0.998	46.628
600345.SS	0.931	75.8	60.69	56.12	57.36	0	1.29	56.13	1.024	70.515
600346.SS	1.353	80.699	47.04	62.17	52.88	0	0.63	67.5	0.989	40.708
600348.SS	2.519	94.223	58.54	72.86	59.27	5	1.36	63.25	0.982	65.712
600350.SS	-1.224	50.804	32.1	38.23	35.75	5	0.09	32.67	0.991	63.406
600352.SS	2.921	98.879	59.32	74.35	65.63	5	0.97	70.57	1.002	57.183
600353.SS	1.733	85.098	53.22	57.78	57.58	0	1.01	42.29	1.006	68.454
600354.SS	0.75	73.706	45.15	49.08	48.06	0	-0.82	46.51	0.986	40.536
600362.SS	3.32	99.8	51.52	71.29	55.35	5	1.36	61.25	0.987	44.344
600366.SS	2.59	95.044	54.45	67.02	62.36	0	1.43	68.27	1.019	38.758
600367.SS	1.224	79.193	49.62	36.22	42.33	0	1.27	62.38	0.992	44.448
600368.SS	0.912	75.585	40.96	57.71	44.37	0	0.83	46.15	0.988	47.572
600373.SS	-0.051	64.406	39.19	45.88	39.16	0	1.1	41.77	0.996	49.902
600378.SS	1.659	84.24	47.26	53.64	44.13	5	1.21	47.44	0.988	51.072
600382.SS	1.53	82.752	47.38	55.82	55.87	5	1.31	42.69	0.991	62.744
600392.SS	12.907	99.8	71.27	92.09	81.26	0	1.19	77.37	1.101	55.824
600398.SS	-0.419	60.143	36.32	54.07	42.45	0	1.23	27.5	0.984	46.104
600400.SS	0.039	65.449	46.36	43.58	38.5	0	1.35	46.04	0.992	42.753
600406.SS	0.369	69.277	49.39	45.14	37.8	5	0.52	46.96	0.981	55.68
600408.SS	2.101	89.368	46.61	63.81	54.58	5	1.43	56.43	0.974	35.034
600409.SS	6.459	99.8	68.69	85.38	69.48	0	1.36	75.09	1.015	69.884
600415.SS	1.882	86.834	59.62	69.8	69.4	5	1.48	77.8	1.047	51.424
600419.SS	1.017	76.793	41.32	72.73	64.44	5	0.97	63.75	0.994	16.715
600426.SS	4.01	99.8	61.37	81.25	70.13	5	0.99	71.44	1.004	60.88
600435.SS	4.626	99.8	83.51	85.08	76.27	0	1.54	93.1	1.105	92.226
600436.SS	-0.114	63.683	51.26	63.07	49.98	5	0.31	69.72	0.999	63.564
600438.SS	3.3	99.8	66.95	78.43	63.72	0	1.4	63.05	1.001	73.424
600439.SS	-0.766	56.116	30.32	46.34	40.19	0	1.48	5.76	0.921	37.103
600446.SS	3.079	99.8	75.93	72.73	69.36	0	1.38	79.43	1.081	82.388
600449.SS	1.24	79.381	54.67	54.65	46.24	0	1.3	53.97	0.98	55.474
600456.SS	3.192	99.8	65.66	67.75	60.87	0	1.43	72.55	1.006	62.353
600458.SS	3.061	99.8	47.95	37.62	38.25	5	1.32	33.31	0.989	65.763
600459.SS	3.724	99.8	47.47	63.94	53.2	0	1.27	57.46	0.981	40.094
600460.SS	3.109	99.8	68.78	86.42	76.37	0	1.42	78.52	1.019	59.013
600469.SS	2.084	89.171	55.89	75.02	55.13	5	1.25	66.34	0.994	54.493
600477.SS	2.058	88.873	49.99	62.61	47.79	0	1.37	53.95	0.983	52.271
600479.SS	2.748	96.881	70.77	91.17	75.2	0	1.1	77.41	1.014	59.02
600486.SS	4.659	99.8	72.5	88.16	79.5	5	1.06	84.75	1.067	75.209
600498.SS	2.562	94.718	69.04	86.1	71.59	0	1.31	73.12	1.019	70.22
600499.SS	1.85	86.461	55.24	73.89	64.21	0	1.2	62.59	0.993	53.419
600507.SS	8.047	99.8	70.26	82.79	66.08	0	1.24	71.04	1.006	74.409
600508.SS	2.597	95.121	57.09	74.41	59.67	0	1.39	61.52	0.987	64.297
600509.SS	0.596	71.912	46.71	63.54	51.05	0	1.21	44.89	0.988	52.428
600511.SS	0.782	74.074	50.56	55.24	49.47	5	0.68	60.29	0.995	50.732
600519.SS	-1.198	51.101	39.49	64.76	55.16	5	0.64	53.59	0.985	43.293
600522.SS	2.111	89.493	55.1	68.16	54.15	5	1.33	47.99	0.996	58.012
600525.SS	-1.759	44.591	26.57	37.79	30.01	0	1.25	16.01	0.979	36.026
600530.SS	0.399	69.628	40.56	44.21	49.7	0	1.32	46.64	0.982	22.681
600531.SS	3.113	99.8	53.73	63.59	58.12	5	1.29	56.86	0.983	55.71
