[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
40B.SI	0	0	52.124	19.728	72.47026172548	0
40N.SI	0	0	59.855	52.571	79.5698116668	0
40U.SI	0	0	0	0	0	0
41B.SI	0	0	48.349	35.543	55.277	0
41O.SI	0	0	37.286	67.128	65.54235997094	0
42L.SI	0	0	67.77	31.75	84.75552209148	0
500.SI	0	0	53.595	56.321	75.21907323738	0
510.SI	0	0	58.202	59.226	78.76018994924	0
544.SI	0	0	51.535	59.787	66.21	0
545.SI	0	0	46.811	63.572	71.0984925829	0
547.SI	0	0	0	0	0	0
558.SI	0	0	45.631	72.671	56.033	0
561.SI	0	0	35.904	29.269	49.495	0
566.SI	0	0	45.656	61.445	60.034	0
569.SI	0	0	49.245	40.215	66.216	0
570.SI	0	0	42.299	21.247	38.071	0
573.SI	0	0	66.281	53.271	84.54923364934	0
574.SI	0	0	39.65	37.124	64.77777183448	0
593.SI	0	0	38.779	36.205	57.779	0
5CF.SI	0	0	43.159	35.171	56.396	0
5DD.SI	0	0	35.192	43.098	47.194	0
5DL.SI	0	0	29.45426446022	30.01877795989	44.46365344016	0
5DP.SI	0	0	51.437	43.78	72.92644873432	0
5EN.SI	0	0	0	0	0	0
5EW.SI	0	0	64.242	38.095	92.10127673518	0
5F4.SI	0	0	48.753	46.899	71.23771098997	0
5FL.SI	0	0	50.981	76.178	59.886	0
5HC.SI	0	0	64.118	30.55	91.169	0
5IC.SI	0	0	51.082	47.815	72.90497516802	0
5JS.SI	0	0	33.61	68.863	35.112	0
5MD.SI	0	0	23.55807081819	7.324974211891	27.22055792414	0
5MZ.SI	0	0	52.194	41.182	73.32700578341	0
5OR.SI	0	0	51.101	57.481	73.54371545883	0
5RE.SI	0	0	43.087	29.698	43.99848835312	0
5SR.SI	0	0	35.034	51.012	62.9410941195	0
5SY.SI	0	0	44.471	32.106	52.477	0
5TR.SI	0	0	40.191	51.221	41.738	0
5TT.SI	0	0	32.446	54.106	49.047	0
5UF.SI	0	0	59.082	65.524	68.325	0
5UO.SI	0	0	52.048	43.53	73.3452914985	0
5VS.SI	0	0	71.608	49.906	88.61072429023	0
5WG.SI	0	0	40.158	40.13	65.25030639775	0
A05.SI	0	0	35.341	25.67	61.71135780389	0
A68U.SI	0	0	36.167	41.582	49.286	0
ACV.SI	0	0	37.436	43.704	50.219	0
ACW.SI	0	0	35.591	54.617	63.5231515513	0
ADQU.SI	0	0	55.137	58.142	63.411	0
AGS.SI	0	0	59.178	55.646	67.699	0
AU8U.SI	0	0	45.901	45.926	55.984	0
AW9U.SI	0	0	38.636	43.58	52.082	0
AWC.SI	0	0	54.003	36.917	74.42433640289	0
AWI.SI	0	0	45.661	33.625	53.348	0
AWV.SI	0	0	69.491	45.374	86.68501064106	0
AWZ.SI	0	0	34.07	24.259	51.186	0
