"Symbol","Company Name","ADTValue","Weighted LT Score","Wtd Sortino","Beta","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","LW Wtd Sortino","LW Wtd BV","LW Wtd PriceUp","LW WeightedScore","Price last week","Price this week","Price move %"
"TECK-A.TO","Teck Resources Limited","6227087","79.114","99.8","32.75","87.45","50.0905","60.45975","100","75.80156","99.8","87.858","50.79413","79.484","106.79","97.55","-8.65",""
"HPS-A.TO","Hammond Power Solutions Inc","130753702","77.713","99.8","59.8","76.743","56.59495","75.15181","100","76.47579","99.8","75.981","55.50159","77.094","39.74","44.9","12.98",""
"CGG.TO","China Gold International Resources Corp. Ltd","43359133","74.059","99.8","89.85","69.977","52.39993","100","100","66.88737","95.9705","69.5","52.19819","72.556","7.16","7.61","6.28",""
"UNS.TO","UNI SELECT INC","646684","72.832","99.8","92.8","64.831","53.86647","58.19906","100","58.07408","99.8","64.747","54.16211","72.903","46.5","46.55","0.11",""
"CXI.TO","Currency Exchange International, Corp","12792964","72.499","91.5154","-3.1","81.644","44.33775","50","66.31095","58.99831","95.5586","82.755","44.96256","74.425","25.01","24.07","-3.76",""
"TXG.TO","TOREX GOLD RESOURCES INC","87315","71.177","99.5004","100","65.158","48.87115","100","100","62.88662","94.6562","64.466","48.12614","69.083","22.58","24.49","8.46",""
"AGI.TO","Alamos Gold Inc","61430","70.68","99.8","50","59.28","52.95886","100","100","66.70341","99.8","58.641","52.76866","70.403","17.9","18.47","3.18",""
"OR.TO","OSISKO GOLD ROYALTIES ORD","142169875","70.357","99.2496","50","62.991","48.82976","100","100","70.0705","94.223","61.938","48.56861","68.243","22.35","23.43","4.83",""
"CMG.TO","Computer Modelling Group Ltd","8057","69.377","89.2121","100","69.38","49.53831","50","96.84377","68.068","86.4702","68.356","48.80808","67.878","7.04","7.48","6.25",""
"FFH.TO","Fairfax Financial Holdings Limited","1648447","69.127","96.8042","1.3","58.313","52.26312","50","87.71292","53.74705","98.4752","58.425","52.51638","69.806","949.98","929.42","-2.16",""
