"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"AAV.TO","ADVANTAGE OIL & GAS LTD.","6227087","52.645","82.0275","73.45","52.94","51.11111","17.798965","0","44.58666",""
"ABX.TO","Barrick Gold Corporation","130753702","66.722","69.5858","50","52.706","45.33333","100","100","49.42811",""
"AC.TO","AIR CANADA","43359133","45.737","61.2361","100","46.55","48.44444","44.703555","1.93283","51.4002",""
"ACB.TO","AURORA CANNABIS INC","646684","51.121","37.4921","100","44.194","41.55556","3.18607","0","40.97444",""
"ACO-X.TO","ATCO Ltd","12792964","65.865","66.7072","50","48.592","51.33333","100","93.02081","51.40062",""
"ADN.TO","Acadian Timber Corp","87315","38.869","61.438","50","36.968","48.44444","46.1726","10.6553","56.92129",""
"ADW-A.TO","Andrew Peller Limited","61430","43.482","32.138","50","39.494","42.22222","0","0","40.52289",""
"AEM.TO","AGNICO EAGLE MINES LIMITED","142169875","70.258","70.5708","75.9","54.88","47.55556","95.779785","99.78752","51.5495",""
"AEZS.TO","AETERNA ZENTARIS INC","8057","33.094","43.0069","35.6","44.817","38.12785","37.890205","7.02081","38.86505",""
"AGF-B.TO","AGF Management Limited","1648447","43.282","64.218","38.7","48.385","51.11111","27.897105","0","56.35224",""
"AGI.TO","Alamos Gold Inc","15253940","73.996","93.0391","50","56.671","51.55556","100","100","66.70341",""
"AI.TO","Atrium Mortgage Investment Corporation","390872","41.204","51.2144","27.7","37.869","48.66667","50","72.4515","50.52986",""
"AIF.TO","ALTUS GROUP ORD","4707674","48.963","58.8137","50","49.731","49.33333","4.6063","1.0538","43.02285",""
"AII.TO","Almonty Industries Inc","53392","43.869","55.7604","100","39.712","36","35.20553","0","46.02453",""
"ALA.TO","AltaGas Ltd","23479447","41.188","59.2599","41.2","51.816","48.88889","35.14703","8.8981","48.5446",""
"ALC.TO","ALGOMA CENTRAL","248350","36.359","63.603","57.7","33.4","45.65702","44.377795","1.0967","41.80946",""
"AMM.TO","ALMADEN MINERALS LTD.","3929","46.461","53.7232","100","37.442","30.43478","16.307145","0","36.23924",""
"AOI.TO","AFRICA OIL CORP","2243893","59.439","92.6992","100","69.863","50.66667","50","51.79066","51.05027",""
"AQN.TO","Algonquin Power & Utilities Corp","42335627","57.766","51.6126","25.8","36.201","45.11111","94.513215","100","56.61139",""
"ARE.TO","Aecon Group Inc","6813463","52.617","55.98","11.6","40.169","48.44444","74.182485","99.48999","64.27197",""
"ARG.TO","AMERIGO RESOURCES LTD.","361286","70.005","77.8272","100","45.573","41.11111","90.52661","93.32966","51.13771",""
"ARX.TO","ARC Resources Ltd","57603093","67.829","86.1366","100","49.547","53.11111","73.61273","83.94237","54.84016",""
"ATD.TO","ALIMENTATION COU TARD SUBVTNG ORD","80471453","69.81","84.0912","50","57.168","51.11111","97.182585","100","51.93689",""
"ATH.TO","Athabasca Oil Corporation","18141684","65.55","99.8","100","57.979","47.33333","51.619925","96.34521","54.15315",""
"ATZ.TO","ARITZIA ORD SHS","17057102","38.787","69.8962","50","46.689","49.55556","50","10.29176","45.07304",""
"AVL.TO","AVALON ADVANCED MATERIALS INC","31894","52.983","87.1376","100","60.322","19.55556","27.41942","0","58.70614",""
"BB.TO","BLACKBERRY LIMITED","10174677","62.023","49.6827","100","55.469","47.11111","67.510545","88.18734","58.69015",""
"BBD-A.TO","Bombardier Inc","423077","54.813","78.0643","50","57.587","48","60.6663","69.64384","59.06043",""
