[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
AAV.TO	0	0	52.958	53.632	54.052	0
AC.TO	0	0	38.785	55.914	45.171	0
ACB.TO	0	0	55.251	75.749	68	0
AEM.TO	0	0	43.359	65.585	44.758	0
AEZS.TO	0	0	48.517	64.227	57.881	0
AJX.TO	0	0	61.175	42.552	63.269	0
ALC.TO	0	0	46.442	47.814	57.392	0
ALO.TO	0	0	41.415	53.957	45.401	0
AMM.TO	0	0	53.109	81.32	56.574	0
AOI.TO	0	0	49.345	69.168	52.582	0
AQA.TO	0	0	56.717	41.864	59.447	0
ARG.TO	0	0	53.727	57.908	64.84	0
ATL.TO	0	0	42.687	31.991	44.848	0
AUP.TO	0	0	35.909	69.522	36.959	0
AVL.TO	0	0	64.058	43.902	64.412	0
AXR.TO	0	0	57.56	68.151	60.721	0
AYM.TO	0	0	43.408	31.113	46.878	0
BB.TO	0	0	36.762	66.821	43.966	0
BLDP.TO	0	0	33.993	76.296	42.724	0
BNG.TO	0	0	45.324	47.091	47.753	0
BR.TO	0	0	31.085	51.487	31.934	0
BRB.TO	0	0	41.949	70.866	49	0
BRY.TO	0	0	36.758	61.533	45.246	0
BUI.TO	0	0	39.035	29.018	64.027456721	0
CAE.TO	0	0	33.628	62.551	38.509	0
CAL.TO	0	0	30.511	58.932	33.147	0
CEE.TO	0	0	45.098	37.288	52.763	0
CFP.TO	0	0	62.506	79.836	71.454	0
CFW.TO	0	0	60.029	67.899	66.098	0
CGY.TO	0	0	22.519	47.195	25.004	0
CHW.TO	0	0	34.9	51.433	35.869	0
CIGI.TO	0	0	36.829	82.222	50.89	0
CLS.TO	0	0	45.664	82.222	51.271	0
CMH.TO	0	0	31.804	45.491	39.278	0
COM.TO	0	0	41.173	53.804	39.359	0
CPI.TO	0	0	39.189	41.808	44.295	0
CRH.TO	0	0	50.445	67.809	53.278	0
CSU.TO	0	0	49.249	82.963	60.58	0
CVG.TO	0	0	33.118	19.024	35.286	0
DDC.TO	0	0	65.028	74.91	85.05102299796	0
DML.TO	0	0	33.753	42.222	40.362	0
DOL.TO	0	0	48.331	68.09	58.122	0
DSG.TO	0	0	32.694	62.867	34.724	0
ECS.TO	0	0	38.472	65.486	39.742	0
EDT.TO	0	0	37.778	53.234	44.191	0
ELF.TO	0	0	44.445	51.7	49.036	0
ELR.TO	0	0	50.473	39.646	55.84	0
ENGH.TO	0	0	55.304	73.928	67.848	0
EOM.TO	0	0	0	0	0	0
EPS.TO	0	0	42.41	46.28	45.524	0
ESM.TO	0	0	34.619	55.316	40.774	0
ETG.TO	0	0	43.822	63.614	50.704	0
EXF.TO	0	0	48.275	51.966	56.555	0
EXN.TO	0	0	47.224	82.222	54.144	0
FNV.TO	0	0	46.503	65.315	51.811	0
FRX.TO	0	0	32.538	28.521	37.305	0
FSV.TO	0	0	46.455	80.741	54.567	0
FSY.TO	0	0	41.578	47.861	45.03	0
FT.TO	0	0	27.65	44.493	29.782	0
FTG.TO	0	0	41.576	79.074	54.003	0
GCG.TO	0	0	34.013	47.894	44.591	0
GCT.TO	0	0	36.03	38.18	40.339	0
GDC.TO	0	0	62.84	63.253	82.516	0
GDI.TO	0	0	37.766	73.722	47.378	0
GDS.TO	0	0	46.094	41.399	69.12963029042	0
GIL.TO	0	0	38.343	79.389	51.599	0
GPS.TO	0	0	62.195	53.527	63.414	0
GUD.TO	0	0	39.803	73.744	47.793	0
GVC.TO	0	0	41.354	37.537	44.16	0
GZT.TO	0	0	32.452	31.936	33.837	0
H.TO	0	0	30.089	80	36.179	0
HWO.TO	0	0	43.135	52.958	42.29	0
HYD.TO	0	0	31.485	53.974	38.574	0
HYG.TO	0	0	39.587	50.503	45.274	0
IAM.TO	0	0	49.876	41.338	52.58	0
IFP.TO	0	0	52.792	84.444	66.853	0
IGG.TO	0	0	0	0	0	0
III.TO	0	0	45.378	46.333	47.741	0
IMG.TO	0	0	56.018	84.444	61.059	0
INQ.TO	0	0	48.675	21	81.44903698019	0
IRON.TO	0	0	56.229	55.162	58.625	0
ITC.TO	0	0	34.539	56.734	42.236	0
K.TO	0	0	52.853	78.545	57.994	0
KAT.TO	0	0	34.12	51.46	45.028	0
KFS.TO	0	0	40.513	48.123	65.95246205116	0
L.TO	0	0	41.281	82.963	45.311	0
LAM.TO	0	0	32.27	44.111	38.192	0
LFX.TO	0	0	70.244	62.906	76.911	0
LGO.TO	0	0	33.377	72.14	35.404	0
LIF.TO	0	0	50.712	74.9	63.883	0
LMC.TO	0	0	60.596	61.379	62.641	0
LUG.TO	0	0	33.462	54.935	33.197	0
MAG.TO	0	0	55.69	79.784	60.323	0
MAL.TO	0	0	40.786	52.935	43.769	0
MAW.TO	0	0	42.688	42.593	41.886	0
MCB.TO	0	0	49.212	45.562	50.61	0
MEG.TO	0	0	53.122	70.566	57.418	0
MFI.TO	0	0	37.521	80.741	49.646	0
MRC.TO	0	0	38.737	55.789	46.105	0
MRD.TO	0	0	39.307	62.508	47.203	0
MRE.TO	0	0	37.294	50.277	47.364	0
MRU.TO	0	0	36.394	83.704	42.89	0
MSI.TO	0	0	62.838	85.185	75.911	0
MSV.TO	0	0	42.602	61.717	46.949	0
NDM.TO	0	0	55.584	54.759	56.179	0
NFI.TO	0	0	41.199	69.312	52.486	0
NGQ.TO	0	0	52.416	77.728	57.573	0
NII.TO	0	0	0	0	0	0
NOA.TO	0	0	36.545	76.885	43.215	0
NVA.TO	0	0	49.354	84.444	59.023	0
NVCN.TO	0	0	44.372	74.815	49.534	0
OGC.TO	0	0	45.864	83.704	51.582	0
ONC.TO	0	0	43.215	57.372	52.809	0
OSB.TO	0	0	68.724	85.185	71.269	0
PAAS.TO	0	0	60.584	82.963	64.498	0
PAY.TO	0	0	36.867	58.159	42.577	0
PBH.TO	0	0	39.164	84.444	51.333	0
PBL.TO	0	0	52.632	79.481	66.106	0
PDL.TO	0	0	44.501	60.838	52.581	0
PLI.TO	0	0	43.395	55.722	48.574	0
PMT.TO	0	0	30.321	74.309	40.211	0
PPL.TO	0	0	34.334	80.741	40.758	0
QSR.TO	0	0	26.696	75.488	32.207	0
RMX.TO	0	0	46.421	66.598	51.873	0
RSI.TO	0	0	36.176	54.65	45.523	0
RUS.TO	0	0	63.331	87.407	76.61	0
RVX.TO	0	0	48.392	52.67	53.311	0
SBI.TO	0	0	35.261	28.799	32.311	0
SCC.TO	0	0	0	0	0	0
SEA.TO	0	0	57.441	80.741	61.792	0
SEC.TO	0	0	41.642	21.062	44.225	0
SGF.TO	0	0	39.916	42.568	44.895	0
SGQ.TO	0	0	31.341	23.219	36.215	0
SIS.TO	0	0	33.296	78.493	40.781	0
SMT.TO	0	0	44.846	50.206	50.297	0
SRHI.TO	0	0	40.288	62.175	46.875	0
SVM.TO	0	0	54.956	63.811	58.27	0
SWH.TO	0	0	0	0	0	0
TC.TO	0	0	34.786	38.063	39.457	0
TCW.TO	0	0	41.052	82.222	42.624	0
TGL.TO	0	0	45.49	46.919	52.168	0
TH.TO	0	0	38.902	71.576	40.88	0
TMB.TO	0	0	0	0	0	0
TOS.TO	0	0	55.005	80	57.861	0
TOY.TO	0	0	36.2	71.308	44.151	0
TPL.TO	0	0	45.287	54.839	49.94	0
TV.TO	0	0	62.449	73.57	66.548	0
TXG.TO	0	0	46.167	80	51.377	0
U.TO	0	0	30.323	48.707	39.413	0
UNC.TO	0	0	32.384	33.708	33.926	0
UNS.TO	0	0	35.199	62.018	37.425	0
UR.TO	0	0	40.817	47.749	45.965	0
USA.TO	0	0	39.8	81.481	42.971	0
VBV.TO	0	0	36.578	55.744	37.002	0
VCM.TO	0	0	43.146	65.369	49.297	0
WEED.TO	0	0	47.332	66.879	60.024	0
WFT.TO	0	0	44.836	78.195	59.263	0
WN.TO	0	0	31.853	78.189	37.184	0
WPM.TO	0	0	41.291	63.738	51.919	0
WPRT.TO	0	0	45.599	45.48	49.462	0
WSP.TO	0	0	38.253	82.963	54.638	0
XRC.TO	0	0	0	0	0	0
ZCL.TO	0	0	36.647	55.167	36.994	0
ZZZ.TO	0	0	32.786	72.722	45.247	0
