"Symbol","Company Name","Wtd Sortino Score"
"ARDX","Ardelyx Inc","243.90186201"
"AKRO","Akero Therapeutics Inc","195.9345353043"
"AEHR","Aehr Test Systems","158.4380602948"
"AKBA","Akebia Ther","126.9126392011"
"ADMA","ADMA Biologics Inc","125.3320608524"
"ALDX","Aldeyra The","122.1295870588"
"ACLS","Axcelis Technologies Inc","120.8842054947"
"ADEA","ADEIA CORP","120.481137807"
"ASC","Ardmore Shpng","118.5020042118"
"APLS","Apellis Pharmaceuticals Inc","118.2738021862"
"ACHV","Achieve Life Sciences Inc","111.8903012293"
"AQST","Aquestive Therapeutics Inc","98.95511635809"
"AMR","Alpha Metallurgical Resources Inc","92.47742871987"
"AGI","Alamos Gold Inc","92.19756188367"
"APLD","Applied Blockchain Inc","85.08637100139"
"ACGL","Arch Capital Group Ltd","79.64588618196"
"AMPH","Amphastar P","78.22555454251"
"ARRY","Array Technologies Inc","77.53101214033"
"ARLO","Arlo Technologies","76.50436736079"
"AGYS","Agilysys Inc","75.22004648141"
"AAON","AAON Inc","71.20703500026"
"ACVA","ACV Auctions Inc","67.85618786637"
"ALGM","Allegro Microsystems Inc","56.59032996288"
"ARAY","Accuray Incorporated","51.6216447458"
"ABOS","Acumen Pharmaceuticals Inc","51.22813437421"
"AMPY","Amplify Energy Corp","51.13946390678"
"ACA","Arcosa Inc","46.60387079305"
"AJG","Arthur J Gallagher & Co","45.85194656258"
"AMRK","Amark Preci","45.30901845832"
"APPF","Appfolio Inc","44.06866528655"
"ALG","Alamo Group Inc","43.86816814575"
"AQUA","Evoqua Water Technologies","41.99570808919"
"AROC","Archrock Inc","41.15326212892"
"AIR","AAR Corp","40.76334993771"
"APYX","Apyx Medical Inc","40.7033478105"
"ANIP","ANI Pharmaceuticals Inc","39.98714118383"
"ABST","Absolute Software Corporation","39.75188551113"
"ABB","ABB Ltd","39.48776712119"
"ARCH","Arch Resources Inc","38.49782985013"
"AIT","Applied Industrial Technologies","37.02052742159"
"ANET","Arista Networks","36.32719292415"
"ABC","AmerisourceBergen","35.00104055755"
"ACAD","ACADIA Pharmaceuticals Inc","34.81280481138"
"ALNY","Alnylam Pharmaceuticals Inc","34.5138394979"
"ALKS","Alkermes Plc","32.79679230243"
"AIV","Apartment Investment and Management Co","32.38718164537"
"AEM","Agnico Eagle Mines Limited","32.22720437114"
"ALTG","Alta Equipment Group Inc","31.450858351"
"AGL","agilon health Inc","30.20624515632"
"APG","Api Group Corp","29.55567189341"
"AGM","Federal Agricultural Mortgage","29.46573059045"
"ABG","Asbury Automotive Group Inc","29.18789260889"
"AN","AutoNation Inc","28.64299790311"
"ANVS","Annovis Bio Inc","28.22471384442"
"ALTR","Altair Engineering Inc","28.22261567002"
"AON","Aon PLC","26.79555861122"
"ARNC","Arconic Corp","26.63109936901"
"AAPL","Apple Inc","25.39332599626"
"ADI","Analog Devices Inc","21.99379517108"
"AMBC","Ambac Financial Group Inc","21.83795942429"
"ALC","Alcon AG","21.51784107682"
"AME","Ametek Inc","21.11331443305"
"AMSF","AMERISAFE Inc","20.65569371948"
"AFL","Aflac Incorporated","20.33642963519"
"AI","C3 Ai Inc","20.08261385182"
"AGX","Argan Inc","19.46907935317"
"ARCB","ArcBest Corp","18.60351314989"
"AMOT","Allied Motion Technologies Inc","17.83431362774"
"AOS","Smith AO Corporation","17.68696664567"
"ABCM","Abcam PLC","16.71219933134"
"AMD","Advanced Micro Devices Inc","16.34924467841"
"ABBV","AbbVie Inc","15.7725847735"
"ACM","Aecom Technology Corporation","15.66248563382"
"ANDE","The Andersons Inc","15.49591644155"
"ALV","Autoliv Inc","15.2729527754"
"APO","Apollo Global Management LLC Class A","15.20476265902"
"APD","Air Products and Chemicals Inc","13.43019634319"
"AGCO","AGCO Corporation","12.35807288996"
"AGRO","Adecoagro SA","12.1339907241"
"AIN","Albany International Corporation","10.89603687788"
"ALE","Allete Inc","10.43639930118"
"AMAT","Applied Materials Inc","10.39634420082"
"AMP","Ameriprise Financial Inc","10.19320838027"
"ARWR","Arrowhead Pharmaceuticals Inc","10.176610131"
"ARW","Arrow Electronics Inc","9.363442273482"
"APA","APA Corporation","7.642582223433"
"ANSS","ANSYS Inc","7.038985677241"
"AEE","Ameren Corp","7.017796204402"
"AEP","American Electric Power Company Inc","6.978897357047"
"ACHC","Acadia Healthcare Company Inc","6.626673016429"
"AMKR","Amkor Technology Inc","6.207791369241"
"ALPN","Alpine Immune Sciences Inc","5.656986659234"
"APGB","Apollo Strategic Growth Capital II","5.385037285412"
"AEIS","Advanced Energy Industries Inc","4.987954927201"
"AL","Air Lease Corporation","4.694208895062"
"ARCC","Ares Capital Corporation","4.477792333019"
"ANNX","Annexon Inc","3.83418302714"
"AMGN","Amgen Inc","3.460593524734"
"APH","Amphenol Corporation","3.427276435381"
"AMG","Affiliated Managers Group Inc","2.62457425341"
"ABM","ABM Industries Incorporated","1.705727423372"
"AESC","AES Corp Unit","1.152450112333"
"AMH","American Homes 4 Rent","0.3575305838284"
"ABT","Abbott Laboratories","0.07573738301338"
"ALLE","Allegion PLC","-0.9239063315945"
"AGO","Assured Guaranty Ltd","-1.091023536287"
"ADNT","Adient PLC","-1.153278886415"
"ADM","Archer-Daniels-Midland Company","-1.153654901433"
"AQNA","Algonquin Power Utilities Corp","-2.137091871803"
"AQNB","Algonquin Power Utilities Corp","-3.462413153159"
"ALL","Allstate Corp","-3.632896841828"
"AMWD","American Woodmark Corporation","-3.730790123427"
"AES","The AES Corporation","-4.097468442965"
"ADP","Automatic Data Processing Inc","-4.24993760127"
"AIG","American International Group Inc","-5.027018996265"
"ACI","Albertsons Companies","-5.130225792846"
"ABUS","Arbutus Biopharma Corp","-5.606041948815"
"ANF","Abercrombie & Fitch Company","-6.242078787554"
"AFG","American Financial Group Inc","-6.69006806387"
"ACOR","Acorda Therapeutics Inc","-7.12206952113"
"ALIT","Alight Inc","-7.188304439088"
"APAM","Artisan Partners Asset Management Inc","-8.327095517108"
"ADUS","Addus HomeCare Corporation","-9.032166825887"
"AIO","Virtus AllianzGI Artificial Intell & Tech Opps","-9.099749982244"
"AGS","PlayAGS Inc","-9.88118693787"
"AHH","Armada Hflr Pr","-10.32624565621"
"AAL","American Airlines Group","-11.05436347106"
"ACIW","ACI Worldwide Inc","-11.33874451223"
"AGIO","Agios Pharm","-11.85964656999"
"APOG","Apogee Enterprises Inc","-12.02213004635"
"AMN","AMN Healthcare Services Inc","-12.54493547108"
"ACN","Accenture plc","-12.54996750292"
"AGTI","Agiliti Inc","-12.6080249004"
"AGR","Avangrid Inc","-12.64615624258"
"A","Agilent Technologies Inc","-12.96429230735"
"AORT","Artivion Inc","-14.02758894993"
"ALT","Altimmune Inc","-14.54665171936"
"ALK","Alaska Air Group Inc","-15.23935941756"
"ALB","Albemarle Corp","-15.4878964943"
"AMCR","Amcor PLC","-15.48850314252"
"AMZN","Amazon.com Inc","-15.84349395249"
"AKAM","Akamai Technologies Inc","-16.80195110921"
"ADSK","Autodesk Inc","-17.2650664695"
"ACTG","Acacia Research Corporation","-17.72750974614"
"ACEL","Accel Entertainment Inc","-18.68399676515"
"ABNB","Airbnb Inc","-19.7825066077"
"ANIK","Anika Therapeutics Inc","-20.28182743127"
"AR","Antero Resources Corp","-20.29468486948"
"ALGN","Align Technology Inc","-21.18660176277"
"AIZ","Assurant Inc","-21.47200752725"
"AFYA","Afya Ltd","-22.39456506748"
"AGNC","AGNC Investment Corp","-23.40120483324"
"AMST","Amesite Operating Co","-24.38819358223"
"AQNU","Algonquin Power & Utilities Corp Unit","-24.59238710879"
"ALKT","Alkami Technology Inc","-25.67245332818"
"ALGT","Allegiant Travel Company","-26.18885609268"
"ACCD","Accolade Inc","-26.20498657117"
"AMT","American Tower Corp","-27.28441616004"
"AAN","Aarons Inc","-27.72011519609"
"ARCE","Arco Platform ","-27.78989706274"
"APTV","Aptiv PLC","-30.26228627063"
"ANAB","AnaptysBio Inc","-30.96146083773"
"AEO","American Eagle Outfitters Inc","-31.7474191585"
"ACCO","Acco Brands Corporation","-32.54248797446"
