"Symbol","Company Name","ADTValue","Weighted LT Score","Wtd Sortino","Beta","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","LW Wtd Sortino","LW Wtd BV","LW Wtd PriceUp","LW WeightedScore","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"LW","Lamb Weston Holdings Inc","207017254","70.535","99.8","51.2","57.844","53.96009","93.530465","100","61.28999","99.8","57.873","53.77186","70.482","-0.26","111.93","112.09","0.14",""
"LLY","Eli Lilly and Company","350329961","70.079","99.4779","50","58.037","52.72333","100","98.69196","62.70368","92.5517","55.857","53.00025","67.136","0.23","397.26","427.81","7.69",""
"CAH","Cardinal Health, Inc","171263974","68.843","95.654","29.75","57.939","52.93718","90.210785","83.5976","44.20731","94.342","57.263","52.7795","68.128","-0.28","82.18","83.2","1.24",""
"MRK","Merck & Co Inc","9747889562","68.555","92.2934","18.9","56.987","56.38335","93.589475","88.87027","51.16971","90.6208","56.789","55.81079","67.74","-0.33","115.8","117.68","1.62",""
"GE","General Electric Co","932916931","68.273","92.7585","53.25","56.079","55.98128","74.06129","100","61.75844","91.9077","56.057","55.38606","67.784","0.15","99.49","100.24","0.75",""
"VRTX","Vertex Pharmaceuticals Incorporated","168855222","67.865","87.5346","18","56.927","59.13378","100","100","63.81513","86.3546","56.835","58.15423","67.115","-0.51","340.22","348.09","2.31",""
"PHM","PulteGroup, Inc.","582423194","67.414","90.2271","-13.25","57.267","54.74649","85.450275","100","64.39403","90.2073","57.481","55.03129","67.573","-0.73","67.05","67.02","-0.04",""
"HSY","The Hershey Company","711230872","66.999","95.4834","8.6","53.978","51.53683","97.748655","100","61.14053","94.6432","54.085","51.35846","66.696","-0.86","274.12","275.33","0.44",""
"ORLY","O'Reilly Automotive, Inc","1102471475","66.911","90.2274","21.7","53.092","57.41316","96.841615","97.81124","54.36416","88.1879","52.75","56.86819","65.935","-0.48","917.75","940.78","2.51",""
"LIN","Linde PLC","571529023","66.711","80.6595","50","67.194","52.27889","98.284705","100","58.08872","81.387","67.43","52.56566","67.128","-0.18","370.8","366.37","-1.19",""
"MNST","Monster Beverage Corp","217166180","66.487","92.1977","46.75","53.958","53.30673","100","100","54.16461","85.8114","53.362","52.66814","63.947","-1","55.82","59.71","6.97",""
"NVDA","NVIDIA Corp","422341368","65.735","86.3808","23.55","57.816","53.00912","50","100","61.94029","84.7804","57.45","53.27026","65.167","-0.02","278.4","286.8","3.02",""
"GWW","WW Grainger Inc","104742549","65.585","88.163","50","54.548","54.04385","50","94.73188","57.76057","90.6693","55.147","54.35625","66.724","-0.02","697.98","675.51","-3.22",""
"GIS","General Mills, Inc","254270734","65.44","87.8177","50","53.582","54.92092","100","100","48.70571","86.672","53.558","54.80562","65.012","-0.2","88.94","89.81","0.98",""
"MDLZ","Mondelez International, Inc.","108737905","65.265","88.8495","50","51.951","54.99581","100","100","57.40249","87.5366","51.741","54.4065","64.561","-1.18","76.52","77.56","1.36",""
"LVS","Las Vegas Sands Corp","171239523","65.112","89.2209","50","53.424","52.6918","67.057925","90.69083","61.56906","91.0417","53.641","52.89579","65.859","-0.2","64.39","61.65","-4.26",""
"MCD","McDonald's Corp","286118062","65.063","86.4338","31.8","54.712","54.04385","100","100","58.13699","86.1491","54.679","53.88027","64.903","0.03","295.72","296.6","0.3",""
"CMG","Chipotle Mexican Grill Inc","199049817","65.046","85.2964","50","56.52","53.32052","100","100","63.30463","86.4026","56.786","53.57379","65.587","-1.94","2055","2028.21","-1.3",""
"AZO","AutoZone, Inc","122222685","64.948","87.858","34.7","52.8","54.18576","81.80978","89.2364","53.15955","87.0689","52.833","54.04385","64.649","-0.1","2669.93","2691.58","0.81",""
"AJG","Arthur J Gallagher & Co","468610256","64.686","86.5037","50","52.422","55.13378","91.798905","94.66196","59.30246","84.2058","51.98","55.01256","63.733","0.18","207.82","213.82","2.89",""
"HWM","Howmet Aerospace Inc","285315329","64.423","84.2035","50","55.802","53.26337","62.92155","96.88988","58.45988","85.0975","56.567","53.06529","64.91","-0.35","44.29","44","-0.65",""
"TDG","Transdigm Group Incorporated","81096784","64.279","81.6943","50","52.897","58.24489","50","98.0724","63.26327","81.4002","52.96","58.1355","64.165","-0.03","765","767.19","0.29",""
"CPRT","Copart Inc","241033186","64.232","85.314","38.85","53.622","53.75905","85.62717","100","71.8802","85.2222","53.459","53.58463","64.089","-0.27","78.22","78.89","0.86",""
"TAP","Molson Coors Beverage Company","97240353","64.21","85.2161","-4.2","53.498","53.91673","87.201505","96.25357","63.77787","78.6177","50.446","53.73048","60.931","-0.32","59.47","64.89","9.11",""
"DHI","D.R. Horton Inc","733333650","64.179","84.4294","-13.4","56.023","52.08376","100","99.82334","50.62178","85.34","56.243","51.88076","64.488","-0.25","109.64","108.12","-1.39",""
"XOM","Exxon Mobil Corp","88986100","64.097","83.7616","99.75","55.45","53.08007","69.314655","68.92748","53.42358","90.6455","56.658","53.84085","67.048","-0.23","115.99","108.68","-6.3",""
"WYNN","Wynn Resorts Limited","5802930983","63.931","85.2415","50","53.987","52.56369","56.732745","98.91199","60.93063","86.6825","54.235","52.76373","64.56","-0.18","116","110.78","-4.5",""
"BIIB","Biogen Inc","151265155","63.777","90.4707","29.75","50.9","49.96107","86.26718","90.95365","58.2668","86.6196","50.684","49.25745","62.187","-0.91","305.75","318.06","4.03",""
"RE","Everest Re Group, Ltd","552134190","63.708","83.167","27.5","52.123","55.83444","41.477785","71.33188","52.56384","83.7106","50.819","55.75068","63.427","-0.3","376.88","375.4","-0.39",""
"MCK","McKesson Corporation","216663797","63.592","86.0967","57.3","52.682","51.99803","54.4882","59.7195","42.80778","86.9235","52.658","51.86105","63.814","-0.49","365.16","365.87","0.19",""
"ON","ON Semiconductor Corporation","401646233","63.409","83.5706","50","56.134","50.52279","47.98485","38.13511","51.35387","78.2958","55.031","50.34935","61.225","-0.24","74.89","81.22","8.45",""
"PAG","Penske Automotive Group, Inc","6208952085","63.403","81.1509","65.45","55.322","53.7354","50","80.95933","56.77839","81.2357","55.298","54.05174","63.528","0.06","138.69","139.01","0.23",""
"PCAR","PACCAR Inc","97289437","63.378","80.774","34.85","53.758","55.60089","44.70468","46.48006","50.12361","83.1965","54.468","55.90244","64.522","-0.12","74.69","72.76","-2.58",""
"ULTA","Ulta Beauty Inc","469726014","63.355","85.0711","50","50.111","54.88347","64.85799","94.51541","61.93162","90.2343","50.733","55.65903","65.542","-0.47","551.72","520.05","-5.74",""
"PWR","Quanta Services Inc","158934767","63.197","88.5531","50","48.491","52.54595","72.40814","100","52.38176","88.0915","48.563","52.80611","63.154","-0.21","169.77","171.07","0.77",""
"GILD","Gilead Sciences Inc","289054164","63.07","79.8982","50","57.947","51.36438","80.84848","48.17896","51.0381","82.856","58.727","52.06307","64.549","0.65","82.47","79.75","-3.3",""
"GPC","Genuine Parts Co","78034615","62.935","81.8612","50","50.727","56.21582","18.20459","15.93741","49.7778","79.3449","50.509","55.64523","61.833","-0.31","168.69","173.73","2.99",""
"SYK","Stryker Corporation","233916588","62.893","79.436","50","58.541","50.70214","92.90032","100","55.55208","83.7139","58.554","50.92092","64.396","0.43","299.6","284.71","-4.97",""
