"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Offset Weighted Score","Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"LW","Lamb Weston Holdings Inc","214001576","51.2","70.477","99.8","57.873","53.75905","83.629885","100","60.2093","70.131","70.477","0.49","112.81","112.18","-0.56",""
"GE","General Electric Co","345823763","53.25","68.643","93.7566","56.37","55.80291","71.42844","100","62.11977","67.583","68.643","1.57","101.88","101","-0.86",""
"MRK","Merck & Co Inc","188106547","18.9","68.575","92.4644","57.042","56.21877","86.19423","81.14006","52.40408","68.239","68.575","0.49","118.35","117.43","-0.78",""
"CAH","Cardinal Health, Inc","9273594505","29.75","68.377","94.5986","57.336","53.19734","78.691665","71.2956","45.8321","67.495","68.377","1.31","82.88","84.35","1.77",""
"LLY","Eli Lilly and Company","944748945","50","67.83","94.3546","56.158","52.9766","89.94287","95.308","61.26372","66.578","67.83","1.88","415.03","428.38","3.22",""
"VRTX","Vertex Pharmaceuticals Incorporated","169616866","18","67.633","87.272","57.078","58.54841","100","100","63.6217","66.239","67.633","2.1","349.28","344.83","-1.27",""
"LIN","Linde PLC","585051669","50","67.183","81.5428","67.468","52.53905","99.459765","100","58.20368","66.827","67.183","0.53","369.51","364.7","-1.3",""
"PHM","PulteGroup, Inc.","700427012","-13.25","66.866","88.9405","57.096","54.56221","72.443475","100","63.8849","66.663","66.866","0.3","66","67.73","2.62",""
"HSY","The Hershey Company","1031142515","8.6","66.828","95.132","54.011","51.34072","90.827645","100","60.39507","64.91","66.828","2.95","275.77","274.08","-0.61",""
"ORLY","O'Reilly Automotive, Inc","572728968","21.7","66.728","89.8116","53.108","57.26435","91.96292","95.64564","54.2313","65.005","66.728","2.65","936.52","953.46","1.81",""
"GWW","WW Grainger Inc","222697596","50","66.425","89.9206","55.034","54.31978","50","96.38806","59.15107","65.81","66.425","0.93","692.77","684.51","-1.19",""
"LVS","Las Vegas Sands Corp","424677357","50","65.824","90.9303","53.64","52.90269","54.292515","87.89751","61.91559","65.314","65.824","0.78","63.2","62.37","-1.31",""
"NVDA","NVIDIA Corp","105341900","23.55","65.482","85.5363","57.657","53.25351","50","100","62.02611","64.133","65.482","2.1","278.4","285.71","2.63",""
"MCD","McDonald's Corp","257291221","31.8","65.424","87.1318","54.84","54.30106","100","100","59.11256","64.071","65.424","2.11","296.76","296.66","-0.03",""
"CMG","Chipotle Mexican Grill Inc","109329735","50","65.408","86.0039","56.658","53.56196","96.66053","100","63.61246","60.61","65.408","7.92","2054.08","2032.66","-1.04",""
"HWM","Howmet Aerospace Inc","170409393","50","65.336","86.1605","56.349","53.49988","52.556505","92.0549","58.43569","63.983","65.336","2.11","45","44.76","-0.53",""
"MDLZ","Mondelez International, Inc.","286209822","50","65.245","88.8291","52.085","54.8204","100","100","57.66955","61.912","65.245","5.38","77.89","77.89","0",""
"AZO","AutoZone, Inc","202969286","34.7","65.205","88.1877","52.972","54.45578","78.44007","83.07824","53.46843","64.741","65.205","0.72","2708.91","2726.51","0.65",""
"MNST","Monster Beverage Corp","123610828","46.75","65.143","88.4562","53.871","53.10273","100","100","53.54955","62.483","65.143","4.26","57.78","58.69","1.57",""
"GIS","General Mills, Inc","454930384","50","65.111","87.0474","53.522","54.76226","100","100","47.76962","65.012","65.111","0.15","89.31","89.59","0.31",""
"XOM","Exxon Mobil Corp","286574713","99.75","64.649","84.7705","55.82","53.35797","73.02715","65.67629","54.5284","66.607","64.649","-2.94","109.08","109.14","0.06",""
"TDG","Transdigm Group Incorporated","81072744","50","64.554","82.0177","53.111","58.53461","50","96.97358","63.23062","63.744","64.554","1.27","772.72","808.41","4.62",""
"TAP","Molson Coors Beverage Company","235233978","-4.2","64.551","85.3913","54.102","54.16112","80.084325","91.07603","62.74518","60.458","64.551","6.77","65.73","64.52","-1.84",""
"WYNN","Wynn Resorts Limited","100309889","50","64.401","86.3073","54.124","52.77063","51.322405","99.48078","60.73513","64.01","64.401","0.61","111.82","111.7","-0.11",""
"RE","Everest Re Group, Ltd","761764436","27.5","64.337","84.3175","52.556","56.13895","37.807345","59.23725","52.14673","62.78","64.337","2.48","381.07","382.87","0.47",""
"DHI","D.R. Horton Inc","84187185","-13.4","64.24","84.6903","56.158","51.87288","93.450505","99.79202","50.86513","64.054","64.24","0.29","108.62","108.99","0.34",""
"SYK","Stryker Corporation","5454302294","50","64.101","82.0621","59.32","50.92092","85.465835","100","55.91287","64.391","64.101","-0.45","295.89","283.65","-4.14",""
"AJG","Arthur J Gallagher & Co","150162495","50","64.066","85.0052","52.222","54.97216","84.053165","86.10381","58.05896","63.549","64.066","0.81","211.51","216.08","2.16",""
"CPRT","Copart Inc","545950214","38.85","64.037","84.9729","53.571","53.5659","77.66271","100","71.07588","63.305","64.037","1.16","79.14","79.5","0.45",""
"PAG","Penske Automotive Group, Inc","212872076","65.45","63.995","82.3334","55.637","54.0133","50","90.53819","54.7466","63.282","63.995","1.13","141.83","140.48","-0.95",""
"ULTA","Ulta Beauty Inc","417454165","50","63.993","86.7035","50.104","55.17024","57.305625","100","63.69436","64.818","63.993","-1.27","519.78","509.09","-2.06",""
"REGN","Regeneron Pharmaceuticals, Inc","6120937301","41.7","63.84","82.4479","58.118","50.95344","85.551505","99.7932","61.58596","63.413","63.84","0.67","804.79","754.88","-6.2",""
"YUM","Yum! Brands Inc","96915682","50","63.735","83.5996","51.979","55.62749","96.75127","97.4631","59.68862","61.807","63.735","3.12","139.75","137.61","-1.53",""
"BSX","Boston Scientific Corp","450180918","50","63.588","87.9073","50.34","52.5154","100","100","58.47849","62.427","63.588","1.86","53.13","53.09","-0.08",""
"GILD","Gilead Sciences Inc","159318358","50","63.529","80.752","58.231","51.60483","80.227975","43.98043","50.49717","66.319","63.529","-4.21","80.49","78.8","-2.1",""
"PCAR","PACCAR Inc","285804209","34.85","63.382","80.3635","53.914","55.86992","45.06357","48.30555","50.93145","64.648","63.382","-1.96","72.57","73.33","1.05",""
"CDNS","Cadence Design Systems, Inc.","79048607","30.85","63.229","84.5857","55.593","49.50973","50","100","62.16851","62.534","63.229","1.11","208.98","204.03","-2.37",""
"MCK","McKesson Corporation","228547261","57.3","63.131","85.2152","52.349","51.82754","53.674595","44.04169","44.5568","63.662","63.131","-0.83","362.64","388.72","7.19",""
"ABC","AmerisourceBergen Corporation","259353146","19.75","63.041","82.1398","52.972","54.01232","78.88282","84.4945","46.02033","63.026","63.041","0.02","169.7","168.25","-0.85",""
"ON","ON Semiconductor Corporation","203526914","50","63.031","82.4885","55.829","50.77408","50","47.34221","50.99973","60.645","63.031","3.93","79.05","78.81","-0.3",""
"NVR","NVR, Inc.","194326402","-1.95","62.94","83.7897","52.506","52.52328","91.26597","100","57.51502","62.003","62.94","1.51","5900","5875.45","-0.42",""
"BIIB","Biogen Inc","173351279","29.75","62.772","88.0781","50.963","49.27421","77.23595","78.61745","54.43656","59.249","62.772","5.95","315","314","-0.32",""
"PWR","Quanta Services Inc","95695065","50","62.771","87.4708","48.495","52.34688","69.96212","100","53.00375","62.77","62.771","0","168.93","171","1.23",""
"BKNG","Booking Holdings Inc","626025733","50","62.66","81.8839","51.998","54.09707","56.303015","100","59.63642","61.808","62.66","1.38","2721.63","2634.91","-3.19",""
"SBUX","Starbucks Corporation","148728482","50","62.658","81.6376","54.014","52.32225","75.76459","67.3329","55.75902","60.851","62.658","2.97","109.08","106.71","-2.17",""
"MSI","Motorola Solutions Inc","1370305925","50","62.584","85.3168","51.829","50.60655","100","100","56.98533","62.114","62.584","0.76","295","286.57","-2.86",""
"GPC","Genuine Parts Co","91615442","50","62.47","80.5701","50.788","56.05223","12.93166","5.28388","49.08496","61.091","62.47","2.26","172.49","173.22","0.42",""
"OXY","Occidental Petroleum Corporation","184103328","50","62.413","80.4273","59.281","47.5319","62.278025","49.30684","52.01085","62.983","62.413","-0.91","59.25","58.96","-0.49",""
"OMC","Omnicom Group Inc","576958254","21.3","62.296","82.3632","53.172","51.35255","50","95.67075","53.35595","62.953","62.296","-1.04","91.41","91.67","0.28",""
"TJX","TJX Companies Inc","377328689","50","62.288","79.6416","55.772","51.4511","33.82085","15.86214","46.51359","61.683","62.288","0.98","78.47","78.59","0.15",""
"SNA","Snap-on Incorporated","1182760639","29.65","61.937","81.5807","51.867","52.36364","44.063745","49.72277","57.25333","61.277","61.937","1.08","263.48","257.38","-2.32",""
"ROL","Rollins Inc","2071525474","50","61.879","82.7848","53.505","49.34713","100","100","61.71699","59.841","61.879","3.41","41.88","41.57","-0.74",""
"MPC","Marathon Petroleum Corporation","83842816","51.95","61.869","83.1372","50.326","52.14486","63.30773","69.6902","53.80669","63.321","61.869","-2.29","115.37","110.94","-3.84",""
"UHS","Universal Health Services, Inc","256051381","51.5","61.818","75.1776","59.268","51.00764","56.490355","30.22975","52.13824","61.418","61.818","0.65","144.51","143.14","-0.95",""
"KMB","Kimberly-Clark Corporation","122730171","50","61.761","79.0854","54.419","51.77827","91.589385","95.44412","56.95029","61.282","61.761","0.78","146","143.92","-1.42",""
"HCA","HCA Healthcare, Inc","188474961","21.95","61.618","78.8916","52.88","53.08204","93.58002","100","57.4838","61.8","61.618","-0.29","281.19","274.05","-2.54",""
"HOLX","Hologic, Inc","247735150","70.3","61.562","78.5512","53.239","52.89579","72.75749","84.27709","60.74998","62.174","61.562","-0.98","84.77","83.67","-1.3",""
"ORCL","Oracle Corporation","98466943","19.65","61.449","81.0328","52.471","50.84306","95.165015","100","60.84777","61.161","61.449","0.47","95.07","96.14","1.13",""
"HES","Hess Corporation","90768296","50","61.315","81.0788","51.511","51.35649","57.879635","45.98555","53.24488","61.962","61.315","-1.04","134.88","136.16","0.95",""
"SJM","The J. M. Smucker Company","251812911","21.6","61.286","81.647","52.871","49.34122","74.953975","98.65209","50.29417","59.725","61.286","2.61","159.02","157.26","-1.11",""
"CHRW","C.H. Robinson Worldwide, Inc.","73223949","50","61.276","71.0452","60.068","52.71348","42.45177","15.31332","56.13291","58.849","61.276","4.12","105","101.59","-3.25",""
"EIX","Edison International","280768738","50","61.068","77.5064","52.55","53.1461","100","98.10723","60.20697","61.239","61.068","-0.28","74.41","73.63","-1.05",""
"AON","Aon PLC","790102170","50","61.04","75.6029","55.559","51.95763","80.70513","92.42895","55.80467","62.286","61.04","-2","322.36","334.92","3.9",""
"PEP","PepsiCo Inc","199482437","50","60.983","81.7825","48.07","53.09781","100","100","55.57292","60.057","60.983","1.54","192.58","194.14","0.81",""
"BWA","BorgWarner Inc","436994743","50","60.926","76.7298","52.429","53.6201","50","70.98798","56.09151","61.652","60.926","-1.18","47.06","44.51","-5.42",""
"AN","AutoNation, Inc","524175723","27.15","60.861","75.5608","55.382","51.64129","50","58.76948","53.7805","60.129","60.861","1.22","135","135.13","0.1",""
"AME","AMETEK Inc","85006816","46.65","60.856","76.2209","51.714","54.63218","12.36715","11.06312","55.57347","57.817","60.856","5.26","146.16","144.41","-1.2",""
"LMT","Lockheed Martin Corporation","1198272795","50","60.844","75.6309","54.742","52.15767","76.302365","79.58699","50.5797","62.386","60.844","-2.47","458.2","452.04","-1.34",""
"AFL","Aflac Incorporated","84291950","27.55","60.773","76.7176","52.068","53.53338","30.306945","13.58517","51.84629","58.968","60.773","3.06","68.84","67.42","-2.06",""
"CEG","Constellation Energy Corp","458623306","50","60.719","75.5695","54.882","51.70663","26.59541","0","46.43524","60.932","60.719","-0.35","77.2","78.95","2.27",""
"BA","Boeing Co","93044713","74.25","60.69","73.6878","54.609","53.77285","29.525655","35.47151","57.66673","60.571","60.69","0.2","204.36","201.88","-1.21",""
"CPB","Campbell Soup Company","114302363","50","60.665","80.5883","50.818","50.58881","69.01221","100","43.47431","60.775","60.665","-0.18","54.89","54.6","-0.53",""
"CLX","The Clorox Company","984653285","50","60.65","75.029","52.141","54.78098","61.60347","100","54.67928","59.974","60.65","1.13","169.04","168.13","-0.54",""
"OTIS","Otis Worldwide Corp","167111178","50","60.642","75.2748","54.691","51.96058","21.79296","31.90902","56.18136","59.003","60.642","2.78","86.77","85.45","-1.52",""
"FISV","Fiserv Inc","172119650","50","60.64","77.6402","53.24","51.04016","50","100","59.49882","60.874","60.64","-0.38","119.7","119.39","-0.26",""
"TT","Trane Technologies plc","262985497","50","60.623","76.0928","52.497","53.27913","20.29588","27.57518","56.23782","58.76","60.623","3.17","187.05","177.81","-4.94",""
"ZBH","Zimmer Biomet Holdings Inc","729673514","50","60.62","83.4424","50.751","47.66691","96.08545","99.5762","51.13276","59.702","60.62","1.54","143.99","136.05","-5.51",""
"MMC","Marsh & McLennan Companies Inc","361974404","50","60.601","76.7298","52.697","52.37743","72.131665","75.66901","54.13722","60.184","60.601","0.69","180.35","179.38","-0.54",""
"CVX","Chevron Corp","85124198","50","60.588","74.3298","52.774","54.65878","56.19646","38.27612","43.78926","62.294","60.588","-2.74","158.15","159.12","0.61",""
"aapl","Apple","141573865","82.3","60.528","74.7053","55.897","50.98103","69.169405","100","56.72503","59.86","60.528","1.12","169.5","171.77","1.34",""
"CBOE","CBOE Holdings Inc","270537645","32.4","60.504","79.3267","49.223","52.96181","100","100","59.78852","60.545","60.504","-0.07","138.73","136.06","-1.92",""
"META","Meta Platforms Inc.","360310806","50","60.457","75.3143","55.923","50.13452","50","100","64.34354","58.566","60.457","3.23","239.47","233.37","-2.55",""
"CTVA","Corteva, Inc.","75898323","50","60.426","74.9499","53.245","53.08303","42.622395","24.48589","54.3919","60.331","60.426","0.16","60.88","57.1","-6.21",""
"LKQ","LKQ Corp","381831676","87.85","60.302","73.3163","53.303","54.28628","43.441535","27.48522","54.19275","59.847","60.302","0.76","57.46","57.2","-0.45",""
"WST","West Pharmaceutical Services Inc","167174450","14.15","60.302","73.3459","55.769","51.79108","50.328405","100","61.12064","59.315","60.302","1.66","373.5","361.73","-3.15",""
"PGR","The Progressive Corporation","127468200","3.4","60.109","74.3267","52.819","53.18157","50","59.5785","54.91621","62.311","60.109","-3.53","126.91","135.7","6.93",""
"CTAS","Cintas Corporation","151322976","50","60.061","76.6393","50.482","53.06233","95.888315","94.0289","55.20966","59.113","60.061","1.6","460.51","461.54","0.22",""
"ISRG","Intuitive Surgery Inc.","207719877","52.6","60.059","76.2354","53.35","50.59079","98.390765","97.61511","57.68096","59.391","60.059","1.12","302.99","301.55","-0.48",""
"MGM","MGM Resorts International","309003781","93.95","59.997","77.5384","49.875","52.57748","50","98.06514","59.35579","58.753","59.997","2.12","46.08","43.39","-5.84",""
"DLTR","Dollar Tree Inc","117836212","100","59.944","74.6717","54.085","51.07563","70.43322","66.51976","49.68312","59.539","59.944","0.68","154.94","155.17","0.15",""
"RCL","Royal Caribbean Cruises Ltd","116931445","50","59.881","73.81","55.428","50.40453","45.031585","1.23968","59.7888","57.93","59.881","3.37","67.88","76.96","13.38",""
"AVGO","Broadcom Inc","390672637","50","59.849","77.0625","51.969","50.51589","74.078905","98.98891","55.79083","60.413","59.849","-0.93","616.9","618.51","0.26",""
