"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"PLRX","Pliant Therapeutics Inc","328480070","50","78.395","99.8","85.883","49.50283","50","19.4139","63.20293","78.395","4.97","78.74","-0.44","20.78","22.21","6.88",""
"BUR","Burford Capital Ltd","32418924","15.8","78.093","92.5345","94.181","47.56245","75.81605","74.05857","73.51796","78.093","8.67","58.667","33.11","13.52","13.41","-0.81",""
"PTPI","Petros Pharmaceuticals Inc","9305890212","100","77.253","99.8","95.336","36.62281","41.070665","40.26921","72.67782","77.253","13.33","50.152","54.04","3.13","2.45","-21.73",""
"WWE","World Wrestling Entertainment Inc","50567601","-1.8","77.005","99.8","77.464","53.75216","63.196175","97.39922","63.7352","77.005","4.12","68.329","12.7","101.9","101.65","-0.25",""
"APLD","Applied Blockchain Inc","905805030","-91.6","76.19","90.683","88.818","49.06863","50","42.79523","64.6399","76.19","211.55","71.176","7.04","8.91","9.24","3.7",""
"GFAI","Guardforce AI Co Ltd","177611659","50","76.033","98.4868","91.877","37.73553","51.021415","67.99595","86.0462","76.033","2.05","56.097","35.54","5.4","6.14","13.7",""
"TESS","TESSCO Technologies Incorporated","9801205","50","75.761","99.8","80.417","47.06677","87.550265","83.76039","59.48217","75.761","2.05","62.739","20.76","8.84","8.86","0.23",""
"ISEE","IVERIC bio Inc","51739982","-6.9","75.068","96.7589","78.401","50.04287","100","100","65.04064","75.068","31.53","73.014","2.81","37.73","38.03","0.8",""
"IMVT","Immunovant Inc","15850246","62.3","74.981","96.8335","77.364","50.74649","1.40553","0","57.74687","74.981","59.6","76.894","-2.49","21.01","20.66","-1.67",""
"PPSI","Pioneer Power Solutions Inc. ","433771","100","73.458","87.4251","89.621","43.32693","88.10203","91.91684","75.04268","73.458","36.36","67.556","8.74","5.83","6.18","6",""
"TAYD","Taylor Devices Inc","1024468","50","73.066","99.8","72.968","46.42916","50","100","65.15788","73.066","14.87","65.378","11.76","19.16","19.47","1.62",""
"AKRO","Akero Therapeutics Inc","579744211","81.8","72.901","99.8","70.292","48.61","0","0.33383","56.06774","72.901","17","73.901","-1.35","43.54","46.73","7.33",""
"RMBS","Rambus Inc","2999239","100","72.868","99.8","65.059","53.74526","69.234795","100","56.46728","72.868","38.94","71.274","2.24","64","63.86","-0.22",""
"PXS","Pyxis Tankers Inc","335698","50","72.562","93.0218","75.031","49.63291","51.81","64.87174","55.85845","72.562","0","73.786","-1.66","4.1","4.06","-0.98",""
"CAAP","Corporacion America Airports","17361227","99","72.459","99.8","67.732","49.84577","70.28909","95.60375","52.73744","72.459","9.78","73.131","-0.92","10.74","10.82","0.74",""
"PLPC","Preformed Line Products Company","33863726","52.65","72.406","99.8","66.472","50.94457","100","100","62.249","72.406","25.28","72.755","-0.48","155","152.2","-1.81",""
"ACGL","Arch Capital Group Ltd","7063087","32.6","72.326","93.399","67.18","56.4001","65.517465","94.32163","65.51197","72.326","8.9","74.796","-3.3","72.38","70.9","-2.04",""
